ap_bus,z_bus,area,zone,circuit,type,R,X,B,Line_Q1,Line_Q2,Line_Q3,control_bus,side,transformer_final_turns_ratio,transformer_final_angle,Min_tap,Max_tap,step_size,Min_volt,Max_volt,M_P_TLPF,M_Q_TLPF,M_P_TLPF_reverse,M_Q_TLPF_reverse,Ri_eP,Ri_eQ,Ri_eP_reverse,Ri_eQ_reverse
4,3,1,1,1,0,2.00E-05,0.00021,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.01915,-0.238357,1.01917,0.238558,1,1,1,1
5,3,1,1,1,0,0.00068,0.08078,0,0,0,0,0,0,0.9999,0,0,0,0,0,0,0.278672,0.0553012,-0.278625,-0.0496404,1,1,1,1
7,6,1,1,1,0,2.00E-05,0.00021,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0500674,-0.184983,-0.0500668,0.18499,1,1,1,1
9,8,1,1,1,0,2.00E-05,0.00021,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98155,1.1091,-1.98146,-1.10819,1,1,1,1
9,11,1,1,1,0,0.00064,0.0305,0,0,0,0,0,0,1.1022,0,0,0,0,0,0,-2.89837,-0.983149,2.90447,1.27395,1,1,1,1
10,8,1,1,1,0,0.00079,0.07524,0,0,0,0,0,0,0.9999,0,0,0,0,0,0,-0.981638,0.337485,0.982326,-0.271962,1,1,1,1
11,20,1,1,1,0,0.0011,0.01259,0.3496,0,0,0,0,0,0,0,0,0,0,0,0,-2.38626,-0.0558087,2.39222,-0.245376,1,1,1,1
11,22,1,1,1,0,0.00286,0.0335,0.89392,0,0,0,0,0,0,0,0,0,0,0,0,1.89966,-0.312757,-1.88981,-0.507079,1,1,1,1
12,11,1,1,1,0,1.00E-05,6.00E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41775,0.905751,-2.41768,-0.905372,1,1,1,1
13,12,1,1,1,0,0.00069,0.03946,0,0,0,0,0,0,0.9999,0,0,0,0,0,0,-2.04408,-0.244084,2.04693,0.406968,1,1,1,1
14,6,1,1,1,0,0.013,0.09781,0.14013,0,0,0,0,0,0,0,0,0,0,0,0,-2.41507,0.180366,2.48535,0.190954,1,1,1,1
15,8,1,1,1,0,0.00558,0.04147,0.0629,0,0,0,0,0,0,0,0,0,0,0,0,-0.223947,-1.20077,0.231159,1.18252,1,1,1,1
15,14,1,1,1,0,2.00E-05,0.00021,0,0,0,0,0,0,0,0,0,0,0,0,0,0.396985,0.940203,-0.396966,-0.940003,1,1,1,1
16,15,1,1,1,0,2.00E-05,0.00021,0,0,0,0,0,0,0,0,0,0,0,0,0,0.671633,-0.056821,-0.671625,0.0569084,1,1,1,1
17,14,1,1,1,0,0.00059,0.07897,0,0,0,0,0,0,0.9999,0,0,0,0,0,0,-0.870352,-0.0671913,0.870771,0.12317,1,1,1,1
18,15,1,1,1,0,0.00062,0.08296,0,0,0,0,0,0,0.9999,0,0,0,0,0,0,-0.726662,-0.0678233,0.726969,0.108893,1,1,1,1
20,19,1,1,1,0,1.00E-05,6.00E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.87296,0.338004,-2.87288,-0.337529,1,1,1,1
20,41,1,1,1,0,0.00342,0.03928,1.0829,0,0,0,0,0,0,0,0,0,0,0,0,-5.26509,-0.0926408,5.35545,-0.0363995,1,1,1,1
21,19,1,1,1,0,0.00088,0.05709,0,0,0,0,0,0,0.9999,0,0,0,0,0,0,-2.86593,0.114059,2.8729,0.337542,1,1,1,1
23,22,1,1,1,0,1.00E-05,6.00E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
24,3,1,1,1,0,0.01068,0.07936,0.12155,0,0,0,0,0,0,0,0,0,0,0,0,0.745818,0.0867525,-0.74056,-0.188918,1,1,1,1
