bus_id,bus_name,area,loss_zone,type,voltage,angle,load_P,load_Q,generation_p,generation_Q,base_kV,desired_volts,MAX_Q,Min_Q,G,B,control_bus_number,M_Vm,M_Va,M_P,M_Q,Ri_V,Ri_vP,Ri_vQ
1,1,1,1,1,1.1069,-0.31071,0,0,0,0,0,0,0,0,0,0,0,1.10673,-0.375205,0.00025183,-3.31E-09,0,0,0
2,2,1,1,1,1.1079,1.3812,0,0,0,0,0,0,0,0,0,0,0,1.10787,0.187347,0.000266884,-8.98E-10,0,0,0
3,3,1,1,1,1.0662,-30.755,0,0,0,0,0,0,0,0,0,0,0,1.0691,-26.7299,-1.44E-05,-7.72E-08,0,0,0
4,4,1,1,1,1.0662,-30.764,0,0,0,0,0,0,0,0,0,0,0,1.06904,-26.7404,-3.42E-06,7.00E-08,0,0,0
5,5,1,1,1,1.0773,-32.997,0,0,0,0,0,0,0,0,0,0,0,1.07313,-25.6076,2.14E-05,2.48E-07,0,0,0
6,6,1,1,1,1.0757,-6.0732,0,0,0,0,0,0,0,0,0,0,0,1.07529,-6.88721,0.000141838,3.84E-06,0,0,0
7,7,1,1,1,1.0757,-6.0744,0,0,0,0,0,0,0,0,0,0,0,1.07526,-6.8865,0.000150903,-4.72E-06,0,0,0
8,8,1,1,1,1.0906,-18.377,0,0,0,0,0,0,0,0,0,0,0,1.09224,-19.0591,-1.01E-05,3.10E-06,0,0,0
9,9,1,1,1,1.0909,-18.36,0,0,0,0,0,0,0,0,0,0,0,1.09249,-19.0402,-0.00017727,3.45E-07,0,0,0
10,10,1,1,1,1.11,-21.782,0,0,0,0,0,0,0,0,0,0,0,1.11222,-22.557,-1.37E-05,-2.61E-07,0,0,0
11,11,1,1,1,1.0257,-13.207,0,0,0,0,0,0,0,0,0,0,0,1.02714,-14.0945,0.00018084,1.01E-05,0,0,0
12,12,1,1,1,1.0257,-13.198,0,0,0,0,0,0,0,0,0,0,0,1.02721,-14.0871,6.55E-05,-7.69E-06,0,0,0
13,13,1,1,1,1.0119,-17.614,0,0,0,0,0,0,0,0,0,0,0,1.01314,-18.5225,9.97E-06,2.18E-06,0,0,0
14,14,1,1,1,1.0431,-18.21,0,0,0,0,0,0,0,0,0,0,0,1.04454,-19.202,-4.40E-06,6.63E-06,0,0,0
15,15,1,1,1,1.0433,-18.206,0,0,0,0,0,0,0,0,0,0,0,1.04474,-19.1986,-1.57E-05,1.62E-06,0,0,0
16,16,1,1,1,1.0433,-18.196,0,0,0,0,0,0,0,0,0,0,0,1.04474,-19.1911,6.83E-05,-1.73E-06,0,0,0
17,17,1,1,1,1.0312,-22.618,0,0,0,0,0,0,0,0,0,0,0,1.03672,-22.8385,1.78E-06,1.93E-07,0,0,0
18,18,1,1,1,1.0309,-22.242,0,0,0,0,0,0,0,0,0,0,0,1.03716,-22.3853,-5.18E-07,2.21E-07,0,0,0
19,19,1,1,1,1.027,-11.565,0,0,0,0,0,0,0,0,0,0,0,1.02849,-12.4664,1.08E-05,1.22E-05,0,0,0
20,20,1,1,1,1.027,-11.555,0,0,0,0,0,0,0,0,0,0,0,1.02854,-12.4572,9.48E-05,-1.32E-05,0,0,0
21,21,1,1,1,1.022,-21.301,0,0,0,0,0,0,0,0,0,0,0,1.01969,-21.4465,-2.34E-05,5.34E-06,0,0,0
22,22,1,1,1,1.0159,-17.334,0,0,0,0,0,0,0,0,0,0,0,1.01853,-17.557,8.62E-05,4.90E-06,0,0,0
23,23,1,1,1,1.0159,-17.334,0,0,0,0,0,0,0,0,0,0,0,1.01853,-17.557,0,0,0,0,0
24,24,1,1,2,1.0867,-25.163,0.1005,0.201,1.1,0.8519,0,0,1.4,-0.49,0,0,0,1.0867,-23.8933,0.99946,0.238315,0,0,0
25,25,1,1,2,1.0867,-25.162,0.1005,0.201,1.35,-0.22,0,0,1.24,-0.22,0,0,0,1.0867,-23.8966,1.24945,-0.112645,0,0,0
26,26,1,1,1,1.0851,-5.0889,0,0,0,0,0,0,0,0,0,0,0,1.0847,-5.90609,0.000145501,-4.55E-06,0,0,0
27,27,1,1,1,1.0852,-5.1028,0,0,0,0,0,0,0,0,0,0,0,1.08482,-5.91785,0.000194089,1.50E-06,0,0,0
28,28,1,1,1,1.04,-20.228,0,0,0,0,0,0,0,0,0,0,0,1.04041,-21.3752,4.50E-05,2.96E-07,0,0,0
29,29,1,1,1,1.04,-20.225,0,0,0,0,0,0,0,0,0,0,0,1.04036,-21.3725,5.15E-06,8.33E-07,0,0,0
30,30,1,1,1,1.0425,-17.703,0,0,0,0,0,0,0,0,0,0,0,1.04307,-18.8739,6.75E-05,-1.42E-06,0,0,0
31,31,1,1,1,1.0425,-17.716,0,0,0,0,0,0,0,0,0,0,0,1.04301,-18.8858,-8.21E-06,7.81E-07,0,0,0
32,32,1,1,1,1.0845,-2.6769,0,0,0,0,0,0,0,0,0,0,0,1.08463,-3.69941,6.48E-05,-1.41E-06,0,0,0
33,33,1,1,1,1.0844,-2.7009,0,0,0,0,0,0,0,0,0,0,0,1.08453,-3.72228,3.12E-08,-2.06E-06,0,0,0
34,34,1,1,1,1.0178,-15.361,0,0,0,0,0,0,0,0,0,0,0,1.01907,-16.4192,5.93E-05,-3.08E-06,0,0,0
35,35,1,1,1,1.0178,-15.366,0,0,0,0,0,0,0,0,0,0,0,1.01904,-16.4241,1.14E-05,5.17E-06,0,0,0
36,36,1,1,1,1.0072,-18.549,0,0,0,0,0,0,0,0,0,0,0,1.00784,-19.5687,1.60E-05,1.29E-06,0,0,0
37,37,1,1,3,1.11,0,0.4868,0.8621,7.4,1.4934,0,0,3.8,-0.38,0,0,0,1.11,0,9.4256,1343.67,1,0,0
38,38,1,1,2,1.11,1.6791,0.5454,0.8993,7.4,0.3282,0,0,3.8,-0.38,0,0,0,1.11,0.476071,6.85456,-0.539899,0,0,0
39,39,1,1,2,1.11,1.6712,0.201,0.4019,3.7,0.97,0,0,1.9,-0.19,0,0,0,1.11,0.470313,3.49874,0.565985,0,0,0
40,40,1,1,2,1.0475,0.16082,0.6029,1.2057,11.1,2.0778,0,0,5.7,-0.57,0,0,0,1.0475,-1.30532,10.4973,0.117287,0,0,0
41,41,1,1,2,1.0475,0.1677,0.6029,1.2057,11.1,-0.5697,0,0,5.7,-0.57,0,0,0,1.0475,-1.30122,10.4971,-1.08417,0,0,0
42,42,1,1,1,1.032,-19.505,0,0,0,0,0,0,0,0,0,0,0,1.03274,-20.6333,3.99E-05,-3.72E-07,0,0,0
43,43,1,1,1,1.0319,-19.508,0,0,0,0,0,0,0,0,0,0,0,1.03264,-20.6367,-4.79E-06,2.27E-06,0,0,0
44,44,1,1,1,1.05,-1.4667,0,0,0,0,0,0,0,0,0,0,0,1.04952,-3.41572,5.14E-06,2.50E-08,0,0,0
45,45,1,1,1,1.05,-1.4702,0,0,0,0,0,0,0,0,0,0,0,1.04951,-3.41925,-9.17E-06,-1.14E-07,0,0,0
46,46,1,1,1,1.0396,-18.559,0,0,0,0,0,0,0,0,0,0,0,1.04086,-19.5821,2.71E-06,3.10E-06,0,0,0
47,47,1,1,1,1.0603,-8.3839,0,0,0,0,0,0,0,0,0,0,0,1.05994,-9.32871,1.45E-05,3.36E-06,0,0,0
48,48,1,1,1,1.0603,-8.4011,0,0,0,0,0,0,0,0,0,0,0,1.05996,-9.34693,2.89E-05,2.57E-06,0,0,0
49,49,1,1,1,1.0929,-12.145,0,0,0,0,0,0,0,0,0,0,0,1.09298,-13.5496,7.39E-05,1.07E-07,0,0,0
50,50,1,1,1,1.0912,-11.763,0,0,0,0,0,0,0,0,0,0,0,1.09114,-13.4205,5.87E-06,3.24E-07,0,0,0
51,51,1,1,1,1.1037,-10.128,0,0,0,0,0,0,0,0,0,0,0,1.10368,-11.7602,0.000114645,-3.33E-07,0,0,0
52,52,1,1,1,1.1036,-10.133,0,0,0,0,0,0,0,0,0,0,0,1.10365,-11.7648,0.000113137,-9.41E-08,0,0,0
53,53,1,1,1,1.0723,-14.114,0,0,0,0,0,0,0,0,0,0,0,1.07233,-15.5318,2.36E-07,3.29E-07,0,0,0
54,54,1,1,1,1.0996,-8.9001,0.0323,0.01,0,0,0,0,0,0,0,0,0,1.09958,-10.4911,-0.0322877,-0.00999952,0,0,0
55,55,1,1,1,1.0997,-8.8993,0,0,0,0,0,0,0,0,0,0,0,1.09965,-10.4911,7.46E-08,4.97E-07,0,0,0
