bus_id,bus_name,area,loss_zone,type,voltage,angle,load_P,load_Q,generation_p,generation_Q,base_kV,desired_volts,MAX_Q,Min_Q,G,B,control_bus_number,M_Vm,M_Va,M_P,M_Q,Ri_V,Ri_vP,Ri_vQ
1,1,1,1,1,1.10673,-0.375279,0,0,0,0,0,0,0,0,0,0,0,1.10673,-0.375205,0.00025183,-3.31E-09,1,0,0
2,2,1,1,1,1.10787,0.187965,0,0,0,0,0,0,0,0,0,0,0,1.10787,0.187347,0.000266884,-8.98E-10,1,0,0
3,3,1,1,1,1.0691,-26.7266,0,0,0,0,0,0,0,0,0,0,0,1.0691,-26.7299,-1.44E-05,-7.72E-08,1,0,0
4,4,1,1,1,1.06904,-26.7371,0,0,0,0,0,0,0,0,0,0,0,1.06904,-26.7404,-3.42E-06,7.00E-08,1,0,0
5,5,1,1,1,1.07313,-25.6036,0,0,0,0,0,0,0,0,0,0,0,1.07313,-25.6076,2.14E-05,2.48E-07,1,0,0
6,6,1,1,1,1.07529,-6.88667,0,0,0,0,0,0,0,0,0,0,0,1.07529,-6.88721,0.000141838,3.84E-06,1,0,0
7,7,1,1,1,1.07526,-6.88596,0,0,0,0,0,0,0,0,0,0,0,1.07526,-6.8865,0.000150903,-4.72E-06,1,0,0
8,8,1,1,1,1.09224,-19.057,0,0,0,0,0,0,0,0,0,0,0,1.09224,-19.0591,-1.01E-05,3.10E-06,1,0,0
9,9,1,1,1,1.09249,-19.0381,0,0,0,0,0,0,0,0,0,0,0,1.09249,-19.0402,-0.00017727,3.45E-07,1,0,0
10,10,1,1,1,1.11222,-22.5548,0,0,0,0,0,0,0,0,0,0,0,1.11222,-22.557,-1.37E-05,-2.61E-07,1,0,0
11,11,1,1,1,1.02714,-14.0927,0,0,0,0,0,0,0,0,0,0,0,1.02714,-14.0945,0.00018084,1.01E-05,1,0,0
12,12,1,1,1,1.02721,-14.0854,0,0,0,0,0,0,0,0,0,0,0,1.02721,-14.0871,6.55E-05,-7.69E-06,1,0,0
13,13,1,1,1,1.01314,-18.5205,0,0,0,0,0,0,0,0,0,0,0,1.01314,-18.5225,9.97E-06,2.18E-06,1,0,0
14,14,1,1,1,1.04454,-19.2002,0,0,0,0,0,0,0,0,0,0,0,1.04454,-19.202,-4.40E-06,6.63E-06,1,0,0
15,15,1,1,1,1.04474,-19.1968,0,0,0,0,0,0,0,0,0,0,0,1.04474,-19.1986,-1.57E-05,1.62E-06,1,0,0
16,16,1,1,1,1.04474,-19.1893,0,0,0,0,0,0,0,0,0,0,0,1.04474,-19.1911,6.83E-05,-1.73E-06,1,0,0
17,17,1,1,1,1.03672,-22.8365,0,0,0,0,0,0,0,0,0,0,0,1.03672,-22.8385,1.78E-06,1.93E-07,1,0,0
18,18,1,1,1,1.03716,-22.3833,0,0,0,0,0,0,0,0,0,0,0,1.03716,-22.3853,-5.18E-07,2.21E-07,1,0,0
19,19,1,1,1,1.02849,-12.4648,0,0,0,0,0,0,0,0,0,0,0,1.02849,-12.4664,1.08E-05,1.22E-05,1,0,0
20,20,1,1,1,1.02854,-12.4557,0,0,0,0,0,0,0,0,0,0,0,1.02854,-12.4572,9.48E-05,-1.32E-05,1,0,0
21,21,1,1,1,1.01969,-21.4445,0,0,0,0,0,0,0,0,0,0,0,1.01969,-21.4465,-2.34E-05,5.34E-06,1,0,0
22,22,1,1,1,1.01852,-17.5543,0,0,0,0,0,0,0,0,0,0,0,1.01853,-17.557,8.62E-05,4.90E-06,1,0,0
23,23,1,1,1,1.01852,-17.5543,0,0,0,0,0,0,0,0,0,0,0,1.01853,-17.557,0,0,1,0,0
