bus_id,bus_name,area,loss_zone,type,voltage,angle,load_P,load_Q,generation_p,generation_Q,base_kV,desired_volts,MAX_Q,Min_Q,G,B,control_bus_number,M_Va,M_Vm,M_P,M_Q,Ri_V,Ri_vP,Ri_vQ
1,Riversde,1,1,2,0.955,10.67,0.51,0.27,0,0,0,0.955,15,-5,0,0,0,-19.0106,0.955,-0.508972,-0.301225,1,1,1
2,Pokagon,1,1,0,0.971,11.22,0.2,0.09,0,0,0,0,0,0,0,0,0,-18.4721,0.971391,-0.200161,-0.0900071,1,1,1
3,HickryCk,1,1,0,0.968,11.56,0.39,0.1,0,0,0,0,0,0,0,0,0,-18.1294,0.967686,-0.390669,-0.10001,1,1,1
4,NwCarlsl,1,1,2,0.998,15.28,0.3,0.12,-0.09,0,0,0.998,300,-300,0,0,0,-14.4133,0.998,-0.39078,-0.269832,1,1,1
5,Olive,1,1,0,1.002,15.73,0,0,0,0,0,0,0,0,0,-0.4,0,-13.9681,1.00198,-5.43E-05,-1.85E-05,1,1,1
6,Kankakee,1,1,2,0.99,13,0.52,0.22,0,0,0,0.99,50,-13,0,0,0,-16.6944,0.99,-0.52006,-0.0606849,1,1,1
7,JacksnRd,1,1,0,0.989,12.56,0.19,0.02,0,0,0,0,0,0,0,0,0,-17.1384,0.989328,-0.190045,-0.0200001,1,1,1
8,Olive,1,1,2,1.015,20.77,0,0,-0.28,0,0,1.015,300,-300,0,0,0,-8.9475,1.015,-0.279912,0.627294,1,1,1
9,Bequine,1,1,0,1.043,28.02,0,0,0,0,0,0,0,0,0,0,0,-1.6934,1.04292,-6.23E-05,-1.42E-14,1,1,1
10,Breed,1,1,2,1.05,35.61,0,0,4.5,0,0,1.05,200,-147,0,0,0,5.8876,1.05,4.50005,-0.510414,1,1,1
11,SouthBnd,1,1,0,0.985,12.72,0.7,0.23,0,0,0,0,0,0,0,0,0,-16.9798,0.985089,-0.699975,-0.230012,1,1,1
12,TwinBrch,1,1,2,0.99,12.2,0.47,0.1,0.85,0,0,0.99,120,-35,0,0,0,-17.496,0.99,0.380775,0.812598,1,1,1
13,Concord,1,1,0,0.968,11.35,0.34,0.16,0,0,0,0,0,0,0,0,0,-18.3548,0.968301,-0.340067,-0.160012,1,1,1
14,GoshenJt,1,1,0,0.984,11.5,0.14,0.01,0,0,0,0,0,0,0,0,0,-18.2122,0.983591,-0.140031,-0.0100002,1,1,1
15,FtWayne,1,1,2,0.97,11.23,0.9,0.3,0,0,0,0.97,30,-10,0,0,0,-18.5059,0.97,-0.899277,-0.259524,1,1,1
16,N. E.,1,1,0,0.984,11.91,0.25,0.1,0,0,0,0,0,0,0,0,0,-17.7979,0.983911,-0.25001,-0.100002,1,1,1
17,Sorenson,1,1,0,0.995,13.74,0.11,0.03,0,0,0,0,0,0,0,0,0,-15.9908,0.995133,-0.110803,-0.0300038,1,1,1
18,McKinley,1,1,2,0.973,11.53,0.6,0.34,0,0,0,0.973,50,-16,0,0,0,-18.2035,0.973,-0.60013,-0.0762969,1,1,1
19,Lincoln,1,1,2,0.963,11.05,0.45,0.25,0,0,0,0.962,24,-8,0,0,0,-18.6812,0.963,-0.449472,-0.351849,1,1,1
20,Adams,1,1,0,0.958,11.93,0.18,0.03,0,0,0,0,0,0,0,0,0,-17.806,0.957757,-0.180052,-0.029998,1,1,1
21,Jay,1,1,0,0.959,13.52,0.14,0.08,0,0,0,0,0,0,0,0,0,-16.2208,0.958412,-0.140076,-0.0800006,1,1,1
22,Randolph,1,1,0,0.97,16.08,0.1,0.05,0,0,0,0,0,0,0,0,0,-13.6691,0.969542,-0.100099,-0.0500045,1,1,1
23,CollCrnr,1,1,0,1,21,0.07,0.03,0,0,0,0,0,0,0,0,0,-8.7529,0.999716,-0.0700568,-0.0300051,1,1,1
24,Trenton,1,1,2,0.992,20.89,0,0,-0.13,0,0,0.992,300,-300,0,0,0,-8.8878,0.992,-0.130285,-0.153832,1,1,1
25,TannrsCk,1,1,2,1.05,27.93,0,0,2.2,0,0,1.05,140,-47,0,0,0,-1.8159,1.05,2.19954,0.497173,1,1,1
26,TannrsCk,1,1,2,1.015,29.71,0,0,3.14,0,0,1.015,1000,-1000,0,0,0,-0.0339,1.015,3.14035,0.0988516,1,1,1
27,Madison,1,1,2,0.968,15.35,0.62,0.13,-0.09,0,0,0.968,300,-300,0,0,0,-14.3848,0.968,-0.710214,-0.109603,1,1,1
28,Mullin,1,1,0,0.962,13.62,0.17,0.07,0,0,0,0,0,0,0,0,0,-16.1081,0.961564,-0.170093,-0.0700125,1,1,1
29,Grant,1,1,0,0.963,12.63,0.24,0.04,0,0,0,0,0,0,0,0,0,-17.0984,0.963211,-0.240424,-0.0400002,1,1,1
30,Sorenson,1,1,0,0.968,18.79,0,0,0,0,0,0,0,0,0,0,0,-10.9567,0.985534,-6.25E-05,1.47E-06,1,1,1
31,DeerCrk,1,1,2,0.967,12.75,0.43,0.27,0.07,0,0,0.967,300,-300,0,0,0,-16.9799,0.967,-0.358555,0.0453344,1,1,1
32,Delaware,1,1,2,0.964,14.8,0.59,0.23,0,0,0,0.963,42,-14,0,0,0,-14.9428,0.964,-0.589389,-0.353597,1,1,1
