bus_id,bus_name,area,loss_zone,type,voltage,angle,load_P,load_Q,generation_p,generation_Q,base_kV,desired_volts,MAX_Q,Min_Q,G,B,control_bus_number,M_Vm,M_Va,M_P,M_Q,Ri_V,Ri_vP,Ri_vQ
1,1727,0,1,1,1.00963,-9.233,0.5,0,0,0,500,525,0,0,0,0,0,1.08708,-7.22052,-0.0086393,-1.09E-06,1,0,0
2,4177,0,1,1,1.00996,-8.63402,-0.04986,-0.17629,0,0,500,525,0,0,0,18.6,0,1.09495,-6.7268,0.0486792,0.176295,1,0,0
3,364,0,1,1,0.979132,-4.37787,-8.82196,4.49854,0,0,500,525,0,0,0,0,0,1.06544,-3.11461,8.82126,-4.49854,1,0,0
4,2288,0,1,1,1.00628,-8.05406,0,0,0,0,500,525,0,0,0,0,0,1.11325,-5.66993,-0.0185037,4.33E-06,1,0,0
5,2,0,1,1,1.00677,-6.92769,0,0,0,0,500,525,0,0,0,18,0,1.14431,-4.97777,-0.0169447,-4.31E-06,1,0,0
6,365,0,1,1,0.978942,-4.35611,-8.8651,4.52014,0,0,500,525,0,0,0,0,0,1.06527,-3.09632,8.86439,-4.52014,1,0,0
7,189,0,1,1,1.01901,-0.635085,0,0,0,0,500,525,0,0,0,0,0,1.05559,-0.085331,-0.00981821,-1.50E-07,1,0,0
8,2498,0,1,1,1.0201,-1.24655,0,0.8,0,0,500,525,0,0,0,0,0,1.06237,-0.666699,-0.0119322,4.68E-06,1,0,0
9,277,0,1,1,1.00662,-6.36952,0,0,0,0,500,525,0,0,0,0,0,1.13475,-4.51385,-0.0104738,-9.00E-07,1,0,0
10,276,0,1,1,1.00461,-5.67265,0,0,0,0,500,525,0,0,0,0,0,1.12487,-3.93907,-0.0110723,-1.82E-06,1,0,0
11,6204,0,1,1,1.00597,-6.7264,28.534,10.7689,0,0,500,525,0,0,0,52,0,1.15189,-4.85712,-28.5278,-10.7689,1,0,0
12,286,0,1,1,0.998147,-1.23775,0,0,0,0,500,525,0,0,0,0,0,1.08776,-0.328621,-0.0017621,-8.40E-07,1,0,0
13,358,0,1,1,0.99586,-11.3932,0,0.01511,0,0,220,230,0,0,0,0,0,1.07313,-8.35171,1.54E-06,-0.0151099,1,0,0
14,1051,0,1,1,0.993823,-11.3701,10,0,0,0,220,230,0,0,0,0,0,1.07235,-8.34355,0.000136864,-8.58E-07,1,0,0
15,943,0,1,1,1.00253,-13.4291,0,0,0,0,500,525,0,0,0,0,0,1.0582,-11.2776,6.86E-05,-3.91E-06,1,0,0
16,359,0,1,1,1.00122,-11.1201,-5.50424,-3.59616,0,0,500,525,0,0,0,-3.2876,0,1.06505,-9.66537,5.5039,3.59614,1,0,0
17,886,0,1,1,1.00638,-9.61435,0,0,0,0,500,525,0,0,0,-1.8,0,1.08301,-6.66425,0.00165401,-5.59E-06,1,0,0
18,325,0,1,1,0.999738,-13.2851,5.71526,0.60493,0,0,500,525,0,0,0,0,0,1.08106,-8.24287,-5.71466,-0.604931,1,0,0
19,488,0,1,1,0.996059,-11.0643,-2.00E-05,0,0,0,220,230,0,0,0,0,0,1.07593,-8.14054,4.68E-05,-5.83E-08,1,0,0
20,1590,0,1,1,0.996047,-11.3657,0,0,0,0,220,230,0,0,0,0,0,1.07691,-8.38998,2.73E-05,-7.74E-07,1,0,0
21,1908,0,1,1,1.00945,-12.5607,0,0,0,0,220,230,0,0,0,0,0,1.06249,-9.9692,-0.000183633,-3.77E-07,1,0,0
22,499,0,1,1,1.01138,-12.3124,0.00188,-0.10115,0,0,220,230,0,0,0,0,0,1.06326,-9.73254,-0.0018931,0.101149,1,0,0
23,1923,0,1,1,1.01192,-2.89683,-0.13627,0.01565,0,0,220,230,0,0,0,0,0,1.01458,-1.13273,0.136288,-0.0156499,1,0,0
24,2058,0,1,1,1.01263,-2.6484,0,0,0,0,220,230,0,0,0,0,0,1.01482,-0.881039,2.23E-06,6.42E-08,1,0,0
25,1154,0,1,1,0.997642,-14.0088,0,0,0,0,500,525,0,0,0,0,0,1.05653,-11.7119,-5.34E-06,-1.07E-08,1,0,0
26,1296,0,1,1,1.00148,-13.2942,0,0,0,0,500,525,0,0,0,0,0,1.05734,-10.9693,0.00132788,-5.07E-06,1,0,0
27,543,0,1,1,1.01189,-11.9918,0,0,0,0,220,230,0,0,0,0,0,1.06197,-9.4202,-5.36E-05,1.47E-06,1,0,0
28,2148,0,1,1,1.00998,-12.4741,0,0,0,0,220,230,0,0,0,0,0,1.06316,-9.89311,3.15E-05,-1.23E-06,1,0,0
29,580,0,1,1,1.0135,-12.0255,0,0,0,0,220,230,0,0,0,0,0,1.06632,-9.47718,-4.47E-05,2.36E-07,1,0,0
30,1769,0,1,1,1.00791,-11.6946,0,0,0,0,220,230,0,0,0,0,0,1.07012,-9.20923,-4.00E-05,-1.17E-06,1,0,0
31,1376,0,1,1,0.98744,-9.72155,0,-0.01458,0,0,220,230,0,0,0,0,0,1.06083,-7.4017,1.16E-06,0.0145793,1,0,0
32,687,0,1,1,0.985511,-9.48462,0,-0.03369,0,0,220,230,0,0,0,0,0,1.05778,-7.18365,-0.000215705,0.0336963,1,0,0
33,1561,0,1,1,1.0006,-3.51259,0,0,0,0,220,230,0,0,0,0,0,1.01739,-1.85474,8.60E-05,-9.72E-07,1,0,0
34,555,0,1,1,0.999536,-2.59378,0,0,0,0,220,230,0,0,0,0,0,1.01274,-0.930904,-4.73E-06,2.55E-07,1,0,0
35,1958,0,1,1,0.985254,-10.1095,2.12676,0.7011,0,0,220,230,0,0,0,0,0,1.05813,-7.73173,-2.12666,-0.701098,1,0,0
36,10939,0,1,1,0.982147,-10.0787,2.12726,0.44748,0,0,220,230,0,0,0,0,0,1.0546,-7.69884,-2.12717,-0.447479,1,0,0
37,10934,0,1,1,1.00818,-3.36647,0,0,0,0,500,525,0,0,0,0,0,1.05184,-2.03884,-8.26E-05,7.02E-08,1,0,0
38,784,0,1,1,1.00835,-3.13957,0,0,0,0,500,525,0,0,0,0,0,1.01884,-1.83591,-6.27E-05,2.22E-06,1,0,0
39,1519,0,1,1,1.00845,-3.75963,0,0,0,0,500,525,0,0,0,0,0,1.01874,-2.44448,-0.000230872,-1.13E-06,1,0,0
40,843,0,1,1,0.999925,-2.09971,-0.0118,0.15193,0,0,220,230,0,0,0,0,0,1.0154,-0.159331,0.011786,-0.15193,1,0,0
41,1090,0,1,1,0.998433,-4.20996,0,0,0,0,220,230,0,0,0,0,0,1.01949,-2.27533,1.83E-06,1.02E-06,1,0,0
42,846,0,1,1,0.999534,-3.6655,-0.02867,0.00813,0,0,220,230,0,0,0,0,0,1.02092,-1.6799,0.0286786,-0.00813028,1,0,0
43,1458,0,1,1,0.991679,-7.8239,0,0,0,0,220,230,0,0,0,0,0,1.04503,-5.72465,8.15E-05,-1.03E-08,1,0,0
44,1384,0,1,1,0.992112,-5.5518,0,0,0,0,220,230,0,0,0,0,0,1.09014,-3.73676,-0.000149517,1.84E-06,1,0,0
45,10931,0,1,1,0.99922,5.5685,0,0,0,0,220,230,0,0,0,0,0,1.03423,6.75235,-4.73E-05,1.00E-06,1,0,0
46,3317,0,1,1,0.998626,-3.29604,0,0,0,0,220,230,0,0,0,0,0,1.01633,-1.30964,-3.36E-06,6.41E-08,1,0,0
47,857,0,1,1,0.997467,-15.8157,0.08,0,0,0,220,230,0,0,0,0,0,1.0617,-13.3845,0.000232774,-2.71E-08,1,0,0
48,623,0,1,1,0.997155,-15.7964,0,0.09,0,0,220,230,0,0,0,0,0,1.06193,-13.3719,-1.09E-05,-5.95E-07,1,0,0
49,3095,0,1,1,1.00247,-13.413,0,0,0,0,500,525,0,0,0,0,0,1.05791,-11.2622,-5.53E-05,5.68E-07,1,0,0
50,1639,0,1,1,1.00572,-8.1888,0,0,0,0,220,230,0,0,0,0,0,1.03177,-5.70002,-1.86E-05,4.14E-07,1,0,0
51,884,0,1,1,1.00543,-7.64365,0,0,0,0,220,230,0,0,0,0,0,1.02329,-5.10837,2.54E-06,1.02E-07,1,0,0
52,1756,0,1,1,0.989626,-10.5171,1.25,0,0,0,220,230,0,0,0,0,0,1.05916,-8.06191,-1.98E-05,-5.17E-07,1,0,0
53,517,0,1,1,0.991041,-10.4766,0,0,0,0,220,230,0,0,0,0,0,1.05755,-7.99727,1.25E-05,9.32E-08,1,0,0
54,1000,0,1,1,1.00449,-12.3133,5,1,0,0,220,230,0,0,0,0,0,1.07317,-9.76524,-8.67E-05,1.20E-05,1,0,0
55,570,0,1,1,1.0054,-12.8138,0,0,0,0,220,230,0,0,0,0,0,1.07357,-10.2012,0.000138623,-2.90E-06,1,0,0
56,1961,0,1,1,1.00239,-12.8077,0,0,0,0,220,230,0,0,0,0,0,1.06904,-10.1801,3.33E-05,-1.97E-06,1,0,0
57,1039,0,1,1,1.00596,-11.7185,0,0,0,0,220,230,0,0,0,0,0,1.06918,-9.20241,0.00029793,2.53E-06,1,0,0
58,600,0,1,1,1.00633,-11.8813,0,0,0,0,220,230,0,0,0,0,0,1.0713,-9.36124,-4.95E-06,2.83E-07,1,0,0
59,1177,0,1,1,1.00182,-6.8459,0,0,0,0,220,230,0,0,0,0,0,1.07802,-4.67843,-0.000650607,-5.60E-07,1,0,0
60,1031,0,1,1,0.999264,-8.00558,0,0,0,0,220,230,0,0,0,0,0,1.09104,-5.77212,-0.000268898,-6.35E-06,1,0,0
61,1233,0,1,1,0.995517,-8.2456,0,0,0,0,220,230,0,0,0,0,0,1.03042,-6.19901,6.12E-05,-8.78E-08,1,0,0
62,1028,0,1,1,0.998738,-7.57401,0,0,0,0,220,230,0,0,0,0,0,1.02478,-5.48569,1.83E-06,1.33E-07,1,0,0
63,3336,0,1,1,1.00582,-11.7919,0.12936,0.00081,0,0,220,230,0,0,0,0,0,1.06901,-9.26697,-0.129354,-0.000810083,1,0,0
64,3430,0,1,1,1.01083,-12.7891,0,-0.38961,0,0,220,230,0,0,0,0,0,1.08681,-10.2097,0.000325902,0.389602,1,0,0
65,979,0,1,1,0.996208,-8.09699,0,0,0,0,220,230,0,0,0,0,0,1.02872,-6.03721,5.09E-06,1.40E-07,1,0,0
66,3288,0,1,1,0.989614,-7.60623,0,0,0,0,220,230,0,0,0,0,0,1.02154,-5.55902,-3.53E-06,3.91E-07,1,0,0
67,597,0,1,1,1.00516,-2.89702,0,0,0,0,220,230,0,0,0,0,0,1.01704,-1.20698,5.14E-07,2.91E-07,1,0,0
68,2215,0,1,1,1.00191,-4.74846,0,0,0,0,220,230,0,0,0,0,0,1.02534,-2.85671,-3.78E-05,-2.43E-07,1,0,0
69,1157,0,1,1,0.999457,-11.6739,0,0,0,0,220,230,0,0,0,0,0,1.0938,-9.12678,-6.31E-05,-3.30E-06,1,0,0
70,1131,0,1,1,1.00487,-4.61837,0,0,0,0,220,230,0,0,0,0,0,1.03854,-2.32706,-5.03E-05,3.07E-06,1,0,0
71,1204,0,1,1,1.00128,-11.7046,0,-0.0551,0,0,220,230,0,0,0,0,0,1.1018,-9.17808,0.00101799,0.0551025,1,0,0
72,2049,0,1,1,1.00058,-9.99686,0,0,0,0,220,230,0,0,0,0,0,1.07408,-7.29633,8.46E-05,-7.12E-07,1,0,0
73,1147,0,1,1,0.999163,-10.1357,0,0,0,0,220,230,0,0,0,0,0,1.07352,-7.42004,0.000174766,-3.70E-06,1,0,0
74,1264,0,1,1,1.00036,-2.05345,0,0,0,0,220,230,0,0,0,0,0,1.0171,-0.860125,-6.04E-07,2.05E-07,1,0,0
75,1173,0,1,1,1.00006,-1.61837,0.0034,0.0069,0,0,220,230,0,0,0,0,0,1.01556,-0.429818,-0.00341177,-0.00689974,1,0,0
76,1189,0,1,1,1.0025,-11.9941,0,-0.0933,0,0,220,230,0,0,0,0,0,1.07863,-9.52635,0.00013459,0.0933127,1,0,0
77,507,0,1,1,1.00629,-12.3911,0,0,0,0,220,230,0,0,0,0,0,1.089,-9.89498,2.70E-05,-2.68E-06,1,0,0
78,667,0,1,1,1.00214,-12.0853,0.18298,0.0271,0,0,220,230,0,0,0,0,0,1.07824,-9.60459,-0.182956,-0.0271,1,0,0
79,548,0,1,1,1.00565,-4.73971,0,0,0,0,220,230,0,0,0,0,0,1.06598,-2.73652,-0.000518031,5.39E-06,1,0,0
80,3231,0,1,1,0.999284,-12.7116,0,0,0,0,220,230,0,0,0,0,0,1.07551,-10.1447,0.000158575,-3.69E-06,1,0,0
81,2192,0,1,1,1.01031,-12.7419,0,0,0,0,220,230,0,0,0,0,0,1.08507,-10.1691,7.37E-05,9.14E-07,1,0,0
82,1405,0,1,1,0.998781,-2.23489,0,0,0,0,220,230,0,0,0,0,0,1.01863,-1.05764,0.00038116,-1.90E-06,1,0,0
83,1640,0,1,1,1.00145,-4.90359,0,0,0,0,220,230,0,0,0,0,0,1.02774,-3.01748,1.34E-05,-1.79E-07,1,0,0
84,1284,0,1,1,1.00181,-4.87184,0,0,0,0,220,230,0,0,0,0,0,1.02809,-2.98733,2.40E-06,-3.85E-07,1,0,0
85,1664,0,1,1,1.00122,-5.34511,0,0,0,0,220,230,0,0,0,0,0,1.0315,-3.37614,-7.21E-06,2.02E-08,1,0,0
86,3216,0,1,1,1.01212,-2.74839,0,0,0,0,220,230,0,0,0,0,0,1.01451,-0.982714,2.07E-06,7.03E-08,1,0,0
87,2245,0,1,1,1.01526,-6.80495,0.00025,0.00038,0,0,220,230,0,0,0,0,0,1.04246,-4.49651,-0.000250784,-0.000379632,1,0,0
88,1654,0,1,1,1.01521,-6.7258,0,0,0,0,220,230,0,0,0,0,0,1.04162,-4.41244,3.64E-06,9.57E-08,1,0,0
89,1713,0,1,1,0.990433,-10.7731,0,0,0,0,220,230,0,0,0,0,0,1.03448,-8.18334,-4.17E-05,2.74E-06,1,0,0
90,777,0,1,1,0.984753,-11.3579,0,0,0,0,220,230,0,0,0,0,0,1.03224,-8.741,2.53E-05,4.84E-07,1,0,0
91,1392,0,1,1,1.01657,-3.27727,0,0,0,0,500,525,0,0,0,0,0,1.05287,-2.04807,0.000639878,1.93E-06,1,0,0
92,616,0,1,1,1.01802,-2.15325,0,0,0,0,220,230,0,0,0,0,0,1.01794,-0.365566,6.08E-07,4.61E-08,1,0,0
93,1795,0,1,1,1.00089,-4.85645,0,0,0,0,220,230,0,0,0,0,0,1.0116,-3.52052,-5.55E-05,1.53E-07,1,0,0
94,1469,0,1,1,1.00157,-5.16236,0,0,0,0,220,230,0,0,0,0,0,1.01011,-3.80394,-0.000133001,-4.88E-07,1,0,0
95,1481,0,1,1,1.00741,-12.8493,0,-0.07483,0,0,220,230,0,0,0,0,0,1.08818,-10.28,9.88E-05,0.0748259,1,0,0
96,607,0,1,1,1.00737,-12.574,0,0,0,0,220,230,0,0,0,0,0,1.08823,-10.045,4.74E-05,-1.64E-06,1,0,0
