ap_bus,z_bus,area,zone,circuit,type,R,X,B,Line_Q1,Line_Q2,Line_Q3,control_bus,side,transformer_final_turns_ratio,transformer_final_angle,Min_tap,Max_tap,step_size,Min_volt,Max_volt,M_P_TLPF,M_Q_TLPF,M_P_TLPF_reverse,M_Q_TLPF_reverse,Ri_eP,Ri_eQ,Ri_eP_reverse,Ri_eQ_reverse
1,2,1,1,1,0,0.001846,0.025138,1.4821,0,0,0,0,0,0,0,0,0,0,0,0,0.501423,-0.0365238,-0.499021,-2.85869,1,1,1,1
1,2,1,1,1,0,0.002258,0.025304,1.4717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
1,730,1,1,1,1,0.0001,0.01814,0,0,0,0,0,0,0.95238,0,0,0,0,0,0,3.61197,1.03352,-3.6107,-0.803322,1,1,1,1
1,1043,1,1,1,1,0.0001,0.01962,0,0,0,0,0,0,0.95238,0,0,0,0,0,0,3.49844,1.00955,-3.49725,-0.77567,1,1,1,1
1,1295,1,1,1,1,8.00E-05,0.01897,0,0,0,0,0,0,0.95238,0,0,0,0,0,0,3.41936,0.98964,-3.41845,-0.77352,1,1,1,1
3,4,1,1,1,0,0.000199,0.00711,6.375,0,0,0,0,0,0,0,0,0,0,0,0,-3.83022,-10.258,3.83229,-4.3236,1,1,1,1
3,4,1,1,1,0,0.000199,0.007116,6.3773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4,342,1,1,1,1,0,0.007048,0,0,0,0,0,0,1.05,0,0,0,0,0,0,-1.92456,2.11201,1.92456,-2.05734,1,1,1,1
4,344,1,1,1,1,0,0.007086,0,0,0,0,0,0,1.05,0,0,0,0,0,0,-1.91491,2.10142,1.91491,-2.047,1,1,1,1
5,6,1,1,1,0,0.00118,0.005142,0.008459,0,0,0,0,0,0,0,0,0,0,0,0,0.394535,0.129077,-0.394385,-0.13695,1,1,1,1
5,6,1,1,1,0,0.003308,0.016635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
5,266,1,1,1,0,0.003329,0.022359,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209248,-0.0438397,-0.209098,0.0448502,1,1,1,1
5,353,1,1,1,1,0.00088,0.08764,0,0,0,0,0,0,0.95652,0,0,0,0,0,0,4.91E-06,-1.01E-06,-4.91E-06,1.01E-06,1,1,1,1
5,356,1,1,1,1,0.000936,0.082344,0,0,0,0,0,0,1.0283,0,0,0,0,0,0,-8.79E-06,-1.28E-06,8.79E-06,1.28E-06,1,1,1,1
6,519,1,1,1,1,0.002325,0.15906,0,0,0,0,0,0,1.0283,0,0,0,0,0,0,-4.59E-05,-9.49E-06,4.59E-05,9.50E-06,1,1,1,1
6,522,1,1,1,1,0.00311,0.16033,0,0,0,0,0,0,1.0283,0,0,0,0,0,0,-4.63E-05,-9.85E-06,4.63E-05,9.85E-06,1,1,1,1
7,8,1,1,1,0,0.001692,0.011486,0.024332,0,0,0,0,0,0,0,0,0,0,0,0,0.978449,0.304426,-0.977524,-0.346769,1,1,1,1
7,8,1,1,1,0,0.001682,0.011499,0.025838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
7,192,1,1,1,0,0.00144,0.009444,0.01951,0,0,0,0,0,0,0,0,0,0,0,0,0.65517,0.228335,-0.65445,-0.242522,1,1,1,1
7,299,1,1,1,0,0.005934,0.033968,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.06124,0.00366013,1.06417,0.0114199,1,1,1,1
