bus_id,bus_name,area,loss_zone,type,voltage,angle,load_P,load_Q,generation_p,generation_Q,base_kV,desired_volts,MAX_Q,Min_Q,G,B,control_bus_number,M_Vm,M_Va,M_P,M_Q,Ri_V,Ri_vP,Ri_vQ
1,800,1,1,0,1.006517,3.809133,0,0,0,0,0,0,0,0,0,-0.03,0,1.0044,3.92133,0.000513678,0.000938059,1,0,0
2,2,1,1,2,0.985654,3.539778,-15.76441772,47.94238281,-16.26343994,0.1268,0,3.54,0.114,-0.114,0,0.42900009,0,0.985654,3.64159,-0.499021,-3.27547,1,0,0
3,3,1,1,3,1.066799,-0.114665,22.3861499,5.47948975,18.56880005,0.10032,0,-0.115,0.114,-0.114,0,-0.1,0,1.0668,0,-3.83022,-10.1441,1,0,0
4,4,1,1,0,1.071192,0.560124,0,0,0,0,0,0,0,0,0,-0.096,0,1.07724,0.66429,-0.00719106,0.00122869,1,0,0
5,24,1,1,0,0.994352,-5.754753,0.88401001,-0.01112,0,0,0,0,0,0,0,0,0,1.00565,-5.23246,-0.884018,0.0111174,1,0,0
6,335,1,1,0,0.993495,-5.838106,0.39444,0.13708,0,0,0,0,0,0,0,0,0,1.00479,-5.31375,-0.394478,-0.13697,1,0,0
7,45,1,1,0,0.990373,-1.663482,2.04502014,0.76593002,0,0,0,0,0,0,0,0,0,0.986009,-1.84569,-2.04501,-0.765827,1,0,0
8,1578,1,1,0,0.98782,-1.97801,0.56302002,0.07077,0,0,0,0,0,0,0,0,0,0.98327,-2.16157,-0.563018,-0.0707544,1,0,0
9,16,1,1,0,0.991248,-20.125055,2.0595401,0.03285,0,0,0,0,0,0,0,0,0,0.962444,-16.6664,-2.05931,-0.0324248,1,0,0
10,2308,1,1,0,0.993089,-19.864431,1.70472,0.30292999,0,0,0,0,0,0,0,0,0,0.964697,-16.4204,-1.70444,-0.302253,1,0,0
11,70,1,1,0,0.99303,-14.209444,3.33578003,0.44723999,0,0,0,0,0,0,0,0,0,0.984586,-10.8583,-3.33563,-0.446666,1,0,0
12,1126,1,1,0,0.992456,-14.317151,1.14399002,-0.04616,0,0,0,0,0,0,0,0,0,0.983282,-11.0113,-1.14395,0.0462195,1,0,0
13,89,1,1,0,0.989391,-12.167232,0.45313,0.03603,0,0,0,0,0,0,0,0,0,0.979634,-10.4844,-0.453179,-0.035973,1,0,0
14,1619,1,1,0,0.990902,-12.031026,0.61693001,0.09637,0,0,0,0,0,0,0,0,0,0.980824,-10.3369,-0.616943,-0.0964289,1,0,0
15,1374,1,1,0,0.990207,-11.871511,-0.09107,-0.05839,0,0,0,0,0,0,0,0,0,0.98084,-10.1979,0.0910432,0.0584277,1,0,0
16,106,1,1,0,0.983573,-15.94095,2.07658997,0.51798,0,0,0,0,0,0,0,0,0,0.975641,-9.98252,-2.07651,-0.517643,1,0,0
17,112,1,1,0,0.98517,-15.325938,2.29014008,0.38640999,0,0,0,0,0,0,0,0,0,0.978948,-9.99868,-2.29008,-0.386102,1,0,0
18,96,1,1,0,0.986551,-6.523537,2.10811996,0.71238007,0,0,0,0,0,0,0,0,0,0.991567,-5.85366,-2.1081,-0.712212,1,0,0
19,742,1,1,0,0.982569,-7.18796,2.2284201,0.40803001,0,0,0,0,0,0,0,0,0,0.98754,-6.51078,-2.22839,-0.407896,1,0,0
20,1222,1,1,0,0.984169,-16.170584,2.26412994,0.31024,0,0,0,0,0,0,0,0,0,0.975181,-9.78031,-2.26415,-0.310081,1,0,0
21,207,1,1,0,0.984257,-15.643423,1.19483002,0.0139,0,0,0,0,0,0,0,0,0,0.978009,-10.32,-1.19481,-0.0137912,1,0,0
22,2587,1,1,0,0.984615,-15.581772,0.96835999,-0.02347,0,0,0,0,0,0,0,0,0,0.97837,-10.2576,-0.968384,0.023555,1,0,0
23,127,1,1,0,0.997309,5.108786,-0.52209,0.04684999,0,0,0,0,0,0,0,0,0,1.03142,5.31488,0.522082,-0.0468435,1,0,0
24,665,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03142,5.31488,0,0,1,0,0
