tap_bus,z_bus,area,zone,circuit,type,R,X,B,Line_Q1,Line_Q2,Line_Q3,control_bus,side,transformer_final_turns_ratio,transformer_final_angle,Min_tap,Max_tap,step_size,Min_volt,Max_volt,M_P_TLPF,M_Q_TLPF,M_P_TLPF_reverse,M_Q_TLPF_reverse,Ri_eP,Ri_eQ,Ri_eP_reverse,Ri_eQ_reverse
1,2,1,1,1,0,0.00156,0.007624,0.003506,0,0,0,0,0,0,0,0,0,0,0,0,0.7773,0.02066,-0.77636,-0.02314,1,1,1,1
3,4,1,1,1,0,0.000554,0.003465,0.00008,0,0,0,0,0,0,0,0,0,0,0,0,0.75064,0.01879,-0.75033,-0.017,1,1,1,1
3,4,1,1,1,0,0.000694,0.003327,0.002548,0,0,0,0,0,0,0,0,0,0,0,0,0.77509,-0.01957,-0.77467,0.01645,1,1,1,1
5,6,1,1,1,0,0.002287,0.011957,0.006653,0,0,0,0,0,0,0,0,0,0,0,0,-0.3167,-0.10708,0.31695,0.09507,1,1,1,1
5,6,1,1,1,0,0.002495,0.012684,0.006739,0,0,0,0,0,0,0,0,0,0,0,0,-0.29871,-0.09974,0.29896,0.08749,1,1,1,1
1,6,1,1,1,0,0.001352,0.006342,0.003406,0,0,0,0,0,0,0,0,0,0,0,0,0.91309,0.12312,-0.91195,-0.12462,1,1,1,1
1,6,1,1,1,0,0.001352,0.00655,0.003406,0,0,0,0,0,0,0,0,0,0,0,0,0.88449,0.12501,-0.88342,-0.12666,1,1,1,1
7,1,1,1,1,0,0.000915,0.006321,0.00373,0,0,0,0,0,0,0,0,0,0,0,0,0.53382,0.03229,-0.53356,-0.03801,1,1,1,1
7,1,1,1,1,0,0.000832,0.006238,0.00359,0,0,0,0,0,0,0,0,0,0,0,0,0.54133,0.03902,-0.54109,-0.04444,1,1,1,1
1,2,1,1,1,0,0.00156,0.007798,0.003786,0,0,0,0,0,0,0,0,0,0,0,0,0.76053,0.02319,-0.75963,-0.02633,1,1,1,1
3,8,1,1,1,0,0.0019,0.01176,0.004889,0,0,0,0,0,0,0,0,0,0,0,0,0.52823,0.0293,-0.5277,-0.03582,1,1,1,1
3,9,1,1,1,0,0.00204,0.02592,0.017532,0,0,0,0,0,0,0,0,0,0,0,0,-1.03489,-0.14965,1.0371,0.14238,1,1,1,1
3,8,1,1,1,0,0.00196,0.01242,0.004889,0,0,0,0,0,0,0,0,0,0,0,0,0.50032,0.02934,-0.49983,-0.03602,1,1,1,1
10,1,1,1,1,0,0.000858,0.00438,0.00503,0,0,0,0,0,0,0,0,0,0,0,0,1.02661,0.1267,-1.0257,-0.1322,1,1,1,1
9,10,1,1,1,0,0.001624,0.009682,0.002281,0,0,0,0,0,0,0,0,0,0,0,0,1.18095,0.06704,-1.17871,-0.05831,1,1,1,1
5,11,1,1,1,0,0.001015,0.005773,0.002572,0,0,0,0,0,0,0,0,0,0,0,0,0.2666,-0.03607,-0.26653,0.03135,1,1,1,1
5,11,1,1,1,0,0.001032,0.005756,0.002572,0,0,0,0,0,0,0,0,0,0,0,0,0.26712,-0.03705,-0.26704,0.03233,1,1,1,1
5,12,1,1,1,0,0.001049,0.00696,0.003288,0,0,0,0,0,0,0,0,0,0,0,0,-0.61547,0.01093,0.61586,-0.01487,1,1,1,1
5,12,1,1,1,0,0.001129,0.007231,0.003288,0,0,0,0,0,0,0,0,0,0,0,0,-0.5919,0.01348,0.5923,-0.01752,1,1,1,1
13,14,1,1,1,0,0.001456,0.006843,0.003968,0,0,0,0,0,0,0,0,0,0,0,0,0.39758,0.00016,-0.39735,-0.00701,1,1,1,1
14,12,1,1,1,0,0.000662,0.004083,0.005026,0,0,0,0,0,0,0,0,0,0,0,0,-0.34171,-0.03377,0.34179,0.02419,1,1,1,1
14,12,1,1,1,0,0.000756,0.004083,0.005026,0,0,0,0,0,0,0,0,0,0,0,0,-0.34094,-0.026,0.34103,0.01642,1,1,1,1
15,1,1,1,1,0,0.001418,0.011493,0.006083,0,0,0,0,0,0,0,0,0,0,0,0,1.03182,0.13918,-1.0303,-0.13915,1,1,1,1
15,9,1,1,1,0,0.000605,0.003573,0.001587,0,0,0,0,0,0,0,0,0,0,0,0,-1.1431,-0.0601,1.14388,0.0615,1,1,1,1
16,2,1,1,1,0,0.001096,0.008904,0.004496,0,0,0,0,0,0,0,0,0,0,0,0,-0.59044,-0.0065,0.59082,0.00056,1,1,1,1
16,2,1,1,1,0,0.001096,0.008904,0.004496,0,0,0,0,0,0,0,0,0,0,0,0,-0.59044,-0.0065,0.59082,0.00056,1,1,1,1
3,16,1,1,1,0,0.000926,0.006578,0.00291,0,0,0,0,0,0,0,0,0,0,0,0,0.04767,0.00969,-0.04767,-0.01551,1,1,1,1
3,16,1,1,1,0,0.000926,0.006578,0.00291,0,0,0,0,0,0,0,0,0,0,0,0,0.04767,0.00969,-0.04767,-0.01551,1,1,1,1
11,17,1,1,1,0,0.0006,0.005566,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.28389,0.02542,0.28393,-0.02496,1,1,1,1
18,7,1,1,1,0,0.005331,0.030057,0.227782,0,0,0,0,0,0,0,0,0,0,0,0,0.38414,-0.1281,-0.38331,-0.32901,1,1,1,1
19,20,1,1,1,0,0.011267,0.047259,0.00005,0,0,0,0,0,0,0,0,0,0,0,0,0.25579,0.00875,-0.25508,-0.00586,1,1,1,1
14,17,1,1,1,0,0.000578,0.005582,0.000064,0,0,0,0,0,0,0,0,0,0,0,0,0.51871,-0.00685,-0.51855,0.00823,1,1,1,1
3,21,1,1,1,0,0.002321,0.014809,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10981,-0.00037,-0.10978,0.00055,1,1,1,1
3,21,1,1,1,0,0.002304,0.014762,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11017,-0.00031,-0.11014,0.00048,1,1,1,1
2,22,1,1,1,1,0.003592,0.113006,0,0,0,0,0,0,1.016304,0,0,0,0,0,0,0.35488,0.04852,0,0,1,1,0,0
23,22,1,1,1,1,0.000057,-0.005482,0,0,0,0,0,0,1.052174,0,0,0,0,0,0,-0.25221,-0.01627,0,0,1,1,0,0
24,22,1,1,1,1,0.002268,0.052665,0,0,0,0,0,0,1.05,0,0,0,0,0,0,-0.10248,-0.01719,0,0,1,1,0,0
1,25,1,1,1,1,0.001815,0.133422,0,0,0,0,0,0,1.0125,0,0,0,0,0,0,-0.10226,0.01826,0,0,1,1,0,0
26,25,1,1,1,1,0.000926,-0.01225,0,0,0,0,0,0,1.052174,0,0,0,0,0,0,0.22718,-0.03687,0,0,1,1,0,0
27,25,1,1,1,1,0.001456,0.079338,0,0,0,0,0,0,1.05,0,0,0,0,0,0,-0.12481,0.02064,0,0,1,1,0,0
1,28,1,1,1,1,0.002193,0.129754,0,0,0,0,0,0,1.0125,0,0,0,0,0,0,-0.1027,0.04369,0,0,1,1,0,0
29,28,1,1,1,1,0.000851,-0.01,0,0,0,0,0,0,1.052174,0,0,0,0,0,0,0.23171,-0.01241,0,0,1,1,0,0
30,28,1,1,1,1,0.002628,0.073289,0,0,0,0,0,0,1.05,0,0,0,0,0,0,-0.1289,-0.02895,0,0,1,1,0,0
5,31,1,1,1,1,0.001834,0.055463,0,0,0,0,0,0,1.004348,0,0,0,0,0,0,0.65157,0.12431,0,0,1,1,0,0
32,31,1,1,1,1,0.000032,-0.003251,0,0,0,0,0,0,1.052174,0,0,0,0,0,0,-0.47506,-0.06871,0,0,1,1,0,0
33,31,1,1,1,1,0.001531,0.040019,0,0,0,0,0,0,1.05,0,0,0,0,0,0,-0.17614,-0.03046,0,0,1,1,0,0
5,34,1,1,1,1,0.001834,0.053611,0,0,0,0,0,0,1.004348,0,0,0,0,0,0,0.63929,0.13139,0,0,1,1,0,0
35,34,1,1,1,1,0.000032,-0.003214,0,0,0,0,0,0,1.052174,0,0,0,0,0,0,-0.49118,-0.08101,0,0,1,1,0,0
36,34,1,1,1,1,0.001531,0.043535,0,0,0,0,0,0,1.05,0,0,0,0,0,0,-0.14775,-0.02718,0,0,1,1,0,0
4,37,1,1,1,1,0.000926,0.088393,0,0,0,0,0,0,1.004348,0,0,0,0,0,0,0.70458,0.09521,0,0,1,1,0,0
38,37,1,1,1,1,0.000832,-0.007051,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.6512,-0.07456,0,0,1,1,0,0
39,37,1,1,1,1,0.001229,0.052325,0,0,0,0,0,0,1.05,0,0,0,0,0,0,-0.0526,0.02141,0,0,1,1,0,0
4,40,1,1,1,1,0.000964,0.08276,0,0,0,0,0,0,1.004348,0,0,0,0,0,0,0.7301,0.07613,0,0,1,1,0,0
