tap_bus,z_bus,area,zone,circuit,type,R,X,B,Line_Q1,Line_Q2,Line_Q3,control_bus,side,transformer_final_turns_ratio,transformer_final_angle,Min_tap,Max_tap,step_size,Min_volt,Max_volt,M_P_TLPF,M_Q_TLPF,M_P_TLPF_reversed,M_Q_TLPF_reversed,limit
1,2,莆田.东海Ⅰ路,1,1,0,0.005095,0.020378,0.000020,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.530000,2.750000,-12.600000,-3.220000,0.000000
3,4,莆田.石进Ⅰ路,1,1,0,0.001560,0.007624,0.003506,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,77.699997,0.540000,-78.260002,-3.480000,0.000000
5,6,莆田.涵林Ⅰ路,1,1,0,0.000732,0.002926,0.000017,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,31.090000,10.250000,-31.450001,-10.310000,0.000000
5,7,莆田.涵梧Ⅱ路,1,1,0,0.000756,0.003025,0.000030,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17.620001,4.290000,-17.910000,-5.230000,0.000000
5,8,莆田.涵梧Ⅰ路,1,1,0,0.005331,0.021323,0.000022,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.559999,3.950000,-18.650000,-4.510000,0.000000
9,10,莆田.盖城Ⅱ路,1,1,0,0.009943,0.041369,0.000041,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,44.490002,0.000000,-43.689999,0.200000,0.000000
9,10,莆田.盖城Ⅰ路,1,1,0,0.014253,0.057671,0.000060,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.940000,0.000000,0.000000,0.000000
9,11,莆田.盖郊Ⅰ路,1,1,0,0.005121,0.020484,0.000022,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.670000,3.680000,-14.400000,-3.760000,0.000000
9,12,莆田.盖榜Ⅱ路,1,1,0,0.008157,0.032628,0.000035,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.060000,-3.250000,-4.920000,2.780000,0.000000
9,13,莆田.盖枫线,1,1,0,0.011794,0.047176,0.000049,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.570000,0.000000,0.000000,0.000000
