bus_id,bus_name,area,loss_zone,type,voltage,angle,load_P,load_Q,generation_p,generation_Q,base_kV,desired_volts,MAX_Q,Min_Q,G,B,control_bus_number,M_Vm,M_Va,M_P,M_Q
1,85,0,1,1,1.03131,-3.28163,25.221,1.627,0,0,110,115,0,0,0,0,0,0,0,25.73,3.22
2,180,-1,1,1,0,0,0,0,0,0,110,115,0,0,0,0,0,117.62,0,0,0
3,51,0,1,1,1.00356,-0.660946,0,0,0,0,220,230,0,0,0,0,0,1,0,0,0
4,81,0,1,1,1.00219,-0.996389,0,0,0,0,220,230,0,0,0,0,0,229.75,0,0,0
5,70,0,1,1,1.03958,-3.18726,47.506,6.871,0,0,110,115,0,0,0,0,0,0,0,47.84,7.77
6,123,-1,1,1,0,0,0,0,0,0,110,115,0,0,0,0,0,0,0,0,0
7,137,-1,1,1,0,0,0,0,0,0,110,115,0,0,0,0,0,118.93,0,0,0
8,788,-1,1,1,0,0,0,0,0,0,110,115,0,0,0,0,0,118.91,0,0,0
9,21,0,1,1,0.991166,-4.71876,67.964,0.794,0,0,110,115,0,0,0,0,0,0,0,69.34,0
10,330,7,1,1,0,0,0,0,0,0,110,115,0,0,0,0,0,112.6,0,0,0
11,350,-1,1,1,0,0,0,0,0,0,110,115,0,0,0,0,0,113.31,0,0,0
12,296,5,1,2,0,0,0,0,5.686,-0.387,110,115,0,0,0,0,0,113.63,0,2.2,1.62
13,312,-1,1,1,0,0,0,0,0,0,110,115,0,0,0,0,0,111.87,0,0,0
14,524,0,1,2,1.00025,-1.63065,0,0,-102.753,-7.184,220,230,0,0,0,0,0,0,0,-107.8,-12.17
15,521,0,1,2,1.00164,-1.27911,22.532,6.032,206.005,-1.277,220,230,2,0,0,0,0,0,0,220.89,9.27
16,13,0,1,1,1.00116,-1.42713,9.032,-17.079,0,0,220,230,0,0,0,0,0,229.38,0,14.41,-16.92
17,34,-1,1,1,0,0,0,0,0,0,220,230,0,0,0,0,0,229.46,0,-186.03,-31.98
18,781,-1,1,1,0,0,0,0,0,0,110,115,0,0,0,0,0,117.39,0,0,0
19,791,-1,1,1,0,0,0,0,0,0,110,115,0,0,0,0,0,118.97,0,0,0
20,66,0,1,1,0.999617,-1.18486,0,0,0,0,220,230,0,0,0,0,0,229.72,0,0,0
21,434,0,1,1,1.00155,-0.981305,0,0,0,0,220,230,0,0,0,0,0,230.1,0,0,0
22,814,6,1,1,0,0,0,0,0,0,110,115,0,0,0,0,0,113.45,0,0,0
23,437,0,1,1,0.983276,-3.48832,34.122,0.903,0,0,110,115,0,0,0,0,0,0,0,34.29,2.01
24,491,-1,1,1,0,0,0,0,0,0,110,115,0,0,0,0,0,0,0,0,0
25,829,-1,1,1,0,0,0,0,0,0,110,115,0,0,0,0,0,112.52,0,0,0
26,483,0,1,1,0.990417,1.05724,-39.991,12.329,0,0,110,115,0,0,0,0,0,0,0,-39.94,13.13
27,206,3,1,1,0,0,0,0,0,0,110,115,0,0,0,0,0,114.36,0,0,0
28,480,0,1,1,1.00427,-0.470984,0,0,0,0,220,230,0,0,0,0,0,230.34,0,0,0
29,525,0,1,2,1.00751,0.228731,0,0,336.193,27.093,220,230,0,0,0,0,0,0,0,332.03,19.49
30,187,-1,1,1,0,0,0,0,0,0,110,115,0,0,0,0,0,113.13,0,0,0
31,171,-1,1,1,0,0,0,0,0,0,110,115,0,0,0,0,0,113.36,0,0,0
32,559,-1,1,1,0,0,0,0,0,0,110,115,0,0,0,0,0,113.2,0,0,0
33,580,0,1,1,1.005,-0.411932,0,0,0,0,220,230,0,0,0,0,0,230.42,0,0,0
34,583,0,1,1,0.994038,-1.11236,10.056,-5.732,0,0,110,115,0,0,0,0,0,0,0,10.61,-2.79
35,104,-1,1,1,0,0,0,0,0,0,110,115,0,0,0,0,0,113.52,0,0,0
36,820,-1,1,1,0,0,0,0,0,0,110,115,0,0,0,0,0,113.33,0,0,0
37,592,-1,1,1,0,0,0,0,0,0,110,115,0,0,0,0,0,0,0,0,0
38,598,0,1,1,0.999541,-1.27507,81.746,-8.91,0,0,220,230,0,0,0,0,0,228.81,0,82.33,-3.35
39,404,8,1,1,0,0,0,0,0,0,110,115,0,0,0,0,0,0,0,0,0
40,405,-1,1,1,0,0,0,0,0,0,110,115,0,0,0,0,0,0,0,0,0
41,522,0,1,2,1.00017,-0.93851,74.55,6.552,263.649,7.376,220,230,2,0,0,0,0,0,0,336.15,18.15
42,406,-1,1,1,0,0,0,0,0,0,110,115,0,0,0,0,0,0,0,0,0
43,407,-1,1,1,0,0,0,0,0,0,110,115,0,0,0,0,0,0,0,0,0
44,687,0,1,1,0.990397,-3.15724,52.154,4.921,0,0,110,115,0,0,0,0,0,0,0,52.41,6.2
45,408,-1,1,1,0,0,0,0,0,0,110,115,0,0,0,0,0,0,0,0,0
46,606,0,1,1,1.00043,-0.861864,0,0,0,0,220,230,0,0,0,0,0,229.34,0,0,0
47,683,0,1,1,0.999828,-1.01736,0,0,0,0,220,230,0,0,0,0,0,229.48,0,0,0
48,779,-1,1,1,0,0,0,0,0,0,110,115,0,0,0,0,0,113.56,0,0,0
49,196,-1,1,1,0,0,0,0,0,0,110,115,0,0,0,0,0,113.43,0,0,0
50,806,-1,1,1,0,0,0,0,0,0,110,115,0,0,0,0,0,112.42,0,0,0
51,677,0,1,1,0.996129,-0.473193,9.351,-6.496,0,0,110,115,0,0,0,0,0,0,0,9.8,-4.7
52,843,-1,1,1,0,0,0,0,0,0,110,115,0,0,0,0,0,114.04,0,0,0
53,674,0,1,1,1.00661,0,0,0,0,0,220,230,0,0,0,0,0,231.54,0,0,0
54,112,-1,1,1,0,0,0,0,0,0,110,115,0,0,0,0,0,113.82,0,0,0
55,709,0,1,1,1.00151,-1.29636,69.234,-4.506,0,0,220,230,0,0,0,0,0,230.19,0,72.5,1.3
56,713,0,1,1,0.990431,-3.9734,44.406,17.335,0,0,110,115,0,0,0,0,0,0,0,45.1,18.7
57,269,-1,1,1,0,0,0,0,0,0,110,115,0,0,0,0,0,0,0,0,0
58,718,-1,1,1,0,0,0,0,0,0,110,115,0,0,0,0,0,112.92,0,0,0
59,783,1,1,1,0,0,3.022,-0.822,0,0,110,115,0,0,0,0,0,113.7,0,-0.37,0
60,741,0,1,1,0.999571,-1.18359,0,0,0,0,220,230,0,0,0,0,0,230.09,0,0,0
61,735,0,1,1,1.00934,0.150331,0,0,0,0,220,230,0,0,0,0,0,232.6,0,0,0
62,736,0,1,2,1.00811,0.367366,-5.955,-0.243,32.463,-0.697,35,35,0,0,0,-0.0027,0,35.21,0,26.71,-0.83
63,813,-1,1,1,0,0,0,0,0,0,35,35,0,0,0,0,0,0,0,0,0
64,825,-1,1,1,0,0,0,0,0,0,35,35,0,0,0,0,0,0,0,6.47,0.15
65,731,-1,1,1,0,0,0,0,0,0,110,115,0,0,0,0,0,0,0,0,0
66,601,0,1,1,1.01727,1.56813,0,0,0,0,110,115,0,0,0,0,0,116.22,0,0,0
67,607,0,1,1,1.01409,0.902221,0,0,0,0,110,115,0,0,0,0,0,116.01,0,0,0
68,55,-1,1,1,0,0,0,0,0,0,110,115,0,0,0,0,0,0,0,0,0
69,294,-1,1,1,0,0,0,0,0,0,110,115,0,0,0,0,0,0,0,0,0
70,752,-1,1,1,0,0,0,0,0,0,110,115,0,0,0,0,0,114.28,0,0,0
71,756,-1,1,1,0,0,0,0,0,0,110,115,0,0,0,0,0,112.97,0,0,0
72,744,0,1,1,1.00139,-1.37205,0,0,0,0,220,230,0,0,0,0,0,229.98,0,0,0
73,747,0,1,1,0.985266,-2.3666,23.941,0.814,0,0,110,115,0,0,0,0,0,0,0,26.02,2.11
74,834,-1,1,1,0,0,0,0,0,0,110,115,0,0,0,0,0,112.17,0,0,0
75,840,-1,1,1,0,0,0,0,0,0,110,115,0,0,0,0,0,113.27,0,0,0
76,657,-1,1,1,0,0,0,0,0,0,110,115,0,0,0,0,0,113.15,0,0,0
77,11_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
78,88,0,1,1,1.02786,-3.68415,10.248,1.719,0,0,10,10.5,0,0,0,0.003,0,0,0,10.77,3.45
79,17_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
80,774,0,1,1,1.0413,-0.022443,-22.718,3.687,0,0,110,115,0,0,0,0,0,0,0,-22.37,4.96
81,61,0,1,1,1.03994,-0.442535,12.481,-2.064,0,0,10,10.5,0,0,0,0,0,0,0,12.83,-0.81
82,18_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
83,775,0,1,1,1.03754,-0.009828,-23.171,1.241,0,0,110,115,0,0,0,0,0,0,0,-22.91,2.95
84,776,0,1,1,1.03239,-0.427825,12.89,2.895,0,0,10,10.5,0,0,0,0.003,0,0,0,13.15,4.59
85,30_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
86,72,0,1,1,1.0356,-3.68986,17.614,3.046,0,0,10,10.5,0,0,0,0.006,0,0,0,17.97,4.14
87,31_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
88,777,0,1,1,1.03941,-3.07606,49.118,8.101,0,0,110,115,0,0,0,0,0,0,0,49.31,8.98
89,778,0,1,1,1.03549,-3.54484,14.775,2.718,0,0,10,10.5,0,0,0,0,0,0,0,14.99,3.78
90,40_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
91,768,0,1,1,0.98967,-4.7692,65.12,7.456,0,0,110,115,0,0,0,0,0,0,0,66.46,7.3
92,769,0,1,1,1.0403,-5.20379,5.26,-2.141,0,0,10,10.5,0,0,0,0.003,0,0,0,6.6,-2.31
93,55_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
94,24,0,1,1,1.03956,-5.0994,4.964,2.555,0,0,10,10.5,0,0,0,0.003,0,0,0,6.34,1.7
95,73_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
96,448,0,1,1,1.03254,-4.37689,24.652,-0.605,0,0,10,10.5,0,0,0,0,0,0,0,24.81,0.58
97,74_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
98,826,0,1,1,0.982991,-3.44815,39.908,1.387,0,0,110,115,0,0,0,0,0,0,0,40.19,2.41
99,449,0,1,1,1.03234,-4.18636,19.091,-0.545,0,0,10,10.5,0,0,0,0,0,0,0,19.36,0.55
100,75_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
101,485,0,1,1,1.03832,1.04778,4.92,0.569,0,0,10,10.5,0,0,0,0.0062,0,0,0,4.97,1.43
102,101_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
103,588,0,1,1,1.04485,-1.29621,5.149,-1.317,0,0,10,10.5,0,0,0,0.0032,0,0,0,5.7,1.85
104,103_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
105,827,0,1,1,0.991753,1.11601,-34.023,11.725,0,0,110,115,0,0,0,0,0,0,0,-33.86,12.6
106,828,0,1,1,1.04074,1.22575,-0.16,-0.94,0,0,10,10.5,0,0,0,0,0,0,0,0,0
107,602,0,1,2,1.00604,2.9681,0,0,13.11,0.479,35,35,0,0,0,0.0006,0,35.03,0,12.97,0.22
108,838,0,1,2,1.00702,2.89852,0,0,12.487,1.006,35,35,0,0,0,0.0006,0,35.05,0,12.75,0.73
109,110_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
110,608,0,1,2,1.01447,1.43668,0,0,13.687,0.817,35,35,0,0,0,0.0016,0,35.63,0,14.34,0.67
111,123_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
112,691,0,1,1,1.03981,-3.45324,3.911,0.315,0,0,10,10.5,0,0,0,0.003,0,0,0,4.16,1.69
113,124_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
114,679,0,1,1,1.04887,-0.66779,1.763,-1.532,0,0,10,10.5,0,0,0,0.0032,0,0,0,2.2,0.4
115,133_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
116,715,0,1,1,1.06393,-5.6379,13.914,-11.867,0,0,10,10.5,0,0,0,0.0032,0,0,0,14.6,-10.4
117,737,-1,1,1,0,0,0,0,0,0,35,35,0,0,0,0,0,0,0,0,0
118,743,0,1,1,1.00486,-2.93311,13.057,0.598,0,0,20,20,0,0,0,0.00072,0,0,0,13.16,2.56
119,844,0,1,1,1.00553,-2.56825,10.388,0.437,0,0,20,20,0,0,0,0.00072,0,0,0,10.6,2.38
120,146_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
121,749,0,1,1,1.08696,-2.15757,-1.928,-1.29,0,0,10,10.5,0,0,0,0.0032,0,0,0,0.15,0.21
