tap_bus,z_bus,area,zone,circuit,type,R,X,B,Line_Q1,Line_Q2,Line_Q3,control_bus,side,transformer_final_turns_ratio,transformer_final_angle,Min_tap,Max_tap,step_size,Min_volt,Max_volt,M_P_TLPF,M_Q_TLPF,M_P_TLPF_reverse,M_Q_TLPF_reverse,Ri_eP,Ri_eQ,Ri_eP_reverse,Ri_eQ_reverse
1,2,1,1,1,0,0.00156,0.007624,0.003506,0,0,0,0,0,0,0,0,0,0,0,0,0.77699997,0.0054,-0.78260002,-0.0348,1,1,1,1
1,2,1,1,1,0,0.00156,0.007798,0.003786,0,0,0,0,0,0,0,0,0,0,0,0,0.75290001,0,-0.75839996,-0.0348,1,0,1,1
1,6,1,1,1,0,0.001352,0.006342,0.003406,0,0,0,0,0,0,0,0,0,0,0,0,0.90559998,0.1045,-0.91989998,-0.134,1,1,1,1
1,6,1,1,1,0,0.001352,0.00655,0.003406,0,0,0,0,0,0,0,0,0,0,0,0,0.88150002,0.1152,-0.89309998,-0.1474,1,1,1,1
1,25,1,1,1,1,0.001815,0.133422,0,0,0,0,0,0,1.0125,0,0,0,0,0,0,-0.0951,0.0482,0,0,1,1,0,0
1,28,1,1,1,1,0.002193,0.129754,0,0,0,0,0,0,1.0125,0,0,0,0,0,0,-0.0938,0.0616,0,0,1,1,0,0
2,22,1,1,1,1,0.003592,0.113006,0,0,0,0,0,0,1.016304,0,0,0,0,0,0,0.3618,0.0724,0,0,1,1,0,0
3,4,1,1,1,0,0.000554,0.003465,0.00008,0,0,0,0,0,0,0,0,0,0,0,0,0.75059998,0.0046,-0.82919998,-0.0653,1,1,1,1
3,4,1,1,1,0,0.000694,0.003327,0.002548,0,0,0,0,0,0,0,0,0,0,0,0,0.74040001,-0.0023,-0.81879997,-0.067,1,1,1,1
3,8,1,1,1,0,0.0019,0.01176,0.004889,0,0,0,0,0,0,0,0,0,0,0,0,0.53369999,0.0194,-0.53740002,-0.067,1,1,1,1
3,8,1,1,1,0,0.00196,0.01242,0.004889,0,0,0,0,0,0,0,0,0,0,0,0,0.53970001,0.022,-0.54049999,-0.0611,1,1,1,1
3,9,1,1,1,0,0.00204,0.02592,0.017532,0,0,0,0,0,0,0,0,0,0,0,0,-1.00959999,-0.1801,0.99629997,0.078,1,1,1,1
3,16,1,1,1,0,0.000926,0.006578,0.00291,0,0,0,0,0,0,0,0,0,0,0,0,0.0736,-0.0006,-0.081,-0.033,1,1,1,1
3,16,1,1,1,0,0.000926,0.006578,0.00291,0,0,0,0,0,0,0,0,0,0,0,0,0.0851,0.0033,-0.077,-0.027,1,1,1,1
3,21,1,1,1,0,0.002321,0.014809,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1218,0,-0.1207,0,1,0,1,0
3,21,1,1,1,0,0.002304,0.014762,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1066,0.0262,-0.1223,0,1,1,1,0
4,37,1,1,1,1,0.000926,0.088393,0,0,0,0,0,0,1.004348,0,0,0,0,0,0,0.73160004,0.0998,0,0,1,1,0,0
4,40,1,1,1,1,0.000964,0.08276,0,0,0,0,0,0,1.004348,0,0,0,0,0,0,0.75639999,0.0931,0,0,1,1,0,0
5,6,1,1,1,0,0.002287,0.011957,0.006653,0,0,0,0,0,0,0,0,0,0,0,0,-0.3082,-0.1179,0.3126,0.0759,1,1,1,1
5,6,1,1,1,0,0.002495,0.012684,0.006739,0,0,0,0,0,0,0,0,0,0,0,0,-0.3002,-0.1152,0.30809999,0.067,1,1,1,1
5,11,1,1,1,0,0.001015,0.005773,0.002572,0,0,0,0,0,0,0,0,0,0,0,0,0.24120001,-0.0509,-0.25950001,0,1,1,1,0
5,11,1,1,1,0,0.001032,0.005756,0.002572,0,0,0,0,0,0,0,0,0,0,0,0,0.24120001,-0.0536,-0.25950001,0.0279,1,1,1,1
5,12,1,1,1,0,0.001049,0.00696,0.003288,0,0,0,0,0,0,0,0,0,0,0,0,-0.61369999,-0.008,0.59400002,-0.0275,1,1,1,1
5,12,1,1,1,0,0.001129,0.007231,0.003288,0,0,0,0,0,0,0,0,0,0,0,0,-0.5923,0,0.57200001,-0.033,1,0,1,1
5,31,1,1,1,1,0.001834,0.055463,0,0,0,0,0,0,1.004348,0,0,0,0,0,0,0.65660004,0.1554,0,0,1,1,0,0
5,34,1,1,1,1,0.001834,0.053611,0,0,0,0,0,0,1.004348,0,0,0,0,0,0,0.64720001,0.1635,0,0,1,1,0,0
6,43,1,1,1,1,0.000983,0.075614,0,0,0,0,0,0,1.016304,0,0,0,0,0,0,0.59610001,0.0683,0,0,1,1,0,0
6,46,1,1,1,1,0.000964,0.074877,0,0,0,0,0,0,1.016304,0,0,0,0,0,0,0.59610001,0.0737,0,0,1,1,0,0
7,1,1,1,1,0,0.000915,0.006321,0.00373,0,0,0,0,0,0,0,0,0,0,0,0,0.53049999,0,-0.53049999,-0.0447,1,0,1,1
7,1,1,1,1,0,0.000832,0.006238,0.00359,0,0,0,0,0,0,0,0,0,0,0,0,0.5193,0,-0.5473,-0.0503,1,0,1,1
