bus_id,bus_name,area,loss_zone,type,voltage,angle,load_P,load_Q,generation_p,generation_Q,base_kV,desired_volts,MAX_Q,Min_Q,G,B,control_bus_number,M_Vm,M_Va,M_P,M_Q,Ri_V,Ri_vP,Ri_vQ
1,51,0,1,1,1.00356,-0.660946,0,0,0,0,220,230,0,0,0,0,0,1,0,0,0,0,0,0
2,81,0,1,1,1.00219,-0.996389,0,0,0,0,220,230,0,0,0,0,0,229.75,0,0,0,0,0,0
3,521,0,1,2,1.00164,-1.27911,0.22532,0.06032,2.06005,-0.01277,220,230,2,0,0,0,0,0,0,2.2089,0.0927,0,0,0
4,13,0,1,1,1.00116,-1.42713,0.09032,-0.17079,0,0,220,230,0,0,0,0,0,229.38,0,0.1441,-0.1692,0,0,0
5,66,0,1,1,0.999617,-1.18486,0,0,0,0,220,230,0,0,0,0,0,229.72,0,0,0,0,0,0
6,434,0,1,1,1.00155,-0.981305,0,0,0,0,220,230,0,0,0,0,0,230.1,0,0,0,0,0,0
7,480,0,1,1,1.00427,-0.470984,0,0,0,0,220,230,0,0,0,0,0,230.34,0,0,0,0,0,0
8,524,0,1,2,1.00025,-1.63065,0,0,-1.02753,-0.07184,220,230,0,0,0,0,0,0,0,-1.078,-0.1217,0,0,0
9,525,0,1,3,1.00751,0.228731,0,0,3.36193,0.27093,220,230,0,0,0,0,0,1.00751,0,3.3203,0.1949,0,0,0
10,580,0,1,1,1.005,-0.411932,0,0,0,0,220,230,0,0,0,0,0,230.42,0,0,0,0,0,0
11,598,0,1,1,0.999541,-1.27507,0.81746,-0.0891,0,0,220,230,0,0,0,0,0,228.81,0,0.8233,-0.0335,0,0,0
12,522,0,1,2,1.00017,-0.93851,0.7455,0.06552,2.63649,0.07376,220,230,2,0,0,0,0,0,0,3.3615,0.1815,0,0,0
13,606,0,1,1,1.00043,-0.861864,0,0,0,0,220,230,0,0,0,0,0,229.34,0,0,0,0,0,0
14,683,0,1,1,0.999828,-1.01736,0,0,0,0,220,230,0,0,0,0,0,229.48,0,0,0,0,0,0
15,674,0,1,1,1.00661,0,0,0,0,0,220,230,0,0,0,0,0,231.54,0,0,0,0,0,0
16,709,0,1,1,1.00151,-1.29636,0.69234,-0.04506,0,0,220,230,0,0,0,0,0,230.19,0,0.725,0.013,0,0,0
17,741,0,1,1,0.999571,-1.18359,0,0,0,0,220,230,0,0,0,0,0,230.09,0,0,0,0,0,0
18,735,0,1,1,1.00934,0.150331,0,0,0,0,220,230,0,0,0,0,0,232.6,0,0,0,0,0,0
19,601,0,1,1,1.01727,1.56813,0,0,0,0,110,115,0,0,0,0,0,116.22,0,0,0,0,0,0
20,607,0,1,1,1.01409,0.902221,0,0,0,0,110,115,0,0,0,0,0,116.01,0,0,0,0,0,0
21,744,0,1,1,1.00139,-1.37205,0,0,0,0,220,230,0,0,0,0,0,229.98,0,0,0,0,0,0
22,11_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
23,85,0,1,1,1.03131,-3.28163,0.25221,0.01627,0,0,110,115,0,0,0,0,0,0,0,0.2573,0.0322,0,0,0
24,88,0,1,1,1.02786,-3.68415,0.10248,0.01719,0,0,10,10.5,0,0,0,0.003,0,0,0,0.1077,0.0345,0,0,0
25,17_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
26,774,0,1,1,1.0413,-0.022443,-0.22718,0.03687,0,0,110,115,0,0,0,0,0,0,0,-0.2237,0.0496,0,0,0
27,61,0,1,1,1.03994,-0.442535,0.12481,-0.02064,0,0,10,10.5,0,0,0,0,0,0,0,0.1283,-0.0081,0,0,0
28,18_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
