tap_bus,z_bus,area,zone,circuit,type,R,X,B,Line_Q1,Line_Q2,Line_Q3,control_bus,side,transformer_final_turns_ratio,transformer_final_angle,Min_tap,Max_tap,step_size,Min_volt,Max_volt,M_P_TLPF,M_Q_TLPF,M_P_TLPF_reverse,M_Q_TLPF_reverse,Ri_eP,Ri_eQ,Ri_eP_reverse,Ri_eQ_reverse
1,2,1,1,1,0,0.000055,0.001198,0.085819,0,0,0,0,0,0,0,0,0,0,0,0,30,-11.9658,-10.162,11.9204,1,1,1,1
1,2,1,1,1,0,0.000065,0.001219,0.151109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
1,26,1,1,1,0,0.001693,0.020206,1.192102,0,0,0,0,0,0,0,0,0,0,0,0,5.39501,-0.190778,-5.36803,-1.51208,1,1,1,1
1,26,1,1,1,0,0.00152,0.019908,1.137506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
1,126,1,1,1,0,0.000434,0.00627,0.358346,0,0,0,0,0,0,0,0,0,0,0,0,-3.63525,6.54364,3.64965,-6.96665,1,1,1,1
1,126,1,1,1,0,0.00041,0.006475,0.380794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
1,171,1,1,1,0,0.000887,0.012727,0.721233,0,0,0,0,0,0,0,0,0,0,0,0,-11.5164,-0.0652056,11.5819,-0.257169,1,1,1,1
1,171,1,1,1,0,0.00086,0.012727,0.711021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
1,388,1,1,1,0,0.000289,0.004878,0.274611,0,0,0,0,0,0,0,0,0,0,0,0,-4.94153,5.40044,4.9507,-5.72629,1,1,1,1
1,388,1,1,1,0,0.000289,0.004799,0.273832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
1,914,1,1,1,1,0.000113,0.018133,0,0,0,0,0,0,1,0,0,0,0,0,0,3.0154,1.36312,-3.01401,-1.1392,1,1,1,1
1,916,1,1,1,1,0.000113,0.018133,0,0,0,0,0,0,1,0,0,0,0,0,0,3.01559,1.34646,-3.0142,-1.12344,1,1,1,1
2,3,1,1,1,0,0.000544,0.008073,0.523577,0,0,0,0,0,0,0,0,0,0,0,0,5.13423,2.41237,-5.11408,-2.57272,1,1,1,1
2,6,1,1,1,0,0.000544,0.008073,0.523577,0,0,0,0,0,0,0,0,0,0,0,0,5.07666,2.40218,-5.05689,-2.56833,1,1,1,1
4,5,1,1,1,0,0.000738,0.009575,0.582413,0,0,0,0,0,0,0,0,0,0,0,0,9.84984,-4.72158,-9.81614,3.67359,1,1,1,1
4,5,1,1,1,0,0.000731,0.009318,0.596693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
