bus_id,bus_name,area,loss_zone,type,voltage,angle,load_P,load_Q,generation_p,generation_Q,base_kV,desired_volts,MAX_Q,Min_Q,G ,B ,control_bus_number,M_Vm,M_Va,M_P,M_Q,Ri_V,Ri_vP,Ri_vQ
1,1607,1,1,0,1.005587,-5.708729,0,0,0,0,0,0,0,0,0,0,0,0.941683,7.20192,1.31E-05,0.000113403,1,0,0
2,3921,1,1,0,1.005136,-6.056246,-0.04889,0.01609,0,0,0,0,0,0,0,18.6,0,0.948995,6.78515,0.0488719,-0.0160681,1,0,0
3,356,1,1,0,0.984547,-8.382053,5.11410004,2.57285004,0,0,0,0,0,0,0,0,0,0.924486,4.17145,-5.11408,-2.57272,1,0,0
4,2110,1,1,0,0.99883,-8.518882,0,0,0,0,0,0,0,0,0,-2.7,0,0.910966,3.23924,1.18E-06,0.000275652,1,0,0
5,2,1,1,0,0.996145,-9.212372,-0.1316,-10.85160034,0,0,0,0,0,0,0,18,0,0.922806,1.0507,0.125787,10.8537,1,0,0
6,357,1,1,0,0.984636,-8.355235,5.0569101,2.56846008,0,0,0,0,0,0,0,0,0,0.924584,4.20175,-5.05689,-2.56833,1,0,0
7,189,1,1,0,1.014208,12.649483,0,0,0,0,0,0,0,0,0,0,0,0.967575,27.9598,-6.21E-05,9.86E-05,1,0,0
8,2319,1,1,0,1.004867,10.265459,0,0,0,0,0,0,0,0,0,-5.6,0,0.946781,25.3402,-0.000139791,0.000342068,1,0,0
9,269,1,1,0,1.002113,-6.16638,0,0,0,0,0,0,0,0,0,0,0,0.946383,3.3039,-0.000181698,0.000599121,1,0,0
10,268,1,1,0,0.998737,-6.149737,0,0,0,0,0,0,0,0,0,0,0,0.942159,4.48988,-0.000598857,0.000741029,1,0,0
11,5907,1,1,0,0.995904,-9.152714,81.8232666,43.28958984,0,0,0,0,0,0,0,51.999992,0,0.924008,1.302,-81.822,-43.2806,1,0,0
12,278,1,1,0,1.003213,1.907065,0,0,0,0,0,0,0,0,0,0,0,0.968281,13.5529,-0.00128383,0.00225854,1,0,0
13,987,1,1,0,0.992576,-10.861304,0,0,0,0,0,0,0,0,0,0,0,0.883644,1.76396,2.32E-05,5.84E-05,1,0,0
14,350,1,1,0,0.989098,-12.279664,0.85695,0.04942,0,0,0,0,0,0,0,0,0,0.877594,-0.00547257,-0.856922,-0.0493952,1,0,0
