tap_bus,z_bus,st,area,zone,circuit,type,R,X,B,Line_Q1,Line_Q2,Line_Q3,control_bus,side,transformer_final_turns_ratio,transformer_final_angle,Min_tap,Max_tap,step_size,Min_volt,Max_volt,M_P_TLPF,M_Q_TLPF,M_P_TLPF_reverse,M_Q_TLPF_reverse,Ri_eP,Ri_eQ,Ri_eP_reverse,Ri_eQ_reverse
1,2,西南.谭家湾.500.1727,西南.谭德二线,1,1,0,0.000055,0.001198,0.078281,0,0,0,0,0,0,0,0,0,0,0,0,-12.050229,-0.06791,12.058161,0.0816,1,1,1,1
1,2,西南.谭家湾.500.1727,西南.谭德一线,1,1,0,0.000065,0.001219,0.151109,0,0,0,0,0,0,0,0,0,0,0,0,-11.839411,-0.05685,11.84842,-0.07989,1,1,1,1
2,3,国调.德阳换流站.500.4177,国调.德宝直流极1线路,1,1,0,0.000544,0.008073,0.523577,0,0,0,0,0,0,0,0,0,0,0,0,-11.980649,6.40044,12.083621,-5.88806,1,1,1,1
4,5,西南.泸州.500.2288,西南.泸复二线,1,1,0,0.000738,0.009575,0.582413,0,0,0,0,0,0,0,0,0,0,0,0,-2.51824,0.46711,2.52294,-0.75187,1,1,1,1
4,5,西南.泸州.500.2288,西南.泸复三线,1,1,0,0.000731,0.009318,0.596693,0,0,0,0,0,0,0,0,0,0,0,0,-2.58686,0.46256,2.59178,-0.7743,1,1,1,1
4,5,西南.泸州.500.2288,西南.泸复一线,1,1,0,0.000759,0.009541,0.578865,0,0,0,0,0,0,0,0,0,0,0,0,-2.52618,0.47759,2.53105,-0.75503,1,1,1,1
2,6,国调.德阳换流站.500.4177,国调.德宝直流极2线路,1,1,0,0.000544,0.008073,0.523577,0,0,0,0,0,0,0,0,0,0,0,0,-11.863681,6.38262,11.96501,-5.89442,1,1,1,1
7,8,国调.官地电厂.500.189,国调.官月Ⅰ线,1,1,0,0.000301,0.003585,0.184517,0,0,0,0,0,0,0,0,0,0,0,0,3.04643,-0.71416,-3.04366,0.36381,1,1,1,1
7,8,国调.官地电厂.500.189,国调.官月Ⅱ线,1,1,0,0.00004,0.003585,0.183737,0,0,0,0,0,0,0,0,0,0,0,0,3.08699,-0.49179,-3.08662,0.1433,1,1,1,1
9,5,国调.向家坝.500.277,国调.向复一线,1,1,0,0.00022,0.003583,0.214905,0,0,0,0,0,0,0,0,0,0,0,0,6.70733,-0.56835,-6.69743,0.29849,1,1,1,1
