bus_id,bus_name,area,loss_zone,type,voltage,angle,load_P,load_Q,generation_p,generation_Q,base_kV,desired_volts,MAX_Q,Min_Q,G,B,control_bus_number,M_Vm,M_Va,M_P,M_Q,Ri_V,Ri_vP,Ri_vQ
1,西南.谭家湾.500.1727,0,1,1,1.00548,-7.59785,0,0,0,0,500,525,0,0,0,0,0,1.00548,0,0,0,1,0,0
2,国调.德阳换流站.500.4177,0,1,1,1.00623,-6.78013,-0.06225,-0.22975,0,0,500,525,0,0,0,18.6,0,1.006230476,0,0,0,1,0,0
3,重庆.宝鸡等值虚厂.500.364,0,1,1,0.962306,-0.823496,-12.0836,5.88806,0,0,500,525,0,0,0,0,0,0,0,-1236.64,-603.44,0,0,0
4,西南.泸州.500.2288,0,1,1,1.00152,-7.25084,0,0,0,0,500,525,0,0,0,-2.7,0,1.00152,0,0,0,1,0,0
5,国调.复龙换流站.500.2,0,1,1,1.00148,-5.86373,0,0,0,0,500,525,0,0,0,18,0,1.001481905,0,0,0,1,0,0
6,重庆.宝鸡等值虚厂.500.365,0,1,1,0.962287,-0.880131,-11.965,5.89442,0,0,500,525,0,0,0,0,0,0,0,-1228.37,-597.73,0,0,0
7,国调.官地电厂.500.189,0,1,1,1.01871,-0.49875,0,0,0,0,500,525,0,0,0,0,0,1.018708571,0,0,0,1,0,0
8,国调.月城.500.2498,0,1,1,1.01971,-1.10976,0,0,0,0,500,525,0,0,0,-5.6,0,1.019706667,0,0,0,1,0,0
9,国调.向家坝.500.277,0,1,1,1.0014,-4.48613,0,0,0,0,500,525,0,0,0,0,0,1.00140381,0,0,0,1,0,0
10,国调.向家坝.500.276,0,1,1,1.00183,-4.56475,0,0,0,0,500,525,0,0,0,0,0,1.001828571,0,0,0,1,0,0
11,国调.宜宾换流.500.6204,0,1,1,1.00012,-5.69793,45.9046,19.5701,0,0,500,525,0,0,0,52,0,1.000121905,0,4592.77,1957.03,1,0,0
12,国调.溪洛渡电厂.500.286,0,1,1,0.998047,2.98044,0,0,0,0,500,525,0,0,0,0,0,0.998045714,2.98,0,0,1,0,0
13,重庆.来苏等值虚厂.220.358,0,1,1,0.991599,-10.792,0.00011,0.01597,0,0,220,230,0,0,0,0,0,0.9916,0,0,8.04,1,0,0
14,四川.金鹅.220.1051,0,1,1,0.989627,-10.7691,0,0,0,0,220,230,0,0,0,0,0,0.989626087,0,0,0,1,0,0
15,西南.黄岩.500.943,0,1,1,1.00027,-10.5925,0,0,0,0,500,525,0,0,0,0,0,1.000270476,0,0,0,1,0,0
16,重庆.万县等值虚厂.500.359,0,1,1,0.999455,-8.67196,-4.56172,-3.68872,0,0,500,525,0,0,0,-6.2752,0,0.999455238,0,0,0,1,0,0
17,西南.洪沟.500.886,0,1,1,1.00244,-8.99144,0,0,0,0,500,525,0,0,0,-5.4,0,1.002441905,0,0,0,1,0,0
18,重庆.板桥等值虚厂.500.325,0,1,1,0.993976,-13.3496,6.71926,0.6026,0,0,500,525,0,0,0,0,0,0.993975238,0,0,0,1,0,0
19,四川.白马新厂.220.488,0,1,1,0.993106,-10.4314,-2.00E-05,0,0,0,220,230,0,0,0,0,0,0.993104348,0,0,0,1,0,0
20,四川.寿溪桥.220.1590,0,1,1,0.992777,-10.7602,0,0,0,0,220,230,0,0,0,0,0,0.992778261,0,0,0,1,0,0
21,四川.新广兴.220.1908,0,1,1,1.0017,-10.3926,0,0,0,0,220,230,0,0,0,0,0,1.0017,0,0,0,1,0,0
22,四川.白石岩.220.499,0,1,1,1.00296,-10.0616,0.00227,-0.09958,0,0,220,230,0,0,0,0,0,1.002956522,0,0,-9.85,1,0,0
23,四川.新棉.220.1923,0,1,1,1.01198,0.558601,-0.2015,0.02326,0,0,220,230,0,0,0,0,0,1.011982609,0.559,-20.18,1.79,1,0,0
24,四川.姚河坝厂.220.2058,0,1,1,1.01307,1.31909,0,0,0,0,220,230,0,0,0,0,0,1.013065217,1.319,0,0,1,0,0
25,四川.临巴厂.500.1154,0,1,1,0.995501,-10.8873,0,0,0,0,500,525,0,0,0,-0.7438,0,0.995500952,0,0,0,1,0,0
26,四川.南充.500.1296,0,1,1,0.998993,-10.7275,0,0,0,0,500,525,0,0,0,-3,0,0.998992381,0,0,0,1,0,0
27,四川.宝珠寺厂.220.543,0,1,1,1.00235,-9.47317,0,0,0,0,220,230,0,0,0,0,0,1.002352174,0,0,0,1,0,0
28,四川.袁家坝.220.2148,0,1,1,1.00211,-10.3084,0,0,0,0,220,230,0,0,0,0,0,1.002108696,0,0,0,1,0,0
29,四川.赤化.220.580,0,1,1,1.00565,-10.0344,0,0,0,0,220,230,0,0,0,0,0,1.005643478,0,0,0,1,0,0
30,四川.天明.220.1769,0,1,1,1.00214,-10.1106,0,0,0,0,220,230,0,0,0,0,0,1.002143478,0,0,0,1,0,0
31,四川.平春.220.1376,0,1,1,0.984581,-9.52232,0,-0.0145,0,0,220,230,0,0,0,0,0,0.984582609,0,0,0,1,0,0
32,四川.东坡.220.687,0,1,1,0.982989,-9.24993,0,-0.03351,0,0,220,230,0,0,0,0,0,0.982986957,0,0,0,1,0,0
33,四川.石棉.220.1561,0,1,1,0.998951,-1.16496,0,0,0,0,220,230,0,0,0,0,0,0.998952174,0,0,0,1,0,0
34,四川.滨东厂.220.555,0,1,1,0.997756,-0.0506,0,0,0,0,220,230,0,0,0,0,0,0.997756522,0,0,0,1,0,0
35,四川.修文.220.1958,0,1,1,0.982716,-9.88823,2.12843,0.68906,0,0,220,230,0,0,0,0,0,0.982717391,0,212.4,72.6,1,0,0
36,四川.修文.220.10939,0,1,1,0.978957,-9.82425,2.06305,0.58854,0,0,220,230,0,0,0,0,0,0.978956522,0,206.1,63.1,1,0,0
37,西南.普提.500.10934,0,1,1,1.00806,-3.01219,0,0,0,0,500,525,0,0,0,0,0,0,0,0,0,0,0,0
38,西南.二滩厂.500.784,0,1,1,1.00722,-1.17794,0,0,0,0,500,525,0,0,0,0,0,1.007217143,0,0,0,1,0,0
39,西南.石板箐.500.1519,0,1,1,1.00699,-1.90439,0,0,0,0,500,525,0,0,0,0,0,1.006994286,0,0,0,1,0,0
40,四川.龚嘴上厂.220.843,0,1,1,1.00057,-1.25498,-0.0446,0.15164,0,0,220,230,0,0,0,0,0,1.000565217,0,-4.63,17.27,1,0,0
41,四川.九里.220.1090,0,1,1,0.998931,-3.329,0,0,0,0,220,230,0,0,0,0,0,0.998930435,0,0,0,1,0,0
42,四川.龚嘴下厂.220.846,0,1,1,0.999819,-2.80294,-0.02188,0.00759,0,0,220,230,0,0,0,0,0,0.999817391,0,-2.17,0.28,1,0,0
43,四川.桥沟.220.1458,0,1,1,0.991516,-6.8535,0,0,0,0,220,230,0,0,0,0,0,0.991517391,0,0,0,1,0,0
44,四川.屏山.220.1384,0,1,1,0.986817,-4.99765,0,0,0,0,220,230,0,0,0,0,0,0.986817391,0,0,0,1,0,0
45,四川.龚嘴上厂.220.10931,0,1,1,0.997361,6.16153,0,0,0,0,220,230,0,0,0,0,0,0,0,0,0,0,0,0
46,四川.六六六.220.3317,0,1,1,0.999132,-2.53482,0,0,0,0,220,230,0,0,0,0,0,0.999130435,0,0,0,1,0,0
47,四川.广安厂.220.857,0,1,1,0.993439,-13.0185,0,0,0,0,220,230,0,0,0,0,0,0.99343913,0,0,0,1,0,0
48,四川.代市.220.623,0,1,1,0.993088,-12.9889,0,0,0,0,220,230,0,0,0,0,0,0.993086957,0,0,0,1,0,0
49,四川.广安二厂.500.3095,0,1,1,1.00022,-10.5761,0,0,0,0,500,525,0,0,0,0,0,1.000224762,0,0,0,1,0,0
50,四川.双合.220.1639,0,1,1,1.00295,-6.19619,0,0,0,0,220,230,0,0,0,-0.3,0,1.002947826,0,0,0,1,0,0
51,四川.黑河塘厂.220.884,0,1,1,1.00519,-5.67013,0,0,0,0,220,230,0,0,0,0,0,1.005186957,0,0,0,1,0,0
52,四川.天井坎.220.1756,0,1,1,0.987902,-10.3018,0,0,0,0,220,230,0,0,0,0,0,0.9879,0,0,0,1,0,0
53,四川.百花滩厂.220.517,0,1,1,0.989331,-10.2615,0,0,0,0,220,230,0,0,0,0,0,0.989330435,0,0,0,1,0,0
54,四川.尖山.220.1000,0,1,1,0.993444,-12.7615,0,0,0,0,220,230,0,0,0,0,0,0.993443478,0,0,0,1,0,0
55,四川.长顺.220.570,0,1,1,0.993602,-13.3727,0,0,0,0,220,230,0,0,0,0,0,0.9936,0,0,0,1,0,0
56,四川.徐家渡.220.1961,0,1,1,0.990739,-13.3404,0,0,0,0,220,230,0,0,0,0,0,0.99073913,0,0,0,1,0,0
57,四川.江油新厂.220.1039,0,1,1,1.00079,-10.1641,0,0,0,0,220,230,0,0,0,0,0,1.000791304,0,0,0,1,0,0
