tap_bus,z_bus,area,zone,circuit,type,R,X,B,Line_Q1,Line_Q2,Line_Q3,control_bus,side,transformer_final_turns_ratio,transformer_final_angle,Min_tap,Max_tap,step_size,Min_volt,Max_volt,M_P_TLPF,M_Q_TLPF,M_P_TLPF_reversed,M_Q_TLPF_reversed,limit,ioff,joff
1,2,1,1,1,0,0.000055,0.001198,0.078281,0,0,0,0,0,0,0,0,0,0,0,0,-8.910931,0.1194,8.91523,-0.18595,4861.528809,0,0
1,2,1,1,1,0,0.000065,0.001219,0.151109,0,0,0,0,0,0,0,0,0,0,0,0,-8.753469,0.10696,8.75838,-0.32386,4861.528809,0,0
3,4,1,1,1,0,0.000738,0.009575,0.582413,0,0,0,0,0,0,0,0,0,0,0,0,-2.11358,1.2815,2.11685,-0.6885,3641.600098,0,0
3,4,1,1,1,0,0.000731,0.009318,0.596693,0,0,0,0,0,0,0,0,0,0,0,0,-2.17125,1.27384,2.17467,-0.70861,3641.600098,0,0
3,4,1,1,1,0,0.000759,0.009541,0.578865,0,0,0,0,0,0,0,0,0,0,0,0,-2.12038,1.29072,2.12376,-0.6904,3641.600098,0,0
5,4,1,1,1,0,0.00022,0.003583,0.214905,0,0,0,0,0,0,0,0,0,0,0,0,3.18481,-0.48829,-3.18259,0.08922,5348.600098,0,0
5,4,1,1,1,0,0.00022,0.003583,0.214905,0,0,0,0,0,0,0,0,0,0,0,0,3.18481,-0.48829,-3.18259,0.08922,5348.600098,0,0
6,4,1,1,1,0,0.00022,0.003583,0.214905,0,0,0,0,0,0,0,0,0,0,0,0,5.88513,-1.08733,-5.87741,0.77854,5348.600098,0,0
6,4,1,1,1,0,0.00022,0.003583,0.214905,0,0,0,0,0,0,0,0,0,0,0,0,5.88513,-1.08733,-5.87741,0.77854,5348.600098,0,0
7,8,1,1,1,0,0.000301,0.003585,0.184517,0,0,0,0,0,0,0,0,0,0,0,0,3.05691,-0.75993,-3.05411,0.40994,4183.288086,0,0
7,8,1,1,1,0,0.00004,0.003585,0.183737,0,0,0,0,0,0,0,0,0,0,0,0,3.10081,-0.53684,-3.10044,0.1887,4183.288086,0,0
9,4,1,1,1,0,0.00006,0.001267,0.089923,0,0,0,0,0,0,0,0,0,0,0,0,2.77091,-0.75148,-2.77043,0.57959,4861.536133,0,0
10,9,1,1,1,0,0.00048,0.009556,0.561815,0,0,0,0,0,0,0,0,0,0,0,0,10.00286,-1.35938,-9.954391,1.19655,5348.600098,0,0
10,9,1,1,1,0,0.000412,0.009012,0.568609,0,0,0,0,0,0,0,0,0,0,0,0,10.612901,-1.36717,-10.56608,1.24944,5348.600098,0,0
10,9,1,1,1,0,0.00041,0.009021,0.570427,0,0,0,0,0,0,0,0,0,0,0,0,10.60215,-1.36531,-10.55565,1.24288,5348.600098,0,0
9,4,1,1,1,0,0.000059,0.001266,0.092301,0,0,0,0,0,0,0,0,0,0,0,0,2.7733,-0.75415,-2.77282,0.57745,4861.536133,0,0
11,12,1,1,1,0,0.000688,0.005674,0.346012,0,0,0,0,0,0,0,0,0,0,0,0,2.32815,-0.47127,-2.32458,-0.22235,4183.288086,0,0
11,12,1,1,1,0,0.000616,0.005674,0.338699,0,0,0,0,0,0,0,0,0,0,0,0,2.33273,-0.43434,-2.32952,-0.24391,4183.288086,0,0
2,13,1,1,1,0,0.000544,0.008073,0.523577,0,0,0,0,0,0,0,0,0,0,0,0,-8.92113,4.34369,8.97623,-4.56295,3835.199951,0,0
2,14,1,1,1,0,0.000544,0.008073,0.523577,0,0,0,0,0,0,0,0,0,0,0,0,-9.05089,-3.74029,9.10002,3.36453,3835.199951,0,0
16,15,1,1,1,0,0.010737,0.054491,0.05277,0,0,0,0,0,0,0,0,0,0,0,0,0.0029,-0.08976,-0.00289,-0.01471,910.400024,0,0
17,18,1,1,1,0,0.000765,0.011613,0.903526,0,0,0,0,0,0,0,0,0,0,0,0,-3.30377,-0.46703,3.31221,1.93811,3641.600098,0,0
17,18,1,1,1,0,0.001077,0.011727,0.905707,0,0,0,0,0,0,0,0,0,0,0,0,-3.25255,-0.39034,3.26417,1.82916,3641.600098,0,0
19,20,1,1,1,0,0.000911,0.011365,0.64438,0,0,0,0,0,0,0,0,0,0,0,0,5.9803,-0.25333,-5.94795,-0.63793,3641.600098,0,0
19,20,1,1,1,0,0.000883,0.011163,0.664069,0,0,0,0,0,0,0,0,0,0,0,0,6.08868,-0.25921,-6.0562,-0.66423,3641.600098,0,0
21,22,1,1,1,0,0.001844,0.010714,0.009685,0,0,0,0,0,0,0,0,0,0,0,0,0.4976,-0.06218,-0.49713,0.04568,910.400024,0,0
23,24,1,1,1,0,0.000689,0.007231,0.006951,0,0,0,0,0,0,0,0,0,0,0,0,-0.65591,-0.21792,0.65623,0.20708,910.400024,0,0
25,26,1,1,1,0,0.002486,0.014977,0.013378,0,0,0,0,0,0,0,0,0,0,0,0,-0.29482,-0.01472,0.29503,-0.0114,910.400024,0,0
27,28,1,1,1,0,0.000582,0.008027,0.491207,0,0,0,0,0,0,0,0,0,0,0,0,-1.58871,0.66849,1.59028,-0.06907,3641.600098,0,0
24,29,1,1,1,0,0.0015,0.0091,0.014458,0,0,0,0,0,0,0,0,0,0,0,0,-0.61023,0.03782,0.61078,-0.0641,1563.599976,0,0
30,29,1,1,1,0,0.003236,0.017933,0.026147,0,0,0,0,0,0,0,0,0,0,0,0,-0.4887,-0.04247,0.48946,-0.00681,910.400024,0,0
31,24,1,1,1,0,0.002429,0.015431,0.02063,0,0,0,0,0,0,0,0,0,0,0,0,0.35219,0.0521,-0.35188,-0.09248,1563.599976,0,0
32,31,1,1,1,0,0.018376,0.079203,0.075271,0,0,0,0,0,0,0,0,0,0,0,0,0.06192,-0.15324,-0.06175,0.00004,781.799988,0,0
33,34,1,1,1,0,0.002735,0.012637,0.009455,0,0,0,0,0,0,0,0,0,0,0,0,-0.28983,0.20495,0.29019,-0.22165,910.400024,0,0
33,34,1,1,1,0,0.002174,0.01228,0.010813,0,0,0,0,0,0,0,0,0,0,0,0,-0.3087,0.19995,0.30901,-0.21922,910.400024,0,0
33,34,1,1,1,0,0.001435,0.009735,0.012543,0,0,0,0,0,0,0,0,0,0,0,0,-0.39876,0.2431,0.39909,-0.26525,1563.599976,0,0
35,36,1,1,1,0,0.003371,0.021119,0.032756,0,0,0,0,0,0,0,0,0,0,0,0,-0.86206,0.19433,0.86474,-0.24314,1563.599976,0,0
37,34,1,1,1,0,0.001321,0.009384,0.012474,0,0,0,0,0,0,0,0,0,0,0,0,-1.07796,0.1556,1.07958,-0.16831,1563.599976,0,0
38,34,1,1,1,0,0.000979,0.00966,0.013727,0,0,0,0,0,0,0,0,0,0,0,0,-1.02656,-0.31936,1.02773,0.30433,1820.800049,0,0
38,34,1,1,1,0,0.001301,0.00966,0.012285,0,0,0,0,0,0,0,0,0,0,0,0,-1.03205,-0.28308,1.03358,0.27075,1563.599976,0,0
39,40,1,1,1,0,0.001396,0.020366,1.115229,0,0,0,0,0,0,0,0,0,0,0,0,-0.35849,0.582,0.35867,0.64649,3641.600098,0,0
41,40,1,1,1,0,0.000241,0.003617,0.202708,0,0,0,0,0,0,0,0,0,0,0,0,-2.86319,0.06415,2.86515,-0.44711,3641.600098,0,0
42,43,1,1,1,0,0.004141,0.021017,0.020353,0,0,0,0,0,0,0,0,0,0,0,0,1.71686,-0.25299,-1.70443,0.27536,910.400024,0,0
44,43,1,1,1,0,0.003604,0.018745,0.017711,0,0,0,0,0,0,0,0,0,0,0,0,0.51991,-0.08556,-0.51892,0.05536,910.400024,0,0
44,45,1,1,1,0,0.008034,0.03782,0.036698,0,0,0,0,0,0,0,0,0,0,0,0,1.8335,-0.17774,-1.8063,0.23299,910.400024,0,0
46,47,1,1,1,0,0.020236,0.092942,0.085604,0,0,0,0,0,0,0,0,0,0,0,0,-1.91805,0.44102,1.99968,-0.23537,781.80603,0,0
48,42,1,1,1,0,0.0101,0.040208,0.036321,0,0,0,0,0,0,0,0,0,0,0,0,-0.50363,0.0634,0.5063,-0.12538,781.80603,0,0
49,44,1,1,1,0,0.010392,0.03908,0.03737,0,0,0,0,0,0,0,0,0,0,0,0,0.14793,-0.10476,-0.14766,0.03123,781.80603,0,0
