bus_id,bus_name,area,loss_zone,type,voltage,angle,load_P,load_Q,generation_p,generation_Q,base_kV,desired_volts,MAX_Q,Min_Q,G,B,control_bus_number,M_Vm,M_Va,M_P,M_Q,BRANCH_NUM,GEN_NUM,CP_NUM,LOAD_NUM
1,2115,0,1,1,1.0102,-9.45742,0,0,0,0,500,525,0,0,0,0,0,530.354,0,0,0,14,0,0,0
2,5625,0,1,1,1.0105,-8.85752,0.29842,7.82006,0,0,500,525,0,0,0,18.6,0,530.514,0,0,0,4,0,12,1
3,2878,0,1,1,1.00605,-8.15674,0,0,0,0,500,525,0,0,0,0,0,528.174,0,0,0,8,0,0,0
4,2,0,1,1,1.00646,-7.00566,17.248,6.28564,0,0,500,525,0,0,0,18,0,528.39,0,1723.93,626.94,9,0,10,4
5,277,0,1,1,1.00612,-6.35659,0,0,0,0,500,525,0,0,0,0,0,528.215,0,0,0,3,0,0,2
6,276,0,1,1,1.00442,-5.79955,0,0,0,0,500,525,0,0,0,0,0,527.319,0,0,0,4,0,0,1
7,189,0,1,1,1.01868,-0.630528,0,0,0,0,500,525,0,0,0,0,0,534.808,0,0,0,4,0,0,1
8,3199,0,1,1,1.01984,-1.24431,0,0,0,0,500,525,0,0,0,0,0,535.414,0,0,0,12,0,0,0
9,8074,0,1,1,1.00578,-6.80467,28.5263,10.8044,0,0,500,525,0,0,0,52,0,528.036,0,2854.38,1080.57,9,0,20,4
10,286,0,1,1,0.998333,-1.32022,0,0,0,0,500,525,0,0,0,0,0,524.125,0,0,0,8,0,0,4
11,263,0,1,1,1.02264,-0.583597,0,0,0,0,500,525,0,0,0,0,0,536.885,0,0,0,7,0,0,3
12,240,0,1,1,1.02176,-1.3121,14.8478,4.80189,0,0,500,525,0,0,0,30.1,0,536.425,0,1483.19,488.19,9,0,14,4
13,364,0,1,1,0.979129,-4.52928,-8.97624,4.56295,0,0,500,525,0,0,0,0,0,0,0,-907.12,-383.34,1,0,0,3
14,365,0,1,1,1.04338,-4.97885,-9.10002,-3.36453,0,0,500,525,0,0,0,0,0,0,0,-914.22,-383.73,1,0,0,1
15,358,0,1,2,0.996332,-11.445,0.00289,0.01471,0,0,220,230,1000,-1500,0,0,0,229.156,0,0,8.04,1,1,0,4
16,1188,0,1,1,0.994303,-11.4125,0,0,0,0,220,230,0,0,0,0,0,228.69,0,0,0,5,0,0,0
17,1068,0,1,1,1.00329,-13.5783,0,0,0,0,500,525,0,0,0,0,0,526.725,0,0,0,10,0,0,0
18,359,0,1,2,1.00143,-11.3705,-6.57638,-3.53168,0,0.88292,500,525,1500,-1500,0,-3.2876,0,525.749,0,0,88.292,2,1,2,4
