bus_id,bus_name,area,loss_zone,type,voltage,angle,load_P,load_Q,generation_p,generation_Q,base_kV,desired_volts,MAX_Q,Min_Q,G,B,control_bus_number,M_Vm,M_Va,M_P,M_Q,Ri_V,Ri_vP,Ri_vQ
1,1727,0,1,1,1.00548,-7.59785,0,0,0,0,500,525,0,0,0,0,0,1.06321,-5.02544,0.00057015,-1.56E-05,1,0,0
2,4177,0,1,1,1.00623,-6.78013,-0.06225,-0.22975,0,0,500,525,0,0,0,18.6,0,1.06847,-4.30876,0.061965,0.229664,1,0,0
3,364,0,1,1,0.962306,-0.823496,-12.0836,5.88806,0,0,500,525,0,0,0,0,0,1.02622,0.955219,12.0827,-5.88782,0,0,0
4,2288,0,1,1,1.00152,-7.25084,0,0,0,0,500,525,0,0,0,0,0,1.07717,-4.19372,-0.00214552,1.16E-05,1,0,0
5,2,0,1,1,1.00148,-5.86373,0,0,0,0,500,525,0,0,0,18,0,1.09566,-3.21846,-0.00136544,-6.08E-06,1,0,0
6,365,0,1,1,0.962287,-0.880131,-11.965,5.89442,0,0,500,525,0,0,0,0,0,1.02619,0.905312,11.9641,-5.89418,0,0,0
7,189,0,1,1,1.01871,-0.49875,0,0,0,0,500,525,0,0,0,0,0,1.04998,0.345618,0.000229846,3.37E-07,1,0,0
8,2498,0,1,1,1.01971,-1.10976,0,0,0,0,500,525,0,0,0,0,0,1.0559,-0.239591,-0.00278052,3.54E-06,1,0,0
9,277,0,1,1,1.0014,-4.48613,0,0,0,0,500,525,0,0,0,0,0,1.08369,-2.01707,-0.000324833,-8.62E-06,1,0,0
10,276,0,1,1,1.00183,-4.56475,0,0,0,0,500,525,0,0,0,0,0,1.08408,-2.08339,-0.000297811,-8.24E-06,1,0,0
11,6204,0,1,1,1.00012,-5.69793,45.9046,19.5701,0,0,500,525,0,0,0,52,0,1.10138,-3.12264,-45.9039,-19.5703,1,0,0
12,286,0,1,1,0.998047,2.98044,0,0,0,0,500,525,0,0,0,0,0,1.04878,4.49708,-0.000769911,1.19E-05,1,0,0
13,358,0,1,1,0.991599,-10.792,0.00011,0.01597,0,0,220,230,0,0,0,0,0,1.05216,-7.14791,-0.000109375,-0.0159699,1,0,0
14,1051,0,1,1,0.989627,-10.7691,0,0,0,0,220,230,0,0,0,0,0,1.05147,-7.14024,7.29E-05,-9.58E-07,1,0,0
15,943,0,1,1,1.00027,-10.5925,0,0,0,0,500,525,0,0,0,0,0,1.04128,-8.01157,-3.25E-05,-1.04E-05,1,0,0
16,359,0,1,1,0.999455,-8.67196,-4.56172,-3.68872,0,0,500,525,0,0,0,-3.2876,0,1.04892,-6.64069,4.56158,3.68866,1,0,0
17,886,0,1,1,1.00244,-8.99144,0,0,0,0,500,525,0,0,0,-1.8,0,1.05988,-5.36338,-0.000560003,2.84E-06,1,0,0
18,325,0,1,1,0.993976,-13.3496,6.71926,0.6026,0,0,500,525,0,0,0,0,0,1.05711,-7.30168,-6.71901,-0.602601,1,0,0
19,488,0,1,1,0.993106,-10.4314,-2.00E-05,0,0,0,220,230,0,0,0,0,0,1.05719,-6.9169,3.33E-05,-1.45E-07,1,0,0
20,1590,0,1,1,0.992777,-10.7602,0,0,0,0,220,230,0,0,0,0,0,1.05767,-7.1947,1.81E-05,-1.19E-06,1,0,0
21,1908,0,1,1,1.0017,-10.3926,0,0,0,0,220,230,0,0,0,0,0,1.03354,-7.33988,-5.19E-05,-5.67E-06,1,0,0
