bus_id,bus_name,area,loss_zone,type,voltage,angle,load_P,load_Q,generation_p,generation_Q,base_kV,desired_volts,MAX_Q,Min_Q,G,B,control_bus_number,M_Vm,M_Va,M_P,M_Q,Ri_V,Ri_vP,Ri_vQ,,,,,,,
1,1726,0,1,1,1.00563,-12.1768,0,0,0,0,500,525,0,0,0,0,0,1.03736,-8.67278,-7.93E-05,-0.00012911,1,0,0,,,,,,,
2,4160,0,1,1,1.00618,-11.1851,-0.10213,-0.30944,0,0,500,525,0,0,0,18.6,0,1.04003,-7.74826,0.106692,0.308692,1,0,0,,,,,,,
3,364,0,1,1,0.951294,-3.91554,-14.5658,6.97094,0,0,500,525,0,0,0,0,0,0.985785,-0.959366,14.5601,-6.96929,0,0,0,,,,,,,
4,2287,0,1,1,1.00177,-10.8528,0,0,0,0,500,525,0,0,0,0,0,1.06984,-6.92552,-0.00163613,-2.41E-06,1,0,0,,,,,,,
5,2,0,1,1,1.00174,-9.35509,0,0,0,0,500,525,0,0,0,18,0,1.09047,-5.87833,-0.00125531,1.12E-06,1,0,0,,,,,,,
6,365,0,1,1,0.95116,-3.89403,-14.607,6.98293,0,0,500,525,0,0,0,0,0,0.985661,-0.93942,14.6013,-6.98127,0,0,0,,,,,,,
7,189,0,1,1,1.01611,-1.155,0,0,0,0,500,525,0,0,0,0,0,1.03679,0.0165728,1.81E-05,6.75E-06,1,0,0,,,,,,,
8,2497,0,1,1,1.01688,-2.06164,0,0,0,0,500,525,0,0,0,0,0,1.04245,-0.862978,-0.00137564,9.68E-06,1,0,0,,,,,,,
9,277,0,1,1,1.00161,-7.98234,0,0,0,0,500,525,0,0,0,0,0,1.07912,-4.67199,-0.000435716,2.14E-05,1,0,0,,,,,,,
10,276,0,1,1,1.00192,-8.04959,0,0,0,0,500,525,0,0,0,0,0,1.0794,-4.72932,-0.000411103,2.06E-05,1,0,0,,,,,,,
11,6187,0,1,1,1.00033,-9.16672,45.9088,19.4468,0,0,500,525,0,0,0,52,0,1.09624,-5.768,-45.9064,-19.4463,1,0,0,,,,,,,
12,286,0,1,1,0.997744,-0.488441,0,0,0,0,500,525,0,0,0,0,0,1.04573,1.90221,-0.00128745,-2.96E-05,1,0,0,,,,,,,
13,358,0,1,1,1.00136,-14.9617,0.00068,0.01624,0,0,220,230,0,0,0,0,0,1.04089,-10.4323,-0.000680325,-0.0162389,1,0,0,,,,,,,
14,1051,0,1,1,0.999373,-14.9371,0,0,0,0,220,230,0,0,0,0,0,1.04025,-10.4233,5.05E-05,-7.88E-06,1,0,0,,,,,,,
15,943,0,1,1,1.00183,-13.3714,0,0,0,0,500,525,0,0,0,0,0,1.02641,-10.1012,-0.000164624,-4.46E-05,1,0,0,,,,,,,
16,359,0,1,1,0.998952,-11.3106,-4.87884,-3.38844,0,0,500,525,0,0,0,-3.2876,0,1.03299,-8.5836,4.87822,3.3882,1,0,0,,,,,,,
17,886,0,1,1,1.00313,-12.7898,0,0,0,0,500,525,0,0,0,-1.8,0,1.04854,-8.2126,-0.000747068,-9.95E-06,1,0,0,,,,,,,
18,325,0,1,1,0.99118,-18.0099,8.03548,0.68838,0,0,500,525,0,0,0,0,0,1.04433,-10.5813,-8.03446,-0.688387,1,0,0,,,,,,,
19,488,0,1,1,0.999494,-14.6531,-2.00E-05,-1.00E-05,0,0,220,230,0,0,0,0,0,1.04254,-10.2502,2.52E-05,8.73E-06,1,0,0,,,,,,,
20,1589,0,1,1,0.999293,-15.0184,0,0,0,0,220,230,0,0,0,0,0,1.04275,-10.5678,-4.61E-05,-1.07E-05,1,0,0,,,,,,,
21,1907,0,1,1,1.00784,-13.2801,0,0,0,0,220,230,0,0,0,0,0,1.02051,-9.51382,1.88E-06,-7.58E-07,1,0,0,,,,,,,
22,499,0,1,1,1.00817,-13.0783,0.00263,-0.09849,0,0,220,230,0,0,0,0,0,1.0203,-9.30933,-0.00268291,0.0984756,1,0,0,,,,,,,
23,1922,0,1,1,1.00921,-1.6331,-0.36552,0.02143,0,0,220,230,0,0,0,0,0,1.00692,1.19735,0.365489,-0.0214278,1,0,0,,,,,,,
24,2057,0,1,1,1.01053,-0.87638,0,0,0,0,220,230,0,0,0,0,0,1.00849,1.95499,1.48E-05,3.07E-06,1,0,0,,,,,,,
25,1154,0,1,1,0.997523,-13.5166,0,0,0,0,500,525,0,0,0,0,0,1.02507,-10.1644,1.21E-05,1.28E-06,1,0,0,,,,,,,
26,1296,0,1,1,1.00074,-13.9028,0,0,0,0,500,525,0,0,0,0,0,1.02338,-10.4255,0.000401216,-6.89E-05,1,0,0,,,,,,,
27,543,0,1,1,1.00731,-12.569,0,0,0,0,220,230,0,0,0,0,0,1.01841,-8.79848,0.000177442,5.54E-05,1,0,0,,,,,,,
28,2147,0,1,1,1.00784,-13.3053,0,0,0,0,220,230,0,0,0,0,0,1.0206,-9.53972,-0.000164672,-1.83E-05,1,0,0,,,,,,,
29,580,0,1,1,1.00984,-13.3912,0,0,0,0,220,230,0,0,0,0,0,1.02289,-9.61841,-0.000134882,6.80E-06,1,0,0,,,,,,,
30,1768,0,1,1,1.00335,-14.8024,0,0,0,0,220,230,0,0,0,0,0,1.01972,-10.9702,-0.000195973,-1.92E-05,1,0,0,,,,,,,
31,1375,0,1,1,0.994042,-14.1819,0,-0.01478,0,0,220,230,0,0,0,0,0,1.03327,-10.4839,-0.000138076,0.014757,1,0,0,,,,,,,
32,687,0,1,1,0.991111,-13.8315,0,-0.03407,0,0,220,230,0,0,0,0,0,1.03138,-10.1647,-2.84E-05,0.0342206,1,0,0,,,,,,,
33,1560,0,1,1,1.00221,-5.46985,0,0,0,0,220,230,0,0,0,0,0,1.00175,-2.15639,-0.000975182,-5.67E-05,1,0,0,,,,,,,
