tap_bus,z_bus,area,zone,circuit,type,R,X,B,Line_Q1,Line_Q2,Line_Q3,control_bus,side,transformer_final_turns_ratio,transformer_final_angle,Min_tap,Max_tap,step_size,Min_volt,Max_volt,M_P_TLPF,M_Q_TLPF,M_P_TLPF_reverse,M_Q_TLPF_reverse,Ri_eP,Ri_eQ,Ri_eP_reverse,Ri_eQ_reverse,,,,,,
1,2,1,1,1,0,0.000055,0.001198,0.085819,0,0,0,0,0,0,0,0,0,0,0,0,2.98298,-19.1662,-2.97282,19.1093,1,1,1,1,,,,,,
1,2,1,1,1,0,0.000065,0.001219,0.151109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,
1,20,1,1,1,0,0.001693,0.020206,1.192102,0,0,0,0,0,0,0,0,0,0,0,0,4.20142,-0.155933,-4.18755,-2.18738,1,1,1,1,,,,,,
1,20,1,1,1,0,0.00152,0.019908,1.137506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,
1,110,1,1,1,0,0.000434,0.00627,0.358346,0,0,0,0,0,0,0,0,0,0,0,0,-2.18328,4.79842,2.18943,-5.50252,1,1,1,1,,,,,,
1,110,1,1,1,0,0.00041,0.006475,0.380794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,
1,150,1,1,1,0,0.000887,0.012727,0.721233,0,0,0,0,0,0,0,0,0,0,0,0,-10.8718,5.14487,10.933,-5.77661,1,1,1,1,,,,,,
1,150,1,1,1,0,0.00086,0.012727,0.711021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,
1,359,1,1,1,0,0.000289,0.00466,0.274611,0,0,0,0,0,0,0,0,0,0,0,0,-4.9199,6.96974,4.93008,-7.3983,1,1,1,1,,,,,,
1,359,1,1,1,0,0.000289,0.004581,0.273832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,
1,826,1,1,1,1,0.000113,0.018133,0,0,0,0,0,0,1,0,0,0,0,0,0,3.09821,1.7845,-3.09689,-1.57261,1,1,1,1,,,,,,
1,827,1,1,1,1,0.000113,0.018133,0,0,0,0,0,0,1,0,0,0,0,0,0,3.09827,1.72204,-3.09697,-1.51377,1,1,1,1,,,,,,
2,3,1,1,1,0,0.000544,0.008073,0.523577,0,0,0,0,0,0,0,0,0,0,0,0,1.55383,0.839717,-1.55203,-1.39263,1,1,1,1,,,,,,
2,6,1,1,1,0,0.000544,0.008073,0.523577,0,0,0,0,0,0,0,0,0,0,0,0,1.47719,0.825574,-1.47552,-1.38047,1,1,1,1,,,,,,
4,5,1,1,1,0,0.000738,0.009575,0.582413,0,0,0,0,0,0,0,0,0,0,0,0,-2.88404,-7.98418,2.90343,6.8107,1,1,1,1,,,,,,
4,5,1,1,1,0,0.000759,0.009541,0.578865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,
4,91,1,1,1,0,0.000531,0.007287,0.420911,0,0,0,0,0,0,0,0,0,0,0,0,4.05804,9.59055,-4.03108,-10.2029,1,1,1,1,,,,,,
4,91,1,1,1,0,0.000551,0.007282,0.427289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,
4,813,1,1,1,1,0.000088,0.01838,0,0,0,0,0,0,1,0,0,0,0,0,0,2.2234,1.28713,-2.22291,-1.18495,1,1,1,1,,,,,,
4,815,1,1,1,1,0.000087,0.018247,0,0,0,0,0,0,1,0,0,0,0,0,0,2.22211,1.30074,-2.22162,-1.19885,1,1,1,1,,,,,,
7,8,1,1,1,0,0.000301,0.003585,0.165375,0,0,0,0,0,0,0,0,0,0,0,0,18.2724,-1.71265,-18.2464,1.87449,1,1,1,1,,,,,,
7,8,1,1,1,0,0.00004,0.003585,0.183737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,
7,586,1,1,1,1,0.000283,0.026449,0,0,0,0,0,0,1.021429,0,0,0,0,0,0,-2.09703,-0.00156521,2.09821,0.111633,1,1,1,1,,,,,,
7,587,1,1,1,1,0.000283,0.026449,0,0,0,0,0,0,1.021429,0,0,0,0,0,0,-5.24364,0.540017,5.25109,0.155485,1,1,1,1,,,,,,
