bus_id,bus_name,area,loss_zone,type,voltage,angle,load_P,load_Q,generation_p,generation_Q,base_kV,desired_volts,MAX_Q,Min_Q,G,B,control_bus_number,M_Vm,M_Va,M_P,M_Q,Ri_V,Ri_vP,Ri_vQ,,,,,,,,
1,1603,0,1,1,1.01484,-16.3949,0,0,0,0,500,525,0,0,0,0,0,1.04593,-15.9205,0.00260491,0.00464718,1,0,0,,,,,,,,
2,3896,0,1,1,1.01639,-16.4992,-0.05828,0.00013,0,0,500,525,0,0,0,18.6,0,1.05685,-16.0435,0.0582099,-0.000195592,1,0,0,,,,,,,,
3,358,0,1,1,1.00857,-17.1731,1.55158,1.39641,0,0,500,525,0,0,0,0,0,1.04746,-16.6609,-1.55203,-1.39263,0,0,0,,,,,,,,
4,2103,0,1,1,1.0068,-13.6895,0,0,0,0,500,525,0,0,0,-0.9,0,1.08961,-13.3501,0.0133632,-0.0147488,1,0,0,,,,,,,,
5,2,0,1,1,1.00799,-12.9579,0,0,0,0,500,525,0,0,0,18,0,1.12264,-12.8324,0.00728378,5.16E-05,1,0,0,,,,,,,,
6,359,0,1,1,1.00872,-17.1388,1.47509,1.3842,0,0,500,525,0,0,0,0,0,1.0476,-16.6292,-1.47552,-1.38047,0,0,0,,,,,,,,
7,195,0,1,1,1.0159,-1.90973,0,0,0,0,500,525,0,0,0,0,0,1.05,-2.44937,-0.00121428,-0.00162228,1,0,0,,,,,,,,
8,2311,0,1,1,1.00843,-3.7265,0,0,0,0,500,525,0,0,0,0,0,1.05158,-4.15819,0.00654463,0.00644109,1,0,0,,,,,,,,
9,271,0,1,1,1.00579,-10.9119,0,0,0,0,500,525,0,0,0,0,0,1.0989,-11.0839,-2.53E-06,0.00263264,1,0,0,,,,,,,,
10,270,0,1,1,1.00614,-11.5883,0,0,0,0,500,525,0,0,0,0,0,1.10515,-11.6642,-0.000481804,0.00203809,1,0,0,,,,,,,,
11,5874,0,1,1,1.00867,-13.0391,22.0029,7.12251,0,0,500,525,0,0,0,52,0,1.13707,-12.9251,-22.0129,-7.11426,1,0,0,,,,,,,,
12,280,0,1,1,1.00774,-9.0807,0,0,0,0,500,525,0,0,0,0,0,1.08556,-9.54739,-0.00121003,0.000999587,1,0,0,,,,,,,,
13,473,0,1,1,1.00762,-16.0634,-0.00047,1.00E-05,0,0,220,230,0,0,0,0,0,1.04062,-15.4756,4.77E-05,8.94E-05,1,0,0,,,,,,,,
14,1496,0,1,1,1.00691,-16.5986,0,-0.02349,0,0,220,230,0,0,0,0,0,1.03835,-15.9732,-0.000397469,0.0233663,1,0,0,,,,,,,,
15,1772,0,1,1,1.00729,-19.5635,0,0,0,0,220,230,0,0,0,0,0,1.03048,-18.9097,0.000888961,0.000883379,1,0,0,,,,,,,,
16,483,0,1,1,1.00817,-19.4411,-0.00065,-0.09878,0,0,220,230,0,0,0,0,0,1.03037,-18.7858,0.000378293,0.0988963,1,0,0,,,,,,,,
17,1787,0,1,1,1.0198,3.47769,0,-0.03344,0,0,220,230,0,0,0,0,0,1.01915,3.5639,-0.000538053,0.0334577,1,0,0,,,,,,,,
18,1886,0,1,1,1.01953,4.18284,0,0,0,0,220,230,0,0,0,0,0,1.01889,4.26978,6.08E-06,3.83E-05,1,0,0,,,,,,,,
19,1086,0,1,1,1.00131,-18.7259,0,0,0,0,500,525,0,0,0,0,0,1.0303,-18.0781,0.000280955,0.000336611,1,0,0,,,,,,,,
20,1220,0,1,1,1.0085,-18.7912,0,0,0,0,500,525,0,0,0,0,0,1.03274,-18.1083,0.000342725,0.00356866,1,0,0,,,,,,,,
21,526,0,1,1,1.00913,-19.1746,0,0,0,0,220,230,0,0,0,0,0,1.03021,-18.5183,0.000254494,0.000808563,1,0,0,,,,,,,,
22,1969,0,1,1,1.00789,-19.4682,0,0,0,0,220,230,0,0,0,0,0,1.03123,-18.8198,8.55E-05,-0.000237561,1,0,0,,,,,,,,
23,564,0,1,1,1.01055,-18.9537,0,0,0,0,220,230,0,0,0,0,0,1.03271,-18.3202,-0.000238083,8.44E-05,1,0,0,,,,,,,,
24,1647,0,1,1,1.00994,-18.7332,0,0,0,0,220,230,0,0,0,0,0,1.02772,-18.0893,-0.000423423,0.000886953,1,0,0,,,,,,,,
25,1287,0,1,1,0.999669,-12.544,0,-0.01494,0,0,220,230,0,0,0,0,0,1.02856,-12.1874,-0.000347802,0.0159018,1,0,0,,,,,,,,
26,675,0,1,1,0.997262,-12.1111,0,-0.07963,0,0,220,230,0,0,0,0,0,1.0278,-11.7904,-0.000267396,0.0773709,1,0,0,,,,,,,,
