tap_bus,z_bus,st,area,zone,circuit,type,R,X,B,Line_Q1,Line_Q2,Line_Q3,control_bus,side,transformer_final_turns_ratio,transformer_final_angle,Min_tap,Max_tap,step_size,Min_volt,Max_volt,M_P_TLPF,M_Q_TLPF,M_P_TLPF_reverse,M_Q_TLPF_reverse,Ri_eP,Ri_eQ,Ri_eP_reverse,Ri_eQ_reverse
1,2,西南.谭家湾站.500.2559,西南.谭德二线,1,1,0,0.000055,0.001198,0.078281,0,0,0,0,0,0,0,0,0,0,0,0,5.75325,-11.2693,-5.74729,11.3876,1,1,1,1
1,2,西南.谭家湾站.500.2559,西南.谭德一线,1,1,0,0.000065,0.001219,0.151109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
1,26,西南.谭家湾站.500.2559,四川.南谭二线,1,1,0,0.001691,0.020206,1.191482,0,0,0,0,0,0,0,0,0,0,0,0,3.19277,-1.23671,-3.18112,1.34977,1,1,1,1
1,26,西南.谭家湾站.500.2559,四川.南谭一线,1,1,0,0.00152,0.019908,1.137506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
1,112,西南.谭家湾站.500.2559,四川.谭龙一线,1,1,0,0.000434,0.00627,0.358346,0,0,0,0,0,0,0,0,0,0,0,0,5.21042,10.0727,-5.17664,-9.5726,1,1,1,1
1,112,西南.谭家湾站.500.2559,四川.谭龙二线,1,1,0,0.000409,0.006475,0.381582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
1,151,西南.谭家湾站.500.2559,四川.茂谭二线,1,1,0,0.000887,0.01182,0.721233,0,0,0,0,0,0,0,0,0,0,0,0,-10.9389,-0.121592,11.0039,0.982068,1,1,1,1
1,151,西南.谭家湾站.500.2559,四川.茂谭一线,1,1,0,0.00086,0.01182,0.711021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
1,360,西南.谭家湾站.500.2559,四川.谭邡一线,1,1,0,0.000289,0.004878,0.274611,0,0,0,0,0,0,0,0,0,0,0,0,-1.58295,4.44495,1.58696,-4.38509,1,1,1,1
1,360,西南.谭家湾站.500.2559,四川.谭邡二线,1,1,0,0.000289,0.004871,0.273832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
