tap_bus,z_bus,st,area,zone,circuit,type,R,X,B,Line_Q1,Line_Q2,Line_Q3,control_bus,side,transformer_final_turns_ratio,transformer_final_angle,Min_tap,Max_tap,step_size,Min_volt,Max_volt,M_P_TLPF,M_Q_TLPF,M_P_TLPF_reverse,M_Q_TLPF_reverse,Ri_eP,Ri_eQ,Ri_eP_reverse,Ri_eQ_reverse,,,,,,,
1,2,西南.谭家湾站.500.2846,西南.谭德二线,1,1,0,0.000055,0.001198,0.078281,0,0,0,0,0,0,0,0,0,0,0,0,5.74273,-19.3788,-5.73171,19.0981,1,1,1,1,,,,,,,
1,2,西南.谭家湾站.500.2846,西南.谭德一线,1,1,0,0.000065,0.001219,0.151109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,,
1,26,西南.谭家湾站.500.2846,四川.南谭二线,1,1,0,0.001691,0.020206,1.191482,0,0,0,0,0,0,0,0,0,0,0,0,3.6226,1.25502,-3.60232,-5.86991,1,1,1,1,,,,,,,
1,26,西南.谭家湾站.500.2846,四川.南谭一线,1,1,0,0.00152,0.019908,1.137506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,,
1,111,西南.谭家湾站.500.2846,四川.谭龙一线,1,1,0,0.000434,0.00627,0.358346,0,0,0,0,0,0,0,0,0,0,0,0,1.14175,6.85311,-1.13009,-8.24637,1,1,1,1,,,,,,,
1,111,西南.谭家湾站.500.2846,四川.谭龙二线,1,1,0,0.000409,0.006475,0.381582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,,
1,150,西南.谭家湾站.500.2846,四川.茂谭二线,1,1,0,0.000887,0.01182,0.721233,0,0,0,0,0,0,0,0,0,0,0,0,-8.44857,1.39993,8.48082,-4.03498,1,1,1,1,,,,,,,
1,150,西南.谭家湾站.500.2846,四川.茂谭一线,1,1,0,0.00086,0.01182,0.711021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,,
1,359,西南.谭家湾站.500.2846,四川.谭邡一线,1,1,0,0.000289,0.004878,0.274611,0,0,0,0,0,0,0,0,0,0,0,0,-3.66583,6.57732,3.67447,-7.60296,1,1,1,1,,,,,,,
1,359,西南.谭家湾站.500.2846,四川.谭邡二线,1,1,0,0.000289,0.004871,0.273832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,,
1,950,西南.谭家湾站.500.2846,四川.谭家湾/1#变压器_h,1,1,1,0.000079,0.018333,0,0,0,0,0,0,1,0,0,0,0,0,0,3.55746,1.01393,-3.55647,-0.782663,1,1,1,1,,,,,,,
1,952,西南.谭家湾站.500.2846,四川.谭家湾/2#变压器_h,1,1,1,0.000113,0.017933,0,0,0,0,0,0,1,0,0,0,0,0,0,3.64604,1.01807,-3.64454,-0.781162,1,1,1,1,,,,,,,
2,3,国调.德阳换流站.500.6424,国调.德宝直流极1线路,1,1,0,0.000544,0.008073,0.523577,0,0,0,0,0,0,0,0,0,0,0,0,2.90285,0.740257,-2.89785,-1.8135,1,1,1,1,,,,,,,
2,6,国调.德阳换流站.500.6424,国调.德宝直流极2线路,1,1,0,0.000544,0.008073,0.523577,0,0,0,0,0,0,0,0,0,0,0,0,2.82906,0.759859,-2.82425,-1.83567,1,1,1,1,,,,,,,
4,5,西南.泸州站.500.3630,西南.泸复二线,1,1,0,0.000738,0.009575,0.582413,0,0,0,0,0,0,0,0,0,0,0,0,-1.65739,-4.6376,1.66015,1.14314,1,1,1,1,,,,,,,
4,5,西南.泸州站.500.3630,西南.泸复三线,1,1,0,0.000731,0.009318,0.596693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,,
4,5,西南.泸州站.500.3630,西南.泸复一线,1,1,0,0.000759,0.009541,0.578865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,,
4,17,西南.泸州站.500.3630,四川.洪泸二线,1,1,0,0.000531,0.007651,0.421177,0,0,0,0,0,0,0,0,0,0,0,0,2.92789,2.34902,-2.92278,-3.94188,1,1,1,1,,,,,,,
4,17,西南.泸州站.500.3630,四川.洪泸一线,1,1,0,0.000552,0.007645,0.427062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,,
4,935,西南.泸州站.500.3630,四川.泸州/1#变压器_h,1,1,1,0.000089,0.01838,0,0,0,0,0,0,1,0,0,0,0,0,0,3.41315,0.919649,-3.41203,-0.688673,1,1,1,1,,,,,,,
4,937,西南.泸州站.500.3630,四川.泸州/2#变压器_h,1,1,1,0.000087,0.018247,0,0,0,0,0,0,1,0,0,0,0,0,0,3.42672,0.929221,-3.42562,-0.697888,1,1,1,1,,,,,,,
7,8,国调.官地电厂.500.189,国调.官月Ⅰ线,1,1,0,0.000301,0.003585,0.184517,0,0,0,0,0,0,0,0,0,0,0,0,20.4243,4.24047,-20.3882,-4.23567,1,1,1,1,,,,,,,
7,8,国调.官地电厂.500.189,国调.官月Ⅱ线,1,1,0,0.00004,0.003585,0.183737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,,
7,660,国调.官地电厂.500.189,国调.官地电厂/1#变压器,1,1,1,0.000283,0.022226,0,0,0,0,0,0,1.047619,0,0,0,0,0,0,-4.55449,-1.14347,4.56052,1.61691,1,1,1,1,,,,,,,
7,661,国调.官地电厂.500.189,国调.官地电厂/2#变压器,1,1,1,0.000283,0.022226,0,0,0,0,0,0,1.047619,0,0,0,0,0,0,-5.37006,-0.937546,5.37818,1.57558,1,1,1,1,,,,,,,
7,662,国调.官地电厂.500.189,国调.官地电厂/3#变压器,1,1,1,0.000283,0.022226,0,0,0,0,0,0,1.047619,0,0,0,0,0,0,-5.22174,-1.05999,5.2295,1.66954,1,1,1,1,,,,,,,
7,663,国调.官地电厂.500.189,国调.官地电厂/4#变压器,1,1,1,0.000283,0.022226,0,0,0,0,0,0,1.047619,0,0,0,0,0,0,-5.27799,-1.09947,5.28594,1.72354,1,1,1,1,,,,,,,
8,92,国调.月城站.500.3933,西南.月普一线,1,1,0,0.000403,0.009598,0.565839,0,0,0,0,0,0,0,0,0,0,0,0,14.0851,0.361701,-14.045,-1.70343,1,1,1,1,,,,,,,
8,92,国调.月城站.500.3933,西南.月普二线,1,1,0,0.000409,0.009578,0.568479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,,
8,325,国调.月城站.500.3933,西南.城沐一线,1,1,0,0.001441,0.027405,1.582888,0,0,0,0,0,0,0,0,0,0,0,0,17.0362,-1.39585,-16.8227,-0.995023,1,1,1,1,,,,,,,
8,325,国调.月城站.500.3933,西南.城沐二线,1,1,0,0.001517,0.027405,1.571117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,,
8,369,国调.月城站.500.3933,国调.月锦Ⅰ线,1,1,0,0.000106,0.001268,0.075181,0,0,0,0,0,0,0,0,0,0,0,0,9.10579,-2.67539,-9.10177,2.42402,1,1,1,1,,,,,,,
8,369,国调.月城站.500.3933,国调.月锦Ⅱ线,1,1,0,0.000077,0.001272,0.075722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,,
8,1003,国调.月城站.500.3933,四川.月城/1#变压器_h,1,1,1,0.000132,0.017733,0,0,0,0,0,0,1.047619,0,0,0,0,0,0,-1.34013,0.330398,1.34037,-0.297162,1,1,1,1,,,,,,,
8,1004,国调.月城站.500.3933,四川.月城/2#变压器_h,1,1,1,0.000132,0.017933,0,0,0,0,0,0,1.047619,0,0,0,0,0,0,-1.31727,0.324491,1.31751,-0.292021,1,1,1,1,,,,,,,
9,5,国调.向家坝.500.277,国调.向复一线,1,1,0,0.00022,0.003583,0.214905,0,0,0,0,0,0,0,0,0,0,0,0,28.83,-1.90557,-28.7394,2.51032,1,1,1,1,,,,,,,
9,5,国调.向家坝.500.277,国调.向复二线,1,1,0,0.00022,0.003583,0.214905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,,
9,664,国调.向家坝.500.277,国调.向家坝电厂/1#变压器,1,1,1,0.000283,0.022821,0,0,0,0,0,0,1.047619,0,0,0,0,0,0,-7.28807,0.530955,7.303,0.67327,1,1,1,1,,,,,,,
9,665,国调.向家坝.500.277,国调.向家坝电厂/2#变压器,1,1,1,0.000283,0.022821,0,0,0,0,0,0,1.047619,0,0,0,0,0,0,-7.22999,0.421324,7.24466,0.761531,1,1,1,1,,,,,,,
9,666,国调.向家坝.500.277,国调.向家坝电厂/3#变压器,1,1,1,0.000283,0.022821,0,0,0,0,0,0,1.047619,0,0,0,0,0,0,-7.14,0.706179,7.15439,0.454754,1,1,1,1,,,,,,,
9,667,国调.向家坝.500.277,国调.向家坝电厂/4#变压器,1,1,1,0.000283,0.022821,0,0,0,0,0,0,1.047619,0,0,0,0,0,0,-7.17191,0.247178,7.18631,0.914187,1,1,1,1,,,,,,,
10,5,国调.向家坝.500.276,国调.向复三线,1,1,0,0.00022,0.003583,0.214905,0,0,0,0,0,0,0,0,0,0,0,0,28.7977,-1.53307,-28.7075,2.13031,1,1,1,1,,,,,,,
10,5,国调.向家坝.500.276,国调.向复四线,1,1,0,0.00022,0.003583,0.214905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,,
10,668,国调.向家坝.500.276,国调.向家坝电厂/5#变压器,1,1,1,0.000283,0.022821,0,0,0,0,0,0,1.047619,0,0,0,0,0,0,-7.16927,0.400679,7.18367,0.760536,1,1,1,1,,,,,,,
10,669,国调.向家坝.500.276,国调.向家坝电厂/6#变压器,1,1,1,0.000283,0.022821,0,0,0,0,0,0,1.047619,0,0,0,0,0,0,-7.31127,0.345053,7.32623,0.861538,1,1,1,1,,,,,,,
10,670,国调.向家坝.500.276,国调.向家坝电厂/7#变压器,1,1,1,0.000283,0.022821,0,0,0,0,0,0,1.047619,0,0,0,0,0,0,-7.1567,0.24021,7.17102,0.914633,1,1,1,1,,,,,,,
10,671,国调.向家坝.500.276,国调.向家坝电厂/8#变压器,1,1,1,0.000283,0.022821,0,0,0,0,0,0,1.047619,0,0,0,0,0,0,-7.16046,0.547189,7.17486,0.614308,1,1,1,1,,,,,,,
11,5,国调.宜宾换流.500.8912,国调.宾复Ⅱ线,1,1,0,0.00006,0.001267,0.089923,0,0,0,0,0,0,0,0,0,0,0,0,2.11017,3.54815,-2.10963,-3.90697,1,1,1,1,,,,,,,
11,5,国调.宜宾换流.500.8912,国调.宾复Ⅰ线,1,1,0,0.000059,0.001266,0.092301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,,
11,243,国调.宜宾换流.500.8912,西南.宾叙一线,1,1,0,0.000232,0.003765,0.237959,0,0,0,0,0,0,0,0,0,0,0,0,-13.2076,2.73235,13.2288,-3.34717,1,1,1,1,,,,,,,
11,243,国调.宜宾换流.500.8912,西南.宾叙二线,1,1,0,0.000236,0.003788,0.234064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,,
11,2315,国调.宜宾换流.500.8912,国调.宜宾换流站/512#变压器,1,1,1,0.000283,0.022821,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0124882,0.738976,0.01264,-0.726735,1,1,1,1,,,,,,,
11,2316,国调.宜宾换流.500.8912,国调.宜宾换流站/511#变压器,1,1,1,0.000283,0.022821,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0124882,0.738976,0.01264,-0.726735,1,1,1,1,,,,,,,
12,11,国调.溪洛渡电厂.500.286,国调.溪宾Ⅰ线,1,1,0,0.00048,0.009556,0.561815,0,0,0,0,0,0,0,0,0,0,0,0,62.9838,0.406586,-62.4184,8.15184,1,1,1,1,,,,,,,
12,11,国调.溪洛渡电厂.500.286,国调.溪宾Ⅱ线,1,1,0,0.000412,0.009012,0.568609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,,
12,11,国调.溪洛渡电厂.500.286,国调.溪宾Ⅲ线,1,1,0,0.00041,0.009021,0.570427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,,
12,679,国调.溪洛渡电厂.500.286,国调.溪洛渡电厂/1#变压器,1,1,1,0.000279,0.02242,0,0,0,0,0,0,1.047619,0,0,0,0,0,0,-6.98618,-0.135578,6.99963,1.21652,1,1,1,1,,,,,,,
12,680,国调.溪洛渡电厂.500.286,国调.溪洛渡电厂/2#变压器,1,1,1,0.000279,0.02242,0,0,0,0,0,0,1.047619,0,0,0,0,0,0,-6.98278,-0.204402,6.99622,1.28481,1,1,1,1,,,,,,,
12,681,国调.溪洛渡电厂.500.286,国调.溪洛渡电厂/3#变压器,1,1,1,0.000279,0.02242,0,0,0,0,0,0,1.047619,0,0,0,0,0,0,-7.00202,0.927969,7.01576,0.176539,1,1,1,1,,,,,,,
12,682,国调.溪洛渡电厂.500.286,国调.溪洛渡电厂/4#变压器,1,1,1,0.000279,0.02242,0,0,0,0,0,0,1.047619,0,0,0,0,0,0,-7.02503,-0.284925,7.03865,1.37931,1,1,1,1,,,,,,,
12,683,国调.溪洛渡电厂.500.286,国调.溪洛渡电厂/5#变压器,1,1,1,0.000279,0.02242,0,0,0,0,0,0,1.047619,0,0,0,0,0,0,-7.00306,-0.189679,7.01658,1.27624,1,1,1,1,,,,,,,
12,684,国调.溪洛渡电厂.500.286,国调.溪洛渡电厂/6#变压器,1,1,1,0.000279,0.02242,0,0,0,0,0,0,1.047619,0,0,0,0,0,0,-7.00947,-0.113861,7.02301,1.2019,1,1,1,1,,,,,,,
12,685,国调.溪洛渡电厂.500.286,国调.溪洛渡电厂/7#变压器,1,1,1,0.000279,0.02242,0,0,0,0,0,0,1.047619,0,0,0,0,0,0,-7.00293,-0.116195,7.01644,1.20222,1,1,1,1,,,,,,,
12,686,国调.溪洛渡电厂.500.286,国调.溪洛渡电厂/8#变压器,1,1,1,0.000279,0.02242,0,0,0,0,0,0,1.047619,0,0,0,0,0,0,-6.99822,-0.184289,7.01172,1.26931,1,1,1,1,,,,,,,
12,687,国调.溪洛渡电厂.500.286,国调.溪洛渡电厂/9#变压器,1,1,1,0.000279,0.02242,0,0,0,0,0,0,1.047619,0,0,0,0,0,0,-6.97415,-0.105407,6.98755,1.18247,1,1,1,1,,,,,,,
13,14,四川.金鹅.220.1348,四川.金苏北线,1,1,0,0.007212,0.040762,0.039624,0,0,0,0,0,0,0,0,0,0,0,0,0.380623,-0.197637,-0.37993,0.0209508,1,1,1,1,,,,,,,
13,14,四川.金鹅.220.1348,四川.金苏南线,1,1,0,0.010737,0.054491,0.05277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,,
13,1101,四川.金鹅.220.1348,四川.金鹅/1#变压器_h,1,1,1,0.001752,0.121707,0,0,0,0,0,0,1.042609,0,0,0,0,0,0,0.511909,0.0499823,-0.511434,-0.0169757,1,1,1,1,,,,,,,
13,1104,四川.金鹅.220.1348,四川.金鹅/2#变压器_h,1,1,1,0.001635,0.099299,0,0,0,0,0,0,1.042609,0,0,0,0,0,0,0.627408,0.0380633,-0.626746,0.00215466,1,1,1,1,,,,,,,
15,16,西南.黄岩站.500.1144,西南.黄万一线,1,1,0,0.000765,0.011613,0.903526,0,0,0,0,0,0,0,0,0,0,0,0,3.7748,-1.42555,-3.76828,-2.15547,1,1,1,1,,,,,,,
15,16,西南.黄岩站.500.1144,西南.黄万二线,1,1,0,0.001077,0.011727,0.905707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,,
15,47,西南.黄岩站.500.1144,四川.广黄二线,1,1,0,0.000024,0.000298,0.019032,0,0,0,0,0,0,0,0,0,0,0,0,-8.31166,2.34256,8.31261,-2.41424,1,1,1,1,,,,,,,
15,47,西南.黄岩站.500.1144,四川.广黄一线,1,1,0,0.000028,0.000334,0.02194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,,
15,191,西南.黄岩站.500.1144,四川.黄达一线,1,1,0,0.000641,0.008128,0.49089,0,0,0,0,0,0,0,0,0,0,0,0,-2.68778,-1.58255,2.69004,-0.351758,1,1,1,1,,,,,,,
15,191,西南.黄岩站.500.1144,四川.黄达二线,1,1,0,0.000571,0.007928,0.47224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,,
15,930,西南.黄岩站.500.1144,四川.黄岩/2#变压器_h,1,1,1,0.000087,0.019007,0,0,0,0,0,0,1,0,0,0,0,0,0,2.00547,0.0430204,-2.00513,0.0322225,1,1,1,1,,,,,,,
15,931,西南.黄岩站.500.1144,四川.黄岩/1#变压器_h,1,1,1,0.000091,0.017934,0,0,0,0,0,0,1,0,0,0,0,0,0,2.11588,0.0428716,-2.11548,0.0361519,1,1,1,1,,,,,,,
