bus_id,bus_name,area,loss_zone,type,voltage,angle,load_P,load_Q,generation_p,generation_Q,base_kV,desired_volts,MAX_Q,Min_Q,G,B,control_bus_number,M_Vm,M_Va,M_P,M_Q,Ri_V,Ri_vP,Ri_vQ
1,1603,0,1,1,1.01484,-16.3949,0,0,0,0,500,525,0,0,0,0,0,1.014838095,0,0,0,1,0,0
2,3896,0,1,1,1.01639,-16.4992,-0.05828,0.00013,0,0,500,525,0,0,0,18.6,0,1.016392381,0,0,0,1,0,0
3,358,0,1,1,1.00857,-17.1731,1.55158,1.39641,0,0,500,525,0,0,0,0,0,0,0,151.18,-52.15,0,0,0
4,2103,0,1,1,1.0068,-13.6895,0,0,0,0,500,525,0,0,0,-0.9,0,1.0068,0,0,0,1,0,0
5,2,0,1,1,1.00799,-12.9579,0,0,0,0,500,525,0,0,0,18,0,1.007986667,0,0,0,1,0,0
6,359,0,1,1,1.00872,-17.1388,1.47509,1.3842,0,0,500,525,0,0,0,0,0,0,0,143.93,-49.94,0,0,0
7,195,0,1,1,1.0159,-1.90973,0,0,0,0,500,525,0,0,0,0,0,1.015899048,0,0,0,1,0,0
8,2311,0,1,1,1.00843,-3.7265,0,0,0,0,500,525,0,0,0,0,0,1.008426667,0,0,0,1,0,0
9,271,0,1,1,1.00579,-10.9119,0,0,0,0,500,525,0,0,0,0,0,1.005786667,0,0,0,1,0,0
10,270,0,1,1,1.00614,-11.5883,0,0,0,0,500,525,0,0,0,0,0,1.006137143,0,0,0,1,0,0
11,5874,0,1,1,1.00867,-13.0391,22.0029,7.12251,0,0,500,525,0,0,0,52,0,1.008668571,0,2203,712.53,1,0,0
12,280,0,1,1,1.00774,-9.0807,0,0,0,0,500,525,0,0,0,0,0,1.007739048,0,0,0,1,0,0
13,473,0,1,1,1.00762,-16.0634,-0.00047,1.00E-05,0,0,220,230,0,0,0,0,0,1.007621739,0,0,0,1,0,0
14,1496,0,1,1,1.00691,-16.5986,0,-0.02349,0,0,220,230,0,0,0,0,0,1.006904348,0,0,0,1,0,0
15,1772,0,1,1,1.00729,-19.5635,0,0,0,0,220,230,0,0,0,0,0,1.007286957,0,0,0,1,0,0
16,483,0,1,1,1.00817,-19.4411,-0.00065,-0.09878,0,0,220,230,0,0,0,0,0,1.008169565,0,0,-9.85,1,0,0
17,1787,0,1,1,1.0198,3.47769,0,-0.03344,0,0,220,230,0,0,0,0,0,1.0198,3.478,0,0,1,0,0
18,1886,0,1,1,1.01953,4.18284,0,0,0,0,220,230,0,0,0,0,0,1.019526087,4.183,0,0,1,0,0
19,1086,0,1,1,1.00131,-18.7259,0,0,0,0,500,525,0,0,0,0,0,1.001308571,0,0,0,1,0,0
20,1220,0,1,1,1.0085,-18.7912,0,0,0,0,500,525,0,0,0,0,0,1.008504762,0,0,0,1,0,0
21,526,0,1,1,1.00913,-19.1746,0,0,0,0,220,230,0,0,0,0,0,1.009126087,0,0,0,1,0,0
22,1969,0,1,1,1.00789,-19.4682,0,0,0,0,220,230,0,0,0,0,0,1.007886957,0,0,0,1,0,0
23,564,0,1,1,1.01055,-18.9537,0,0,0,0,220,230,0,0,0,0,0,1.010547826,0,0,0,1,0,0
24,1647,0,1,1,1.00994,-18.7332,0,0,0,0,220,230,0,0,0,0,0,1.00993913,0,0,0,1,0,0
25,1287,0,1,1,0.999669,-12.544,0,-0.01494,0,0,220,230,0,0,0,0,0,0.999669565,0,0,0,1,0,0
26,675,0,1,1,0.997262,-12.1111,0,-0.07963,0,0,220,230,0,0,0,0,0,0.99726087,0,0,0,1,0,0
27,1804,0,1,1,0.999502,-12.5776,0.03384,0.00132,0,0,220,230,0,0,0,0,0,0.999504348,0,2,1,1,0,0
28,9072,0,1,1,0.994981,-12.3885,1.03992,0.36881,0,0,220,230,0,0,0,0,0,0.994982609,0,104,38,1,0,0
29,9068,0,1,1,1.00794,-6.11007,0,0,0,0,500,525,0,0,0,0,0,0,0,0,0,0,0,0
30,730,0,1,1,1.00594,1.18201,0,0,0,0,500,525,0,0,0,0,0,1.005942857,1.182,0,0,1,0,0
31,1427,0,1,1,1.00575,0.495847,0,0,0,0,500,525,0,0,0,0,0,1.005746667,0.496,0,0,1,0,0
32,790,0,1,1,1.00511,-8.21074,-0.02826,0.01823,0,0,220,230,0,0,0,0,0,1.005108696,0,-2.89,2.31,1,0,0
33,1023,0,1,1,1.00461,-7.49127,0,0,0,0,220,230,0,0,0,0,0,1.004608696,0,0,0,1,0,0
34,793,0,1,1,1.00641,-7.57076,-0.0601,-0.07525,0,0,220,230,0,0,0,0,0,1.006413043,0,-4.55,0.28,1,0,0
35,1369,0,1,1,1.00169,-10.0303,0,0,0,0,220,230,0,0,0,0,0,1.001686957,0,0,0,1,0,0
36,1295,0,1,1,0.992128,-14.2062,0,0,0,0,220,230,0,0,0,0,0,0.992130435,0,0,0,1,0,0
37,9064,0,1,1,1.00154,-8.75626,0,0,0,0,220,230,0,0,0,0,0,0,0,0,0,0,0,0
38,3061,0,1,1,1.00943,-7.59655,-0.2804,0.01112,0,0,220,230,0,0,0,0,0,1.009426087,0,0,0,1,0,0
39,804,0,1,1,1.00435,-21.1645,0,0,0,0,220,230,0,0,0,0,0,1.004352174,0,0,0,1,0,0
40,605,0,1,1,1.00426,-21.1232,0,0,0,0,220,230,0,0,0,0,0,1.004256522,0,0,0,1,0,0
41,889,0,1,1,1.00822,-19.1703,1.50279,-1.28008,0,0,500,525,0,0,0,0,0,1.008222857,0,148.66,-126.72,1,0,0
42,2848,0,1,1,1.00815,-19.1389,0,0,0,0,500,525,0,0,0,0,0,1.008150476,0,0,0,1,0,0
43,1543,0,1,1,1.01232,-13.8818,0,0,0,0,220,230,0,0,0,0,0,1.012313043,0,0,0,1,0,0
44,831,0,1,1,1.01562,-12.6264,0,0,0,0,220,230,0,0,0,0,0,1.015617391,0,0,0,1,0,0
45,1504,0,1,1,1.00767,-15.1163,0,-0.09887,0,0,220,230,0,0,0,0,0,1.007669565,0,0,0,1,0,0
46,838,0,1,1,1.0091,-15.4624,0,0,0,0,220,230,0,0,0,0,0,1.0091,0,0,0,1,0,0
47,1635,0,1,1,1.00025,-12.7964,0,0,0,0,220,230,0,0,0,0,0,1.000247826,0,0,0,1,0,0
48,501,0,1,1,1.00282,-12.5548,0,0,0,0,220,230,0,0,0,0,0,1.002821739,0,0,0,1,0,0
49,430,0,1,1,0.995196,-18.0749,0,-0.05034,0,0,220,230,0,0,0,0,0,0.995195652,0,0,0,1,0,0
50,1989,0,1,1,0.995344,-20.6788,0,-0.09056,0,0,220,230,0,0,0,0,0,0.995343478,0,0,0,1,0,0
51,941,0,1,1,1.00891,-19.4848,0,0,0,0,220,230,0,0,0,0,0,1.008913043,0,0,0,1,0,0
52,554,0,1,1,1.00705,-20.0962,0,0,0,0,220,230,0,0,0,0,0,1.007043478,0,0,0,1,0,0
53,590,0,1,1,0.999897,-20.4229,0,0,0,0,220,230,0,0,0,0,0,0.999895652,0,0,0,1,0,0
54,1807,0,1,1,1.00476,-20.4049,0,0,0,0,220,230,0,0,0,0,0,1.004765217,0,0,0,1,0,0
55,975,0,1,1,1.01065,-18.8574,0,0,0,0,220,230,0,0,0,0,0,1.010647826,0,0,0,1,0,0
56,583,0,1,1,1.01043,-18.903,0,0,0,0,220,230,0,0,0,0,0,1.010434783,0,0,0,1,0,0
57,1108,0,1,1,1.00039,-15.8063,0,0,0,0,220,230,0,0,0,0,0,1.000395652,0,0,0,1,0,0
58,967,0,1,1,0.997853,-15.7377,0,0,0,0,220,230,0,0,0,0,0,0.997852174,0,0,0,1,0,0
59,1160,0,1,1,1.00275,-9.91157,0,0,0,0,220,230,0,0,0,0,0,1.002752174,0,0,0,1,0,0
60,964,0,1,1,1.00757,-7.35582,0,0,0,0,220,230,0,0,0,0,0,1.007569565,0,0,0,1,0,0
61,3079,0,1,1,1.01015,-18.9142,0.10741,0.0353,0,0,220,230,0,0,0,0,0,0,0,10.75,0,0,0,0
62,3174,0,1,1,1.0038,-21.0597,0,0,0,0,220,230,0,0,0,0,0,1.003804348,0,0,0,1,0,0
63,922,0,1,1,1.00329,-9.79759,0,0,0,0,220,230,0,0,0,0,0,1.003291304,0,0,0,1,0,0
64,3032,0,1,1,1.00316,-9.4849,0,0,0,0,220,230,0,0,0,0,0,1.00316087,0,0,0,1,0,0
65,2034,0,1,1,1.00921,-6.61281,0,0,0,0,220,230,0,0,0,0,0,1.009217391,0,0,0,1,0,0
66,1089,0,1,1,1.00239,-16.6083,0,0,0,0,220,230,0,0,0,0,0,1.002386957,0,0,0,1,0,0
67,1064,0,1,1,1.00585,1.36981,0,0,0,0,220,230,0,0,0,0,0,1.005847826,1.37,0,0,1,0,0
68,1071,0,1,1,1.00685,-16.2672,0,0,0,0,220,230,0,0,0,0,0,1.006852174,0,0,0,1,0,0
69,547,0,1,1,1.00173,-16.8179,0,0,0,0,220,230,0,0,0,0,0,1.001726087,0,0,0,1,0,0
70,1135,0,1,1,1.00376,-17.0968,0,0,0,0,220,230,0,0,0,0,0,1.003756522,0,0,0,1,0,0
71,1879,0,1,1,0.989469,-16.5526,0,0,0,0,220,230,0,0,0,0,0,0.989469565,0,0,0,1,0,0
72,1079,0,1,1,0.988241,-16.7447,0,0,0,0,220,230,0,0,0,0,0,0.98823913,0,0,0,1,0,0
73,1191,0,1,1,1.00189,1.20955,0,0,0,0,220,230,0,0,0,0,0,1.001886957,1.21,0,0,1,0,0
74,1104,0,1,1,1.00082,2.25065,0,0,0,0,220,230,0,0,0,0,0,1.000817391,2.251,0,0,1,0,0
75,1120,0,1,1,0.995375,-20.6291,0,-0.08437,0,0,220,230,0,0,0,0,0,0.995373913,0,0,0,1,0,0
76,491,0,1,1,0.998499,-20.1162,0,0,0,0,220,230,0,0,0,0,0,0.9985,0,0,0,1,0,0
77,657,0,1,1,0.99474,-20.8764,0.46809,0.01379,0,0,220,230,0,0,0,0,0,0.99473913,0,46.67,1.67,1,0,0
78,531,0,1,1,1.00288,-15.2857,0,0,0,0,220,230,0,0,0,0,0,1.002878261,0,0,0,1,0,0
79,2981,0,1,1,0.992072,-21.6228,0,0,0,0,220,230,0,0,0,0,0,0.992069565,0,0,0,1,0,0
80,2011,0,1,1,0.993277,-22.0655,0,0,0,0,220,230,0,0,0,0,0,0.993278261,0,0,0,1,0,0
