tap_bus,z_bus,st,area,zone,circuit,type,R,X,B,Line_Q1,Line_Q2,Line_Q3,control_bus,side,transformer_final_turns_ratio,transformer_final_angle,Min_tap,Max_tap,step_size,Min_volt,Max_volt,M_P_TLPF,M_Q_TLPF,M_P_TLPF_reverse,M_Q_TLPF_reverse,Ri_eP,Ri_eQ,Ri_eP_reverse,Ri_eQ_reverse
1,2,西南.谭家湾站.500.2846,西南.谭德二线,1,1,0,0.000055,0.001198,0.078281,0,0,0,0,0,0,0,0,0,0,0,0,2.89513,-0.9126,-2.89464,0.76372,1,1,0,0
1,2,西南.谭家湾站.500.2846,西南.谭德一线,1,1,0,0.000065,0.001219,0.151109,0,0,0,0,0,0,0,0,0,0,0,0,2.83863,-0.99259,-2.83807,0.69508,1,1,0,0
2,3,国调.德阳换流站.500.6424,国调.德宝直流极1线路,1,1,0,0.000544,0.008073,0.523577,0,0,0,0,0,0,0,0,0,0,0,0,2.90335,0.84003,-2.89785,-1.81351,1,1,0,0
4,5,西南.泸州站.500.3630,西南.泸复二线,1,1,0,0.000738,0.009575,0.582413,0,0,0,0,0,0,0,0,0,0,0,0,-0.50846,0.42011,0.50867,-0.76078,1,1,0,0
4,5,西南.泸州站.500.3630,西南.泸复三线,1,1,0,0.000731,0.009318,0.596693,0,0,0,0,0,0,0,0,0,0,0,0,-0.52212,0.41152,0.52235,-0.78065,1,1,0,0
4,5,西南.泸州站.500.3630,西南.泸复一线,1,1,0,0.000759,0.009541,0.578865,0,0,0,0,0,0,0,0,0,0,0,0,-0.50973,0.42551,0.50995,-0.75908,1,1,0,0
2,6,国调.德阳换流站.500.6424,国调.德宝直流极2线路,1,1,0,0.000544,0.008073,0.523577,0,0,0,0,0,0,0,0,0,0,0,0,2.82956,0.8594,-2.82425,-1.83568,1,1,0,0
7,8,国调.官地电厂.500.189,国调.官月Ⅰ线,1,1,0,0.000301,0.003585,0.184517,0,0,0,0,0,0,0,0,0,0,0,0,10.27382,1.66389,-10.241949,-1.66105,1,1,0,0
7,8,国调.官地电厂.500.189,国调.官月Ⅱ线,1,1,0,0.00004,0.003585,0.183737,0,0,0,0,0,0,0,0,0,0,0,0,10.14708,2.4148,-10.142819,-2.40775,1,1,0,0
9,5,国调.向家坝.500.277,国调.向复一线,1,1,0,0.00022,0.003583,0.214905,0,0,0,0,0,0,0,0,0,0,0,0,14.41193,-0.59658,-14.36618,0.91295,1,1,0,0
9,5,国调.向家坝.500.277,国调.向复二线,1,1,0,0.00022,0.003583,0.214905,0,0,0,0,0,0,0,0,0,0,0,0,14.41193,-0.59658,-14.36618,0.91295,1,1,0,0
10,5,国调.向家坝.500.276,国调.向复三线,1,1,0,0.00022,0.003583,0.214905,0,0,0,0,0,0,0,0,0,0,0,0,14.395749,-0.42271,-14.35018,0.73585,1,1,0,0
10,5,国调.向家坝.500.276,国调.向复四线,1,1,0,0.00022,0.003583,0.214905,0,0,0,0,0,0,0,0,0,0,0,0,14.395749,-0.42271,-14.35018,0.73585,1,1,0,0
11,5,国调.宜宾换流.500.8912,国调.宾复Ⅱ线,1,1,0,0.00006,0.001267,0.089923,0,0,0,0,0,0,0,0,0,0,0,0,1.01274,-1.1816,-1.01261,1.00517,1,1,0,0
12,11,国调.溪洛渡电厂.500.286,国调.溪宾Ⅰ线,1,1,0,0.00048,0.009556,0.561815,0,0,0,0,0,0,0,0,0,0,0,0,20.1856,0.54101,-19.989239,2.2506,1,1,0,0
12,11,国调.溪洛渡电厂.500.286,国调.溪宾Ⅱ线,1,1,0,0.000412,0.009012,0.568609,0,0,0,0,0,0,0,0,0,0,0,0,21.40378,0.69673,-21.214069,2.31935,1,1,0,0
12,11,国调.溪洛渡电厂.500.286,国调.溪宾Ⅲ线,1,1,0,0.00041,0.009021,0.570427,0,0,0,0,0,0,0,0,0,0,0,0,21.381321,0.69935,-21.192921,2.30887,1,1,0,0
13,14,四川.金鹅.220.1348,四川.金苏北线,1,1,0,0.007212,0.040762,0.039624,0,0,0,0,0,0,0,0,0,0,0,0,0.2186,-0.10137,-0.21823,0.02362,1,1,0,0
13,14,四川.金鹅.220.1348,四川.金苏南线,1,1,0,0.010737,0.054491,0.05277,0,0,0,0,0,0,0,0,0,0,0,0,0.16201,-0.1021,-0.1617,-0.00267,1,1,0,0
15,16,西南.黄岩站.500.1144,西南.黄万一线,1,1,0,0.000765,0.011613,0.903526,0,0,0,0,0,0,0,0,0,0,0,0,1.89847,-0.88275,-1.89574,0.76693,1,1,0,0
15,16,西南.黄岩站.500.1144,西南.黄万二线,1,1,0,0.001077,0.011727,0.905707,0,0,0,0,0,0,0,0,0,0,0,0,1.87629,-0.93373,-1.87254,0.79916,1,1,0,0
17,18,西南.洪沟站.500.990,西南.洪板二线,1,1,0,0.000911,0.011365,0.64438,0,0,0,0,0,0,0,0,0,0,0,0,14.270949,0.94721,-14.08156,0.15802,1,1,0,0
