tap_bus,z_bus,area,zone,circuit,type,R,X,B,Line_Q1,Line_Q2,Line_Q3,control_bus,side,transformer_final_turns_ratio,transformer_final_angle,Min_tap,Max_tap,step_size,Min_volt,Max_volt,M_P_TLPF,M_Q_TLPF,M_P_TLPF_reversed,M_Q_TLPF_reversed,limit,ioff,joff
1,2,0,1,1,0,0.000726,0.003431,0.005539,0,0,0,0,0,0,0,0,0,0,0,0,0.24876,-0.32375,-0.24865,0.31244,800,0,0
1,3,0,1,1,0,0.000726,0.00343,0.005538,0,0,0,0,0,0,0,0,0,0,0,0,0.98459,-0.33755,-0.98386,0.3292,800,0,0
1,4,0,1,1,0,0.00807,0.042067,0.038111,0,0,0,0,0,0,0,0,0,0,0,0,-0.06796,-0.34078,0.06867,0.26219,800,0,0
1,5,0,1,1,0,0.003145,0.0239,0.040701,0,0,0,0,0,0,0,0,0,0,0,0,0.73163,-0.21935,-0.72996,0.14503,800,0,0
6,5,0,1,1,0,0.001899,0.014436,0.024584,0,0,0,0,0,0,0,0,0,0,0,0,0.00067,-0.05078,-0.00067,-0.00184,800,0,0
1,4,0,1,1,0,0.003519,0.026741,0.04554,0,0,0,0,0,0,0,0,0,0,0,0,-0.07977,-0.53072,0.08055,0.43834,800,0,0
6,7,0,1,1,0,0.001255,0.009538,0.016243,0,0,0,0,0,0,0,0,0,0,0,0,0.09998,-0.04907,-0.09997,0.01439,800,0,0
6,7,0,1,1,0,0.001255,0.009538,0.016243,0,0,0,0,0,0,0,0,0,0,0,0,0.09998,-0.04907,-0.09997,0.01439,800,0,0
7,8,0,1,1,0,0.000292,0.002223,0.003785,0,0,0,0,0,0,0,0,0,0,0,0,-0.90228,0.12828,0.9025,-0.13465,800,0,0
7,8,0,1,1,0,0.000292,0.002223,0.003785,0,0,0,0,0,0,0,0,0,0,0,0,-0.90228,0.12828,0.9025,-0.13465,800,0,0
1,6,0,1,1,0,0.002475,0.018809,0.032031,0,0,0,0,0,0,0,0,0,0,0,0,0.92883,-0.23898,-0.92673,0.18648,800,0,0
9,1,0,1,1,0,0.00137,0.010408,0.017725,0,0,0,0,0,0,0,0,0,0,0,0,1.49804,0.166,-1.49514,-0.18189,800,0,0
9,1,0,1,1,0,0.00137,0.010408,0.017725,0,0,0,0,0,0,0,0,0,0,0,0,1.49804,0.166,-1.49514,-0.18189,800,0,0
9,8,0,1,1,0,0.005036,0.026249,0.02378,0,0,0,0,0,0,0,0,0,0,0,0,1.20641,-0.16191,-1.1995,0.14691,800,0,0
9,8,0,1,1,0,0.004977,0.025944,0.023504,0,0,0,0,0,0,0,0,0,0,0,0,1.22059,-0.16322,-1.21361,0.14924,800,0,0
9,10,0,1,1,0,0.00109,0.008283,0.014106,0,0,0,0,0,0,0,0,0,0,0,0,-2.85827,0.27762,2.86665,-0.24432,800,0,0
9,10,0,1,1,0,0.00109,0.008283,0.014106,0,0,0,0,0,0,0,0,0,0,0,0,-2.85827,0.27762,2.86665,-0.24432,800,0,0
11,12,0,1,1,1,0.000026,0.019288,0,0,0,0,0,0,1,0,0,0,0,0,0,-2.01999,-1.78176,0,0,0,0,0
1,12,0,1,1,1,0.000142,-0.002809,0,0,0,0,0,0,1.015,0,0,0,0,0,0,2.01651,1.90013,0,0,0,0,0
11,13,0,1,1,1,0.000031,0.02092,0,0,0,0,0,0,1,0,0,0,0,0,0,-1.79782,-1.6089,0,0,0,0,0
1,13,0,1,1,1,0.000025,-0.00252,0,0,0,0,0,0,1.015,0,0,0,0,0,0,1.79369,1.71467,0,0,0,0,0
10,14,0,1,1,1,0.000224,0.041889,0,0,0,0,0,0,1.073647,0,0,0,0,0,0,-2.75212,0.18441,2.75395,0.15688,0,0,0
10,15,0,1,1,1,0.000224,0.041889,0,0,0,0,0,0,1.127329,0,0,0,0,0,0,-2.98234,0.30481,2.98472,0.13966,0,0,0
7,16,0,1,1,1,0.0007,0.081327,0,0,0,0,0,0,1.004348,0,0,0,0,0,0,0.78105,0.06653,0,0,0,0,0
17,16,0,1,1,1,0.0007,-0.008234,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.65562,-0.06269,0,0,0,0,0
18,16,0,1,1,1,0.001643,0.139375,0,0,0,0,0,0,1.05,0,0,0,0,0,0,-0.12472,0.04204,0,0,0,0,0
7,19,0,1,1,1,0.000964,0.081226,0,0,0,0,0,0,1.004348,0,0,0,0,0,0,0.78776,0.07034,0,0,0,0,0
17,19,0,1,1,1,0.000436,-0.008438,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.69555,-0.10063,0,0,0,0,0
20,19,0,1,1,1,0.001907,0.140188,0,0,0,0,0,0,1.05,0,0,0,0,0,0,-0.09143,0.07596,0,0,0,0,0
6,21,0,1,1,1,0.002055,0.117607,0,0,0,0,0,0,0.985217,0,0,0,0,0,0,0.35822,-0.02041,0,0,0,0,0
22,21,0,1,1,1,0.000996,-0.007815,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.23501,0.0236,0,0,0,0,0
23,21,0,1,1,1,0.002069,0.06538,0,0,0,0,0,0,1.05,0,0,0,0,0,0,-0.12342,0.01083,0,0,0,0,0
6,24,0,1,1,1,0.001766,0.117569,0,0,0,0,0,0,0.985217,0,0,0,0,0,0,0.36836,-0.01653,0,0,0,0,0
22,24,0,1,1,1,0.000802,-0.009302,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.32028,-0.01799,0,0,0,0,0
