bus_id,bus_name,area,loss_zone,type,voltage,angle,load_P,load_Q,generation_p,generation_Q,base_kV,desired_volts,MAX_Q,Min_Q,G,B,control_bus_number,M_Vm,M_Va,M_P,M_Q,BRANCH_NUM,GEN_NUM,CP_NUM,LOAD_NUM
1,89,0,1,1,1.03286,1.88311,-3.56602,-1.2599,0,0,220,230,0,0,0,0,0,237.557,1.883,-243.92,-14.07,10,0,0,2
2,7055,0,1,1,1.03374,1.82494,0.24865,-0.31244,0,0,220,230,0,0,0,0,0,0,0,62.43,5.49,1,0,0,1
3,7056,0,1,1,1.03327,1.68887,0.98386,-0.3292,0,0,220,230,0,0,0,0,0,0,0,136.24,4.15,1,0,0,1
4,1442,0,1,1,1.04561,1.90628,-0.2718,-0.25637,0,0,220,230,0,0,0,0,0,240.49,1.906,0,8.1,5,0,0,1
5,1554,0,1,1,1.03485,0.916073,0,0,0,0,220,230,0,0,0,0,0,238.015,0.916,0,0,4,0,0,0
6,1270,0,1,1,1.03451,0.919079,0,0,0,0,220,230,0,0,0,0,0,237.936,0.919,0,0,6,0,0,0
7,1643,0,1,1,1.03468,0.865906,0.43566,-0.4222,0,0,220,230,0,0,0,0,0,237.976,0.866,42.88,-33.28,6,0,0,4
8,1221,0,1,1,1.03465,0.975322,0,0,0,0,220,230,0,0,0,0,0,237.969,0.975,0,0,6,0,0,0
9,3699,0,1,1,1.03659,2.70399,-0.15576,-0.32889,0,0,220,230,0,0,0,0,0,238.415,2.704,0,-2.79,8,0,0,1
10,576,0,1,1,1.03751,3.98245,0,0,0,0,220,230,0,0,0,0,0,238.627,3.982,0,0,4,0,0,1
11,67,0,1,1,0.986935,0,11.0566,0.71065,0,0,500,525,0,0,0,-1.5,0,518.141,0,1333.2,309.18,12,0,1,6
12,1_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0
13,2_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0
14,580,0,1,2,0.966385,11.0762,0.14048,0.00859,2.89443,0.16547,35,35,185.9,60,0,0,0,0,0,289.443,16.547,1,1,0,1
15,581,0,1,2,0.91729,12.4971,0.15016,0.00621,3.16491,0.14587,35,35,185.9,60,0,0,0,0,0,316.491,14.587,1,1,0,1
16,400_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0
17,1647,0,1,1,1.02631,-2.27996,1.35117,0.1633,0,0,110,115,0,0,0,0,0,118.025,0,134.29,18.83,2,0,0,7
18,1659,0,1,1,1.08319,-3.52058,0.12473,0.05207,0,0,10,10.5,0,0,0,0.401,0,10.832,0,12.26,5.45,1,0,5,6
19,401_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0
20,7075,0,1,1,1.08762,-3.3007,0.09142,0.01892,0,0,10,10.5,0,0,0,0.401,0,10.876,0,8.99,2.35,1,0,5,7
21,402_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0
22,1280,0,1,1,1.05198,-1.17422,0.55529,-0.0056,0,0,110,115,0,0,0,0,0,120.978,0,63.32,7.18,2,0,0,5
23,7022,0,1,1,1.10542,-1.68651,0.12341,-0.01084,0,0,10,10.5,0,0,0,0.18,0,11.054,0,20.66,4.8,1,0,3,12
24,403_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0
25,1282,0,1,1,1.10777,-1.50135,0.04834,-0.04809,0,0,10,10.5,0,0,0,0.18,0,11.078,0,12.17,2.93,1,0,3,4
26,412_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0
27,1559,0,1,1,1.05229,-1.27581,0.61372,-0.04226,0,0,110,115,0,0,0,0,0,121.014,0,56.76,2.33,2,0,0,4
28,7053,0,1,1,1.10915,-1.73833,0.11929,0.00989,0,0,10,10.5,0,0,0,0.18,0,11.091,0,17.15,2.68,1,0,3,10
29,413_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0
30,1564,0,1,1,1.10535,-1.3628,-0.00106,-0.06635,0,0,10,10.5,0,0,0,0.18,0,11.054,0,3.62,0.42,1,0,3,6
31,414_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0
32,7032,0,1,1,1.05904,2.12344,0.05192,-0.12894,0,0,110,115,0,0,0,0,0,121.789,2.123,27.75,-5.35,2,0,0,6
33,415_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0
34,1463,0,1,1,1.04279,2.50685,-0.12591,-0.15295,0,0,35,35,0,0,0,0.501,0,39.105,2.507,6.45,3.28,1,0,5,6
35,511_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0
36,1248,0,1,1,1.04533,-0.219581,0,0,0,0,110,115,0,0,0,0,0,120.213,0,0,0,2,0,0,0
37,7021,0,1,1,1.09925,-0.76355,0.22842,-0.04266,0,0,10,10.5,0,0,0,0.2802,0,10.993,0,4.98,0.54,1,0,4,5
38,512_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0
39,1256,0,1,1,1.09251,-1.278,0.37549,-0.00516,0,0,10,10.5,0,0,0,0.1962,0,10.925,0,12.33,3.43,1,0,4,8
40,549_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0
41,1461,0,1,1,1.04018,1.14765,0.19691,-0.17206,0,0,110,115,0,0,0,0,0,119.621,1.148,28.69,-6.77,1,0,0,5
42,3711,0,1,1,1.08306,1.80136,-0.00423,-0.07547,0,0,10,10.5,0,0,0,0.225,0,10.831,1.801,3.38,0.97,1,0,3,6
43,7238,0,1,1,1.08355,1.87371,-0.03771,-0.08593,0,0,10,10.5,0,0,0,0.225,0,10.835,1.874,0.18,-0.07,1,0,3,6
44,594_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0
45,3704,0,1,1,1.0281,1.82671,0.49169,-0.0804,0,0,110,115,0,0,0,0,0,118.231,1.827,53.54,2.74,2,0,0,4
46,595_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0
