tap_bus,z_bus,area,zone,circuit,type,R,X,B,Line_Q1,Line_Q2,Line_Q3,control_bus,side,transformer_final_turns_ratio,transformer_final_angle,Min_tap,Max_tap,step_size,Min_volt,Max_volt,M_P_TLPF,M_Q_TLPF,M_P_TLPF_reverse,M_Q_TLPF_reverse,limit,ioff,joff,Ri_eP,Ri_eQ,Ri_eP_reverse,Ri_eQ_reverse,,,,,
1,2,0,1,1,0,0.0001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00771,-0.0072,-0.00771,0.0072,515,0,0,1,1,1,1,,,,,0.001
3,4,0,1,1,0,0.0001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00308,-0.15611,-0.00308,0.15613,515,0,0,1,1,1,1,,,,,0.001
5,2,0,1,1,0,0.0001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00583,0.01315,0.00583,-0.01315,0,0,0,1,1,1,1,,,,,0.001
6,5,0,1,1,0,0.0001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00242,0.07094,0.00242,-0.07094,0,0,0,1,1,1,1,,,,,0.001
7,8,0,1,1,0,0.000934,0.003735,0.006229,0,0,0,0,0,0,0,0,0,0,0,0,0.47421,-0.02105,-0.474,0.00954,879,0,0,1,1,1,1,,,,,0.003735
7,9,0,1,1,0,0.001008,0.004032,0.006512,0,0,0,0,0,0,0,0,0,0,0,0,0.7655,-0.12499,-0.76489,0.1145,1296,0,0,1,1,1,1,,,,,0.004032
7,10,0,1,1,0,0.00807,0.041119,0.038111,0,0,0,0,0,0,0,0,0,0,0,0,0.0532,-0.12551,-0.05311,0.05004,825,0,0,1,1,1,1,,,,,0.041119
7,11,0,1,1,0,0.003145,0.0239,0.078556,0,0,0,0,0,0,0,0,0,0,0,0,1.00229,0.0445,-0.99906,-0.175,1600,0,0,1,1,1,1,,,,,0.0239
12,13,0,1,1,0,0.018962,0.075847,0.004938,0,0,0,0,0,0,0,0,0,0,0,0,0.07185,-0.00801,-0.07175,-0.00093,445,0,0,1,1,1,1,,,,,0.075847
14,15,0,1,1,0,0.019041,0.076163,0.004704,0,0,0,0,0,0,0,0,0,0,0,0,0.09962,0.00461,-0.09942,-0.01268,515,0,0,1,1,1,1,,,,,0.076163
16,9,0,1,1,0,0.000784,0.013703,0.012414,0,0,0,0,0,0,0,0,0,0,0,0,0.00027,0.00369,-0.00027,-0.02832,1334,0,0,1,1,1,1,,,,,0.013703
17,11,0,1,1,0,0.001899,0.014436,0.024584,0,0,0,0,0,0,0,0,0,0,0,0,-0.6204,-0.0549,0.62115,0.01244,800,0,0,1,1,1,1,,,,,0.014436
18,19,0,1,1,0,0.003899,0.015595,0.000827,0,0,0,0,0,0,0,0,0,0,0,0,0.0083,-0.00136,-0.0083,-0.00027,610,0,0,1,1,1,1,,,,,0.015595
18,20,0,1,1,0,0.002786,0.011146,0.000689,0,0,0,0,0,0,0,0,0,0,0,0,0.0083,-0.00136,-0.0083,0,515,0,0,1,1,1,1,,,,,0.011146
