bus_id,bus_name,area,loss_zone,type,voltage,angle,load_P,load_Q,generation_p,generation_Q,base_kV,desired_volts,MAX_Q,Min_Q,G,B,control_bus_number,M_Vm,M_Va,M_P,M_Q,BRANCH_NUM,GEN_NUM,CP_NUM,LOAD_NUM,Ri_V,Ri_vP,Ri_vQ
1,1303,0,1,1,0.987283,-4.29764,0.0067,-0.07288,0,0,220,230,0,0,0,0,0,0.987283,0,0,-5.14,9,0,0,2,1,0,0
2,836,0,1,1,0.98729,-4.29814,0,0,0,0,220,230,0,0,0,0,0,0.98729,0,0,0,3,0,0,0,1,0,0
3,1307,0,1,1,0.983244,-7.87016,0,-0.00603,0,0,110,115,0,0,0,0,0,0.983244,0,0,0,9,0,0,1,1,0,0
4,838,0,1,1,0.983403,-7.87127,0,0,0,0,110,115,0,0,0,0,0,0.983403,0,0,0,3,0,0,0,1,0,0
5,854,0,1,1,0.987303,-4.29856,0,0,0,0,220,230,0,0,0,0,0,0.987303,0,0,0,3,0,0,0,1,0,0
6,856,0,1,1,0.987374,-4.29912,0,0,0,0,220,230,0,0,0,0,0,0.987374,0,0,0,2,0,0,0,1,0,0
7,83,0,1,1,0.996321,-1.96479,0,0,0,0,220,230,0,0,0,0,0,0.996321,0,0,0,12,0,0,0,1,0,0
8,1258,0,1,1,0.995934,-2.06787,0,0,0,0,220,230,0,0,0,0,0,0.995934,0,0,0,2,0,0,0,1,0,0
9,6197,0,1,1,0,0,0,0,0,0,220,230,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10,1131,0,1,1,0.999513,-2.13136,0,0,0,0,220,230,0,0,0,0,0,0.999513,0,0,0,6,0,0,0,1,0,0
11,1226,0,1,1,0.990502,-3.33334,0,0,0,0,220,230,0,0,0,0,0,0.990502,0,0,0,4,0,0,0,1,0,0
12,1594,0,1,1,0.973758,-7.70732,0,0,0,0,110,115,0,0,0,0,0,0.973758,0,0,0,3,0,0,0,1,0,0
13,6275,0,1,1,0,0,0,0,0,0,110,115,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
14,6223,0,1,1,0,0,0,0,0,0,110,115,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
15,2053,0,1,1,0.969838,-8.15467,0,0,0,0,110,115,0,0,0,0,0,0.969838,0,0,0,2,0,0,0,1,0,0
16,5380,0,1,1,0.996252,-2.15041,-0.00027,-0.00369,0,0,220,230,0,0,0,0,0,0.996252,0,0,0,1,0,0,1,1,0,0
17,972,0,1,1,0.988819,-3.85384,0,0,0,0,220,230,0,0,0,0,0,0.988819,0,0,0,6,0,0,0,1,0,0
18,983,0,1,1,0.994148,-6.28111,0,0,0,0,110,115,0,0,0,0,0,0.994148,0,0,0,7,0,0,0,1,0,0
19,2128,0,1,1,0.994124,-6.28874,0.0083,0.00027,0,0,110,115,0,0,0,0,0,0.994124,0,0,0,1,0,0,2,1,0,0
20,6282,0,1,1,0,0,0.0083,0,0,0,110,115,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
21,1931,0,1,1,0.987071,-6.97796,0,0,0,0,110,115,0,0,0,0,0,0.987071,0,0,0,4,0,0,0,1,0,0
22,1896,0,1,1,0.992765,-6.46414,0,0,0,0,110,115,0,0,0,0,0,0.992765,0,0,0,2,0,0,0,1,0,0
23,1231,0,1,1,0.990175,-4.58522,0,0,0,0,110,115,0,0,0,0,0,0.990175,0,0,0,7,0,0,0,1,0,0
24,1360,0,1,1,0.992052,-2.59233,0,0,0,0,110,115,0,0,0,0,0,0.992052,0,0,0,3,0,0,0,1,0,0
25,6204,0,1,1,0,0,0,0,0,0,110,115,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
26,1339,0,1,1,1.00776,-6.3785,0,0,0,0,110,115,0,0,0,0,0,1.00776,0,0,0,3,0,0,0,1,0,0
27,1150,0,1,1,0.993495,-1.80747,-0.26696,0.00966,0,0,110,115,0,0,0,0,0,0.993495,0,-27.01,1.81,5,0,0,1,1,0,0
28,6158,0,1,1,0,0,0,0,0,0,110,115,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
29,6193,0,1,1,0,0,0.17207,0.03424,0,0,110,115,0,0,0,0,0,0,0,17.69,4.36,6,0,0,2,0,0,0
30,396,0,1,1,0.998266,-2.83496,0,0,0,0,110,115,0,0,0,0,0,0.998266,0,0,0,3,0,0,0,1,0,0
31,6155,0,1,1,0,0,0,0,0,0,110,115,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
32,3018,0,1,1,1.00149,-2.77835,0,0,0,0,110,115,0,0,0,0,0,1.00149,0,0,0,3,0,0,0,1,0,0
33,1487,0,1,1,0.992906,-1.9278,0,0,0,0,110,115,0,0,0,0,0,0.992906,0,0,0,2,0,0,0,1,0,0
34,1274,0,1,1,1.01092,-5.22285,0.11227,-0.01106,0,0,110,115,0,0,0,-0.1604,0,1.01092,0,11.65,-0.6,7,0,2,1,1,0,0
35,2275,0,1,1,1.00873,-6.16525,0.00368999,0.00131,0,0,110,115,0,0,0,0,0,1.00873,0,0,0,3,0,0,3,1,0,0
36,955,0,1,1,0.986711,-6.97412,0.06394,-0.00073,0,0,110,115,0,0,0,0,0,0.986711,0,7.03,1.21,8,0,0,3,1,0,0
37,2126,0,1,1,0.986533,-7.00181,0.23572,0.02664,0,0,110,115,0,0,0,0,0,0.986533,0,0,0,1,0,0,3,1,0,0
38,6280,0,1,1,0,0,0.14768,0.00892,0,0,110,115,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
39,6281,0,1,1,0,0,-0.00446,-0.02848,0,0,110,115,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
40,2127,0,1,1,0.986862,-6.97491,-0.00446,-0.02848,0,0,110,115,0,0,0,0,0,0.986862,0,0,0,1,0,0,1,1,0,0
41,1581,0,1,1,1.01018,-5.33189,0,0,0,0,110,115,0,0,0,0,0,1.01018,0,0,0,2,0,0,0,1,0,0
42,6198,0,1,1,0,0,-0.00726,-0.02385,0,0,110,115,0,0,0,0,0,0,0,-0.07,-2.11,5,0,0,1,0,0,0
43,6230,0,1,1,0,0,0,0,0,0,110,115,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
44,1809,0,1,1,1.0032,-4.26233,0,0,0,0,110,115,0,0,0,0,0,1.0032,0,0,0,3,0,0,0,1,0,0
45,6244,0,1,1,0,0,0,0,0,0,110,115,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
46,6257,0,1,1,0,0,0.11103,0.01605,0,0,110,115,0,0,0,0,0,0,0,11.26,1.77,1,0,0,2,0,0,0
47,2279,0,1,1,1.00864,-6.04811,0.03422,0.00285,0,0,110,115,0,0,0,0,0,1.00864,0,0,0,3,0,0,3,1,0,0
48,1875,0,1,1,0.991161,-3.77865,0,0,0,0,110,115,0,0,0,0,0,0.991161,0,0,0,3,0,0,0,1,0,0
49,1984,0,1,1,0.991012,-4.0542,0.08479,-0.01525,0,0,110,115,0,0,0,0,0,0.991012,0,7.62,-1.14,1,0,0,2,1,0,0
50,2220,0,1,1,0.983345,-8.14644,0,0,0,0,110,115,0,0,0,0,0,0.983345,0,0,0,3,0,0,0,1,0,0
51,2237,0,1,1,0.985308,-8.37535,0,0,0,0,110,115,0,0,0,0,0,0.985308,0,0,0,2,0,0,0,1,0,0
52,6292,0,1,1,0,0,0,0,0,0,110,115,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
53,6296,0,1,1,0,0,0,0,0,0,110,115,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
54,429,0,1,1,1.0028,-2.53284,0,0,0,0,110,115,0,0,0,0,0,1.0028,0,0,0,3,0,0,0,1,0,0
55,380,0,1,1,1.00949,-2.97291,0,0,0,0,110,115,0,0,0,0,0,1.00949,0,0,0,3,0,0,0,1,0,0
56,2305,0,1,1,0.99653,-1.86013,0,0,0,0,220,230,0,0,0,0,0,0.99653,0,0,0,6,0,0,0,1,0,0
57,929,0,1,1,0.987059,-4.2262,0,0,0,0,220,230,0,0,0,0,0,0.987059,0,0,0,6,0,0,0,1,0,0
